商品编码,商品名称,第一数量,第一计量单位,第二数量,第二计量单位,人民币
1029090,其他牛，改良种用除外,647998,千克,1040,头,23029513.0
1039120,其他猪，10kg≤重量＜50kg，改良种用除外,7840,千克,160,头,213657.0
1039200,其他猪，重量≥50kg，改良种用除外,636544,千克,5914,头,12245670.0
1042090,其他山羊，改良种用除外,20000,千克,660,头,1181136.0
1051190,其他鸡，改良种用除外，重量≤185g,888,千克,19500,只,78547.0
1059490,其他鸡，改良种用除外，重量＞185g,25220,千克,13600,只,435141.0
1061110,改良种用灵长目动物,13,千克,1,只,150000.0
1061190,其他灵长目动物，改良种用除外,1682,千克,542,只,7932255.0
1061490,"其他家兔及野兔,改良种用除外",2700,千克,900,只,128700.0
1061990,"未列名哺乳动物,改良种用除外",2962,千克,2038,只,1419400.0
1062020,食用爬行动物,44546,千克,32526,只,3562859.0
1062090,未列名爬行动物,3027,千克,68350,只,239874.0
1063921,食用乳鸽,20080,千克,33790,只,710174.0
1063929,其他食用鸟,9800,千克,12000,只,99502.0
1069011,改良种用蛙苗,3,千克,200,只,695.0
1069090,"其他活动物,改良种用除外",8408,千克,43000,只,38410.0
2023000,冻去骨牛肉,60970,千克,0,?,3471329.0
2031200,鲜或冷的带骨猪前腿、猪后腿及其肉块,249589,千克,0,?,8525286.0
2031900,其他鲜或冷的猪肉,402698,千克,0,?,12935458.0
2032110,冻整头及半头乳猪肉,119200,千克,0,?,10212993.0
2032200,冻带骨猪前腿、猪后腿及其肉块,3080,千克,0,?,55373.0
2032900,其他冻猪肉,3524572,千克,0,?,128903440.0
2044200,冻带骨绵羊肉,47069,千克,0,?,2709741.0
2044300,冻去骨绵羊肉,78966,千克,0,?,3858911.0
2045000,山羊肉,457570,千克,0,?,29954610.0
2062900,其他冻牛杂碎,12500,千克,0,?,251156.0
2064900,其他冻猪杂碎,22005,千克,0,?,215760.0
2071100,整只鸡，鲜或冷的,2600638,千克,0,?,60252021.0
2071200,整只鸡，冻的,77733,千克,0,?,1583079.0
2071311,鲜或冷的带骨鸡块,13685,千克,0,?,284427.0
2071329,鲜或冷的其他鸡杂碎,3924,千克,0,?,87475.0
2071411,带骨的冻鸡块,1365712,千克,0,?,16385318.0
2071419,其他冻鸡块,7044546,千克,0,?,97476949.0
2071421,冻鸡翼（不包括翼尖）,124864,千克,0,?,4717980.0
2071429,其他冻鸡杂碎,126990,千克,0,?,393337.0
2074100,鲜或冷的整只鸭,1185692,千克,0,?,18989269.0
2074200,整只冻鸭,289230,千克,0,?,4470595.0
2074500,冻的鸭块及杂碎,109519,千克,0,?,1213395.0
2075100,鲜或冷的整只鹅,689629,千克,0,?,16112549.0
2075200,整只冻鹅,2520,千克,0,?,85682.0
2075500,冻的鹅块及杂碎,90,千克,0,?,3060.0
2081020,冻兔肉，不包括兔头,726381,千克,0,?,20747057.0
2089010,鲜、冷、冻的乳鸽肉及食用杂碎,127782,千克,0,?,2562168.0
2101110,干、熏、盐腌或盐渍带骨猪腿,4500,千克,0,?,197856.0
2101200,干、熏、盐腌或盐渍猪腹肉（五花肉）,21619,千克,0,?,711362.0
2101900,其他干、熏、盐腌或盐渍猪肉,31355,千克,0,?,1936192.0
2109900,其他干、熏、盐腌或盐渍肉及食用杂碎，包括可供食用的肉或杂碎的细粉、粗粉,12404,千克,0,?,524311.0
3011100,淡水观赏鱼,11989,千克,0,?,1951212.0
3019290,其他活鳗鱼，鱼苗除外,352472,千克,0,?,50201628.0
3019310,鲤科鱼苗,1,千克,0,?,5559.0
3019390,"其他活鲤科鱼, 鱼苗除外",1156416,千克,0,?,25819449.0
3019991,活罗非鱼,40420,千克,0,?,664423.0
3019992,活?,18200,千克,0,?,2297546.0
3019993,其他活鲤科鱼,461272,千克,0,?,10605450.0
3019999,其他活鱼,1826907,千克,0,?,76286493.0
3022300,鲜或冷的鳎鱼,24425,千克,0,?,1483893.0
3022900,其他鲜或冷的比目鱼,1600,千克,0,?,263645.0
3024200,鲜或冷的?鱼,2988,千克,0,?,134962.0
3024600,鲜或冷的军曹鱼,1733,千克,0,?,107446.0
3024900,鲜或冷的印度鲭、马鲛鱼、?鱼、银鲳、秋刀鱼、圆?、多春鱼、鲔鱼、狐鲣、枪鱼 、旗鱼、四鳍旗鱼,2145,千克,0,?,161689.0
3025100,鲜或冷的鳕鱼,7632,千克,0,?,145829.0
3027300,鲜或冷的鲤科鱼,60,千克,0,?,1611.0
3027400,鲜或冷的鳗鱼,28811,千克,0,?,1578008.0
3028200,鲜或冷的?鱼及鳐鱼,45340,千克,0,?,2152214.0
3028910,鲜或冷的带鱼,4614,千克,0,?,215323.0
3028920,鲜或冷的黄鱼,507355,千克,0,?,15887834.0
3028930,鲜或冷的鲳鱼,129316,千克,0,?,6044958.0
3028940,鲜或冷的?,2,千克,0,?,1390.0
3028990,其他鲜或冷的鱼,888625,千克,0,?,37555482.0
3029100,鲜或冷的鱼肝、鱼卵及鱼精,195961,千克,0,?,28143703.0
3029900,其他鲜或冷的可食用鱼杂碎,8,千克,0,?,12885.0
3031100,冻红大麻哈鱼,146618,千克,0,?,3208125.0
3031200,其他冻大麻哈鱼,214952,千克,0,?,7644345.0
3031300,冻大西洋鲑鱼及多瑙哲罗鱼,31400,千克,0,?,1857928.0
3031400,冻鳟鱼,91800,千克,0,?,4548683.0
3032300,冻罗非鱼,12686496,千克,0,?,181427420.0
3032400,冻鲶鱼,199250,千克,0,?,5103149.0
3032500,冻鲤科鱼,62283,千克,0,?,1440004.0
3032600,冻鳗鱼,70255,千克,0,?,5285438.0
3033110,冻格陵兰庸鲽鱼,592610,千克,0,?,26262386.0
3033190,其他冻庸鲽鱼,58320,千克,0,?,2200047.0
3033200,冻鲽鱼,52785,千克,0,?,1850723.0
3033300,冻鳎鱼,181660,千克,0,?,7185144.0
3033900,其他冻比目鱼,2085948,千克,0,?,45121437.0
3034100,冻长鳍金枪鱼,226818,千克,0,?,4571666.0
3034200,冻黄鳍金枪鱼,3033775,千克,0,?,79982944.0
3034300,冻鲣鱼或狐鲣,7141529,千克,0,?,122884321.0
3034400,冻大眼金枪鱼,1237340,千克,0,?,60700918.0
3034900,其他冻金枪鱼,12975,千克,0,?,284794.0
3035100,冻鲱鱼,1675470,千克,0,?,7498427.0
3035300,冻的沙丁鱼、小沙丁鱼属、黍鲱或西鲱,6359201,千克,0,?,73717533.0
3035400,冻鲭鱼,41933600,千克,0,?,483715794.0
3035500,冻的对称竹荚鱼、新西兰竹荚鱼及竹荚鱼,2628993,千克,0,?,33630408.0
3035700,冻剑鱼,88711,千克,0,?,3249269.0
3035900,冻的?鱼、印度鲭、马鲛鱼、?鱼、银鲳、秋刀鱼、圆?、多春鱼、鲔鱼、狐鲣、枪鱼 、旗鱼、四鳍旗鱼,502616,千克,0,?,4020525.0
3036300,冻鳕鱼,49789,千克,0,?,701165.0
3036400,冻黑线鳕鱼,27094,千克,0,?,376547.0
3036600,冻狗鳕鱼,390165,千克,0,?,4057078.0
3036700,冻狭鳕鱼,10110732,千克,0,?,56630670.0
3036900,其他冻的犀鳕科、多丝真鳕科、鳕科、长尾鳕科、黑鳕科、无须鳕科、深海鳕科及南极鳕科鱼,108115,千克,0,?,1465977.0
3038100,冻角鲨及其他鲨鱼,26922,千克,0,?,1506648.0
3038400,冻尖吻鲈鱼,87120,千克,0,?,5522628.0
3038910,冻带鱼,1018039,千克,0,?,47811060.0
3038920,冻黄鱼,1742762,千克,0,?,95917081.0
3038930,冻鲳鱼,1296505,千克,0,?,61067794.0
3038990,未列名冻鱼,29911652,千克,0,?,563582670.0
3039100,冻的鱼肝、鱼卵及鱼精,215431,千克,0,?,61522165.0
3043900,鲜或冷的鲤科鱼、鳗鱼及黑鱼鱼片,16680,千克,0,?,518926.0
3044100,鲜或冷的大麻哈鱼、大西洋鲑鱼及多瑙哲罗鱼鱼片,11741,千克,0,?,162132.0
3045100,鲜或冷的罗非鱼、鲶鱼、鳗鱼尼罗河鲈鱼及黑鱼鱼肉,162475,千克,0,?,5413936.0
3045900,其他鲜或冷的鱼肉,28813,千克,0,?,885108.0
3046100,冻罗非鱼鱼片,16570197,千克,0,?,392526286.0
3046211,冻斑点叉尾?鱼鱼片,1064709,千克,0,?,52553798.0
3046219,其他冻叉尾?鱼鱼片,5400,千克,0,?,57017.0
3046300,冻尼罗河鲈鱼鱼片,58568,千克,0,?,4229116.0
3046900,冻鲤科鱼、鳗鱼及黑鱼鱼片,224814,千克,0,?,17179077.0
3047100,冻鳕鱼鱼片,16636570,千克,0,?,597721984.0
3047200,冻黑线鳕鱼鱼片,3522641,千克,0,?,104671105.0
3047300,冻绿青鳕鱼鱼片,758517,千克,0,?,23994640.0
3047400,冻狗鳕鱼鱼片,2353069,千克,0,?,40955338.0
3047500,冻狭鳕鱼鱼片,28178616,千克,0,?,491178206.0
3047900,其他冻的犀鳕科、多丝真鳕科、鳕科、长尾鳕科、黑鳕科、无须鳕科、深海鳕科及南极鳕科鱼鱼片,1857584,千克,0,?,52032655.0
3048100,冻的大麻哈鱼、大西洋鲑鱼及多瑙哲罗鱼鱼片,12945868,千克,0,?,537863708.0
3048200,冻鳟鱼鱼片,239755,千克,0,?,20049782.0
3048300,冻比目鱼鱼片,8681718,千克,0,?,291995057.0
3048600,冻鲱鱼鱼片,55770,千克,0,?,1079974.0
3048700,冻的金枪鱼、鲣鱼或狐鲣鱼片,838571,千克,0,?,59310051.0
3048800,冻的角鲨、其他鲨鱼、?鱼及鳐鱼鱼片,115480,千克,0,?,3667664.0
3048900,其他冻鱼片,15777876,千克,0,?,575519059.0
3049100,冻剑鱼鱼肉,28764,千克,0,?,1595457.0
3049200,冻南极犬牙鱼鱼肉,14653,千克,0,?,1192315.0
3049400,冻狭鳕鱼鱼肉,293093,千克,0,?,5107028.0
3049500,冻的犀鳕科、多丝真鳕科、鳕科、长尾鳕科、黑鳕科、无须鳕科、深海鳕科及南极鳕科鱼鱼肉,285929,千克,0,?,7214063.0
3049900,其他冻鱼肉,6634003,千克,0,?,234460231.0
3051000,适合供人食用的鱼的细粉、粗粉及团粒,51050,千克,0,?,1664721.0
3052000,干、熏、盐腌或盐渍的鱼肝、鱼卵及鱼精,268530,千克,0,?,20929986.0
3053200,干、盐腌或盐渍的犀鳕科、多丝真鳕科、鳕科、长尾鳕科、黑鳕科、无须鳕科、深海鳕科及南极鳕科鱼鱼片,5031033,千克,0,?,134148342.0
3053900,其他干、盐腌或盐渍的鱼片,388493,千克,0,?,15178937.0
3054110,熏大西洋鲑鱼,16720,千克,0,?,1460210.0
3054120,熏大麻哈鱼及多瑙哲罗鱼,1008,千克,0,?,102266.0
3054300,熏鳟鱼,82374,千克,0,?,7967285.0
3054900,其他熏鱼,344839,千克,0,?,13478822.0
3055100,干鳕鱼,158403,千克,0,?,9477341.0
3055990,其他干鱼,1463100,千克,0,?,72003856.0
3056200,盐腌及盐渍的鳕鱼,75776,千克,0,?,2804267.0
3056910,盐腌及盐渍的带鱼,5944,千克,0,?,283902.0
3056920,盐腌及盐渍的黄鱼,9000,千克,0,?,744227.0
3056990,未列名盐腌及盐渍的鱼,838862,千克,0,?,22279809.0
3057100,鲨鱼翅,15361,千克,0,?,5467115.0
3057200,鱼头、鱼尾、鱼鳔,11326,千克,0,?,4247597.0
3057900,其他鱼鳍及其他可食用杂碎,93386,千克,0,?,2487365.0
3061100,冻的岩礁虾和其他龙虾,20170,千克,0,?,2052256.0
3061200,冻鳌龙虾,5,千克,0,?,719.0
3061410,冻梭子蟹,2096943,千克,0,?,88757997.0
3061490,其他冻蟹,1413640,千克,0,?,197907552.0
3061500,冻挪威海鳌虾,40800,千克,0,?,4162064.0
3061611,冻冷水小虾仁,379919,千克,0,?,40891372.0
3061612,其他冻北方长额小虾,18400,千克,0,?,741157.0
3061619,其他冻冷水小虾,17000,千克,0,?,225145.0
3061621,冻冷水对虾仁,5470,千克,0,?,456126.0
3061711,其他冻小虾仁,1684170,千克,0,?,83227620.0
3061719,其他冻小虾,905916,千克,0,?,23071762.0
3061721,其他冻对虾仁,3331823,千克,0,?,303844377.0
3061729,其他冻对虾,832820,千克,0,?,75636767.0
3061990,其他冻甲壳动物，包括适合供人食用的甲壳动物的细粉、粗粉及团粒,122919,千克,0,?,11799475.0
3063190,活、鲜或冷的岩礁虾和其他龙虾，种苗除外,20694,千克,0,?,1541527.0
3063310,蟹种苗,680,千克,0,?,60768.0
3063391,活、鲜或冷的中华绒螯蟹，种苗除外,610206,千克,0,?,26220027.0
3063399,其他活、鲜或冷的蟹，种苗除外,4036,千克,0,?,771625.0
3063610,其他小虾种苗及对虾种苗,3,千克,0,?,1077.0
3063620,其他鲜、冷的对虾,146896,千克,0,?,10862017.0
3063690,其他活的对虾及活、鲜或冷的小虾，种苗除外,100140,千克,0,?,14574873.0
3063910,其他甲壳动物的种苗,40,千克,0,?,8756.0
