商品编码,商品名称,第一数量,第一计量单位,第二数量,第二计量单位,人民币
1029090,其他牛，改良种用除外,992210,千克,1645,头,36790966.0
1039120,其他猪，10kg≤重量＜50kg，改良种用除外,51780,千克,1070,头,1642102.0
1039200,其他猪，重量≥50kg，改良种用除外,15299841,千克,138834,头,254395025.0
1042090,其他山羊，改良种用除外,9190,千克,330,头,519156.0
1051190,其他鸡，改良种用除外，重量≤185g,10336,千克,224920,只,679219.0
1061190,其他灵长目动物，改良种用除外,8756,千克,2762,只,33781393.0
1061490,"其他家兔及野兔,改良种用除外",4275,千克,1511,只,488045.0
1061910,其他改良种用哺乳动物,50,千克,6,只,30575.0
1061990,"未列名哺乳动物,改良种用除外",3419,千克,3254,只,2555893.0
1062019,其他改良种用爬行动物,1510,千克,11500,只,99768.0
1062020,食用爬行动物,69103,千克,51148,只,4779254.0
1062090,未列名爬行动物,2051,千克,148941,只,770683.0
1063990,未列名鸟,3,千克,2,只,200000.0
1064990,"其他昆虫,改良种用除外",1080,千克,1080000,只,22222.0
1069011,改良种用蛙苗,3,千克,200,只,137.0
1069090,"其他活动物,改良种用除外",8313,千克,113400,只,424667.0
2023000,冻去骨牛肉,8176,千克,0,?,697027.0
2031200,鲜或冷的带骨猪前腿、猪后腿及其肉块,192571,千克,0,?,5404685.0
2031900,其他鲜或冷的猪肉,384660,千克,0,?,10568654.0
2032190,其他冻整头及半头猪肉,75000,千克,0,?,2492436.0
2032900,其他冻猪肉,3006449,千克,0,?,93861874.0
2044200,冻带骨绵羊肉,78871,千克,0,?,5799819.0
2044300,冻去骨绵羊肉,127394,千克,0,?,7626770.0
2045000,山羊肉,494432,千克,0,?,34969182.0
2050000,鲜、冷、冻的马、驴、骡肉,9093,千克,0,?,900683.0
2062200,冻牛肝,11537,千克,0,?,48412.0
2062900,其他冻牛杂碎,8625,千克,0,?,116748.0
2069000,其他冻杂碎（牛、猪杂碎除外）,722,千克,0,?,94864.0
2071100,整只鸡，鲜或冷的,5480097,千克,0,?,128379933.0
2071200,整只鸡，冻的,332707,千克,0,?,7415708.0
2071311,鲜或冷的带骨鸡块,161915,千克,0,?,4378207.0
2071329,鲜或冷的其他鸡杂碎,16436,千克,0,?,403072.0
2071411,带骨的冻鸡块,1733720,千克,0,?,23080539.0
2071419,其他冻鸡块,8065535,千克,0,?,126071835.0
2071421,冻鸡翼（不包括翼尖）,125488,千克,0,?,4540992.0
2071429,其他冻鸡杂碎,175022,千克,0,?,1443219.0
2074100,鲜或冷的整只鸭,1795806,千克,0,?,26805371.0
2074200,整只冻鸭,324699,千克,0,?,5274806.0
2074400,鲜或冷的鸭块及杂碎,14859,千克,0,?,219873.0
2074500,冻的鸭块及杂碎,125102,千克,0,?,1363884.0
2075100,鲜或冷的整只鹅,911568,千克,0,?,25775892.0
2075200,整只冻鹅,1003,千克,0,?,33311.0
2075400,鲜或冷的鹅块及杂碎,3618,千克,0,?,43525.0
