商品编码,商品名称,第一数量,第一计量单位,第二数量,第二计量单位,人民币
1029090,"其他牛,改良种用除外",603870,千克,983,头,24434489
1039200,"其他猪,重量≥50k...",5402425,千克,47118,头,239500790
1051190,"其他鸡,改良种用除外...",12276,千克,258300,只,903335
1061490,"其他家兔及野兔,改良...",1806,千克,790,只,472486
1061910,其他改良种用哺乳动物,140,千克,14,只,71041
1061990,"未列名哺乳动物,改良...",1310,千克,3027,只,3022797
1062020,食用爬行动物,59541,千克,43647,只,3656772
1064990,"其他昆虫,改良种用除...",600,千克,600000,只,12390
1069090,"其他活动物,改良种用...",29750,千克,586000,只,450129
2031200,鲜或冷的带骨猪前腿、...,26309,千克,0,—,1725969
2031900,其他鲜或冷的猪肉,181536,千克,0,—,11994889
2032190,其他冻整头及半头猪肉,25000,千克,0,—,1064213
2032900,其他冻猪肉,531260,千克,0,—,28414331
2044200,冻带骨绵羊肉,31755,千克,0,—,2327434
2044300,冻去骨绵羊肉,9906,千克,0,—,717211
2045000,山羊肉,47023,千克,0,—,4257516
2050000,鲜、冷、冻的马、驴、...,20767,千克,0,—,1624759
2062900,其他冻牛杂碎,5000,千克,0,—,28851
2069000,其他冻杂碎（牛、猪杂...,2791,千克,0,—,250370
2071100,"整只鸡,鲜或冷的",6136617,千克,0,—,152621380
2071200,"整只鸡,冻的",163399,千克,0,—,4095582
2071311,鲜或冷的带骨鸡块,111717,千克,0,—,3188712
2071329,鲜或冷的其他鸡杂碎,12809,千克,0,—,307386
2071411,带骨的冻鸡块,731938,千克,0,—,9908822
2071419,其他冻鸡块,2676023,千克,0,—,43476296
2071421,冻鸡翼（不包括翼尖）,99060,千克,0,—,3495719
2074100,鲜或冷的整只鸭,1344949,千克,0,—,22863723
2074200,整只冻鸭,102608,千克,0,—,1458739
2074400,鲜或冷的鸭块及杂碎,13282,千克,0,—,211691
2074500,冻的鸭块及杂碎,2270,千克,0,—,99014
2075100,鲜或冷的整只鹅,824358,千克,0,—,30594017
2075200,整只冻鹅,560,千克,0,—,18832
2075400,鲜或冷的鹅块及杂碎,3510,千克,0,—,72869
2081020,"冻兔肉,不包括兔头",294000,千克,0,—,9078572
2089010,鲜、冷、冻的乳鸽肉及...,279894,千克,0,—,10521178
2101200,干、熏、盐腌或盐渍猪...,1680,千克,0,—,111510
2101900,其他干、熏、盐腌或盐...,1505,千克,0,—,102909
2109900,其他干、熏、盐腌或盐...,47462,千克,0,—,903998
3011100,淡水观赏鱼,26360,千克,0,—,2014053
3019290,"其他活鳗鱼,鱼苗除外",475390,千克,0,—,100322005
3019310,鲤科鱼苗,500,千克,0,—,11948
3019390,"其他活鲤科鱼, 鱼苗...",2519244,千克,0,—,51934758
3019919,其他鱼苗,700,千克,0,—,202308
3019991,活罗非鱼,89256,千克,0,—,1402710
3019992,活鲀,17200,千克,0,—,2138876
3019993,其他活鲤科鱼,738520,千克,0,—,16084338
3019999,其他活鱼,2652249,千克,0,—,117152791
3022300,鲜或冷的鳎鱼,16915,千克,0,—,898953
3022900,其他鲜或冷的比目鱼,700,千克,0,—,85712
3024400,鲜或冷的鲭鱼,90,千克,0,—,1574
3024600,鲜或冷的军曹鱼,28625,千克,0,—,1332463
3024900,鲜或冷的印度鲭、马鲛...,11730,千克,0,—,738984
3025100,鲜或冷的鳕鱼,182297,千克,0,—,3117162
3027100,鲜或冷的罗非鱼,370,千克,0,—,8314
3027300,鲜或冷的鲤科鱼,14491,千克,0,—,312105
3027400,鲜或冷的鳗鱼,16955,千克,0,—,930015
3028200,鲜或冷的魟鱼及鳐鱼,2360,千克,0,—,94400
3028400,鲜或冷的尖吻鲈鱼,1990,千克,0,—,64918
3028910,鲜或冷的带鱼,13500,千克,0,—,637583
3028920,鲜或冷的黄鱼,612323,千克,0,—,28414462
3028930,鲜或冷的鲳鱼,115487,千克,0,—,5116332
3028990,其他鲜或冷的鱼,901834,千克,0,—,29854772
3029100,鲜或冷的鱼肝、鱼卵及...,51978,千克,0,—,2896334
3029900,其他鲜或冷的可食用鱼...,2784,千克,0,—,19730
3031200,其他冻大麻哈鱼,399769,千克,0,—,4624249
3031300,冻大西洋鲑鱼及多瑙哲...,32044,千克,0,—,1870953
3032300,冻罗非鱼,1275268,千克,0,—,17265559
3032500,冻鲤科鱼,1000,千克,0,—,35400
3032600,冻鳗鱼,5001,千克,0,—,683964
3033110,冻格陵兰庸鲽鱼,268812,千克,0,—,12807045
3033190,其他冻庸鲽鱼,77482,千克,0,—,7242728
3033300,冻鳎鱼,23000,千克,0,—,988270
3033900,其他冻比目鱼,1343418,千克,0,—,21255986
3034100,冻长鳍金枪鱼,621220,千克,0,—,18889909
3034200,冻黄鳍金枪鱼,972982,千克,0,—,30207164
3034300,冻鲣鱼或狐鲣,1501253,千克,0,—,26780924
3034400,冻大眼金枪鱼,295712,千克,0,—,11271217
3035100,冻鲱鱼,2082940,千克,0,—,7729414
3035300,冻的沙丁鱼、小沙丁鱼...,3502674,千克,0,—,31659522
3035400,冻鲭鱼,8450471,千克,0,—,68058134
3035700,冻剑鱼,72266,千克,0,—,3067331
3035900,冻的鳀鱼、印度鲭、马...,4774777,千克,0,—,65757565
3036300,冻鳕鱼,20000,千克,0,—,243711
3036700,冻狭鳕鱼,528130,千克,0,—,5136859
3038910,冻带鱼,47739,千克,0,—,2461022
3038920,冻黄鱼,638672,千克,0,—,33009565
3038930,冻鲳鱼,258320,千克,0,—,13861171
3038990,未列名冻鱼,10441333,千克,0,—,182161244
3039100,冻的鱼肝、鱼卵及鱼精,10800,千克,0,—,934488
3039900,其他冻的可食用鱼杂碎,74071,千克,0,—,967691
3043100,鲜或冷的罗非鱼鱼片,20228,千克,0,—,423370
3043900,鲜或冷的鲤科鱼、鳗鱼...,89022,千克,0,—,2649333
3045100,鲜或冷的罗非鱼、鲶鱼...,363324,千克,0,—,11478314
3045900,其他鲜或冷的鱼肉,4790,千克,0,—,72116
3046100,冻罗非鱼鱼片,1011290,千克,0,—,20444965
3046211,冻斑点叉尾鮰鱼鱼片,153906,千克,0,—,6967216
3046290,其他冻鲶鱼鱼片,7160,千克,0,—,114059
3046300,冻尼罗河鲈鱼鱼片,26523,千克,0,—,1730524
3046900,冻鲤科鱼、鳗鱼及黑鱼...,51956,千克,0,—,4260612
3047100,冻鳕鱼鱼片,1392218,千克,0,—,55211426
3047200,冻黑线鳕鱼鱼片,136899,千克,0,—,5959606
3047300,冻绿青鳕鱼鱼片,36208,千克,0,—,1191901
3047400,冻狗鳕鱼鱼片,203979,千克,0,—,5960952
3047500,冻狭鳕鱼鱼片,2961609,千克,0,—,64352685
3047900,其他冻的犀鳕科、多丝...,296661,千克,0,—,9454849
3048100,冻的大麻哈鱼、大西洋...,633041,千克,0,—,26760009
3048200,冻鳟鱼鱼片,39546,千克,0,—,3674405
3048300,冻比目鱼鱼片,722449,千克,0,—,30954296
3048700,冻的金枪鱼、鲣鱼或狐...,318736,千克,0,—,20802255
3048800,冻的角鲨、其他鲨鱼、...,63466,千克,0,—,4354756
3048900,其他冻鱼片,2688160,千克,0,—,98601096
3049100,冻剑鱼鱼肉,5110,千克,0,—,360081
3049300,冻的罗非鱼、鲶鱼、鳗...,56000,千克,0,—,4202298
3049400,冻狭鳕鱼鱼肉,77206,千克,0,—,1600112
3049500,冻的犀鳕科、多丝真鳕...,28556,千克,0,—,560906
3049900,其他冻鱼肉,3171374,千克,0,—,147007126
3051000,适合供人食用的鱼的细...,237922,千克,0,—,5185059
3052000,干、熏、盐腌或盐渍的...,54418,千克,0,—,4407868
3053200,干、盐腌或盐渍的犀鳕...,544677,千克,0,—,16258946
3053900,其他干、盐腌或盐渍的...,54499,千克,0,—,2569807
3054110,熏大西洋鲑鱼,6152,千克,0,—,693407
3054200,熏鲱鱼,50036,千克,0,—,934036
3054300,熏鳟鱼,2200,千克,0,—,333210
3054900,其他熏鱼,100663,千克,0,—,3876693
3055100,干鳕鱼,13000,千克,0,—,744063
3055300,干的犀鳕科、多丝真鳕...,4800,千克,0,—,247842
3055400,干的鲱鱼、鳀鱼、沙丁...,110723,千克,0,—,3351810
3055990,其他干鱼,564593,千克,0,—,30302103
3056200,盐腌及盐渍的鳕鱼,302200,千克,0,—,9658640
3056400,盐腌及盐渍的罗非鱼、...,3478,千克,0,—,169403
3056990,未列名盐腌及盐渍的鱼,168758,千克,0,—,5040394
