商品编码,商品名称,第一数量,第一计量单位,第二数量,第二计量单位,人民币
1029090,其他牛，改良种用除外,816923,千克,1287,头,32612232.0
1039200,其他猪，重量≥50kg，改良种用除外,6704811,千克,59886,头,323826156.0
1042090,其他山羊，改良种用除外,3500,千克,110,头,201190.0
1051190,其他鸡，改良种用除外，重量≤185g,19200,千克,388880,只,1390397.0
1061490,"其他家兔及野兔,改良种用除外",1253,千克,491,只,341732.0
1061910,其他改良种用哺乳动物,300,千克,30,只,167271.0
1061990,"未列名哺乳动物,改良种用除外",4763,千克,12763,只,3980302.0
1062020,食用爬行动物,101980,千克,69724,只,6265002.0
1062090,未列名爬行动物,3198,千克,329122,只,1667118.0
1064990,"其他昆虫,改良种用除外",1081,千克,1080070,只,19769.0
2031200,鲜或冷的带骨猪前腿、猪后腿及其肉块,21764,千克,0,?,1336516.0
2031900,其他鲜或冷的猪肉,124125,千克,0,?,7566719.0
2032190,其他冻整头及半头猪肉,46700,千克,0,?,1870573.0
2032900,其他冻猪肉,893750,千克,0,?,49269950.0
2044200,冻带骨绵羊肉,42539,千克,0,?,3038459.0
2044300,冻去骨绵羊肉,33910,千克,0,?,2478822.0
2045000,山羊肉,41462,千克,0,?,3524731.0
2050000,鲜、冷、冻的马、驴、骡肉,5465,千克,0,?,482439.0
2062900,其他冻牛杂碎,5000,千克,0,?,29813.0
2069000,其他冻杂碎（牛、猪杂碎除外）,578,千克,0,?,49971.0
2071100,整只鸡，鲜或冷的,6163704,千克,0,?,150801225.0
2071200,整只鸡，冻的,230773,千克,0,?,4927060.0
2071311,鲜或冷的带骨鸡块,115842,千克,0,?,3106178.0
2071329,鲜或冷的其他鸡杂碎,15183,千克,0,?,354713.0
2071411,带骨的冻鸡块,1758511,千克,0,?,24244519.0
2071419,其他冻鸡块,6252968,千克,0,?,79616623.0
2071421,冻鸡翼（不包括翼尖）,124060,千克,0,?,4898399.0
2071429,其他冻鸡杂碎,137330,千克,0,?,1256279.0
