商品编码,商品名称,第一数量,第一计量单位,第二数量,第二计量单位,人民币
1012100,改良种用马,8000,千克,15,头,76795.0
1029090,其他牛，改良种用除外,739090,千克,1151,头,30351650.0
1039120,其他猪，10kg≤重量＜50kg，改良种用除外,3450,千克,70,头,102740.0
1039200,其他猪，重量≥50kg，改良种用除外,11673501,千克,97202,头,246897116.0
1051190,其他鸡，改良种用除外，重量≤185g,12444,千克,252550,只,957990.0
1061490,"其他家兔及野兔,改良种用除外",1738,千克,572,只,386601.0
1061910,其他改良种用哺乳动物,900,千克,87,只,488221.0
1061990,"未列名哺乳动物,改良种用除外",5998,千克,21684,只,14893675.0
1062020,食用爬行动物,44125,千克,34805,只,3664495.0
1062090,未列名爬行动物,513,千克,71250,只,115193.0
1064910,改良种用昆虫,21,千克,26730,只,3422.0
1064990,"其他昆虫,改良种用除外",1560,千克,2340000,只,19097.0
1069090,"其他活动物,改良种用除外",42825,千克,144450,只,276298.0
2031200,鲜或冷的带骨猪前腿、猪后腿及其肉块,699028,千克,0,?,19273905.0
2031900,其他鲜或冷的猪肉,457599,千克,0,?,13026772.0
2032110,冻整头及半头乳猪肉,3600,千克,0,?,103404.0
2032190,其他冻整头及半头猪肉,82500,千克,0,?,1739957.0
2032900,其他冻猪肉,1117100,千克,0,?,44395871.0
2044200,冻带骨绵羊肉,97895,千克,0,?,7923690.0
2044300,冻去骨绵羊肉,54752,千克,0,?,3662565.0
2050000,鲜、冷、冻的马、驴、骡肉,21199,千克,0,?,2466379.0
2062900,其他冻牛杂碎,10000,千克,0,?,106080.0
2069000,其他冻杂碎（牛、猪杂碎除外）,2858,千克,0,?,275551.0
2071100,整只鸡，鲜或冷的,6023052,千克,0,?,145961309.0
2071200,整只鸡，冻的,212016,千克,0,?,4469951.0
2071311,鲜或冷的带骨鸡块,153806,千克,0,?,3953187.0
2071319,鲜或冷的其他鸡块,7810,千克,0,?,210826.0
2071321,鲜或冷的鸡翼（不包括翼尖）,554,千克,0,?,14852.0
2071329,鲜或冷的其他鸡杂碎,11152,千克,0,?,245550.0
2071411,带骨的冻鸡块,2037846,千克,0,?,24233988.0
2071419,其他冻鸡块,10779732,千克,0,?,138457050.0
2071421,冻鸡翼（不包括翼尖）,440400,千克,0,?,9166555.0
2071422,冻鸡爪,1500,千克,0,?,12683.0
2071429,其他冻鸡杂碎,441630,千克,0,?,2424818.0
2074100,鲜或冷的整只鸭,1645895,千克,0,?,27184374.0
2074200,整只冻鸭,1666652,千克,0,?,18271920.0
2074400,鲜或冷的鸭块及杂碎,20819,千克,0,?,342048.0
2074500,冻的鸭块及杂碎,500352,千克,0,?,4994006.0
2075100,鲜或冷的整只鹅,1168624,千克,0,?,41228876.0
2075200,整只冻鹅,11430,千克,0,?,373146.0
2075400,鲜或冷的鹅块及杂碎,37454,千克,0,?,1164338.0
2081020,冻兔肉，不包括兔头,414600,千克,0,?,10899283.0
2089010,鲜、冷、冻的乳鸽肉及食用杂碎,403996,千克,0,?,19456998.0
2089090,其他鲜、冷、冻的肉及食用杂碎,10367,千克,0,?,664546.0
2101190,干、熏、盐腌或盐渍其他带骨猪肉块,314,千克,0,?,50064.0
2101900,其他干、熏、盐腌或盐渍猪肉,1772,千克,0,?,189184.0
2109900,其他干、熏、盐腌或盐渍肉及食用杂碎，包括可供食用的肉或杂碎的细粉、粗粉,32865,千克,0,?,1024438.0
3011100,淡水观赏鱼,11529,千克,0,?,1303892.0
3019290,其他活鳗鱼，鱼苗除外,1220625,千克,0,?,148423127.0
3019390,"其他活鲤科鱼, 鱼苗除外",2263523,千克,0,?,58801088.0
3019919,其他鱼苗,703915,千克,0,?,70686475.0
3019991,活罗非鱼,125687,千克,0,?,2444737.0
3019992,活?,13000,千克,0,?,1891338.0
3019993,其他活鲤科鱼,677068,千克,0,?,18289777.0
3019999,其他活鱼,5231289,千克,0,?,272176016.0
3022300,鲜或冷的鳎鱼,23141,千克,0,?,967495.0
3022900,其他鲜或冷的比目鱼,56256,千克,0,?,5939760.0
3023900,其他鲜或冷的金枪鱼,4900,千克,0,?,87965.0
3024600,鲜或冷的军曹鱼,128184,千克,0,?,6239268.0
