商品编码,商品名称,第一数量,第一计量单位,第二数量,第二计量单位,人民币
1022100,改良种用家牛,264550,千克,481,头,7574588.0
1029090,其他牛，改良种用除外,394410,千克,553,头,15453302.0
1039200,其他猪，重量≥50kg，改良种用除外,13127248,千克,104390,头,197706228.0
1051190,其他鸡，改良种用除外，重量≤185g,14072,千克,300317,只,1285787.0
1061490,"其他家兔及野兔,改良种用除外",689,千克,284,只,477025.0
1061990,"未列名哺乳动物,改良种用除外",6221,千克,23070,只,15993298.0
1062020,食用爬行动物,80089,千克,41696,只,4883280.0
1062090,未列名爬行动物,1985,千克,174304,只,1835154.0
1064910,改良种用昆虫,10,千克,14400,只,1985.0
1064990,"其他昆虫,改良种用除外",2048,千克,3270500,只,84692.0
1069011,改良种用蛙苗,7,千克,1750000,只,14000.0
1069090,"其他活动物,改良种用除外",47383,千克,7645762,只,1299261.0
2012000,鲜或冷的带骨牛肉,460,千克,0,?,32144.0
2013000,鲜或冷的去骨牛肉,37199,千克,0,?,4442951.0
2022000,冻带骨牛肉,5587,千克,0,?,83321.0
2023000,冻去骨牛肉,88164,千克,0,?,6322174.0
2031190,其他鲜或冷的整头及半头猪肉,269061,千克,0,?,6235794.0
2031200,鲜或冷的带骨猪前腿、猪后腿及其肉块,296278,千克,0,?,5984638.0
2031900,其他鲜或冷的猪肉,97316,千克,0,?,2624964.0
2032110,冻整头及半头乳猪肉,68161,千克,0,?,5029320.0
2032190,其他冻整头及半头猪肉,65827,千克,0,?,1468665.0
2032200,冻带骨猪前腿、猪后腿及其肉块,20540,千克,0,?,451828.0
2032900,其他冻猪肉,5256504,千克,0,?,108113799.0
2044200,冻带骨绵羊肉,117046,千克,0,?,8746622.0
2044300,冻去骨绵羊肉,30377,千克,0,?,2444340.0
2050000,鲜、冷、冻的马、驴、骡肉,35140,千克,0,?,3370983.0
2061000,鲜或冷的牛杂碎,530,千克,0,?,28325.0
2062100,冻牛舌,200,千克,0,?,16299.0
2062200,冻牛肝,1216958,千克,0,?,7690582.0
2062900,其他冻牛杂碎,72303,千克,0,?,729229.0
2064100,冻猪肝,1500,千克,0,?,9450.0
2064900,其他冻猪杂碎,48124,千克,0,?,583067.0
2069000,其他冻杂碎（牛、猪杂碎除外）,114444,千克,0,?,1342778.0
2071100,整只鸡，鲜或冷的,5506435,千克,0,?,116851145.0
2071200,整只鸡，冻的,1900447,千克,0,?,21700984.0
2071311,鲜或冷的带骨鸡块,263984,千克,0,?,6577559.0
2071319,鲜或冷的其他鸡块,41101,千克,0,?,1279063.0
2071321,鲜或冷的鸡翼（不包括翼尖）,5966,千克,0,?,177979.0
2071329,鲜或冷的其他鸡杂碎,29728,千克,0,?,696858.0
2071411,带骨的冻鸡块,14811277,千克,0,?,141067804.0
2071419,其他冻鸡块,59778092,千克,0,?,652567357.0
