商品编码,商品名称,第一数量,第一计量单位,第二数量,第二计量单位,美元
1029090,其他牛，改良种用除外,1020785,千克,1669,头,5061437.0
1031000,改良种用猪,20145,千克,286,头,100750.0
1039120,其他猪，10kg≤重量＜50kg，改良种用除外,79406,千克,1663,头,333566.0
1039200,其他猪，重量≥50kg，改良种用除外,15320979,千克,141789,头,48070673.0
1042090,其他山羊，改良种用除外,18280,千克,550,头,149030.0
1051190,其他鸡，改良种用除外，重量≤185g,8185,千克,179560,只,51040.0
1059490,其他鸡，改良种用除外，重量＞185g,437552,千克,218031,只,1239827.0
1061190,其他灵长目动物，改良种用除外,4968,千克,1778,只,2744171.0
1061490,"其他家兔及野兔,改良种用除外",7089,千克,900,只,40539.0
1061990,"未列名哺乳动物,改良种用除外",3284,千克,1826,只,294715.0
1062020,食用爬行动物,6133,千克,7147,只,67542.0
1062090,未列名爬行动物,1051,千克,77800,只,16039.0
1063910,其他改良种用鸟,30,千克,25,只,786.0
1063921,食用乳鸽,47772,千克,77025,只,222271.0
1063929,其他食用鸟,11910,千克,15760,只,18347.0
1064990,"其他昆虫,改良种用除外",2200,千克,792000,只,2839.0
1069011,改良种用蛙苗,3,千克,400,只,400.0
1069090,"其他活动物,改良种用除外",9023,千克,50000,只,6320.0
2023000,冻去骨牛肉,245772,千克,0,?,2534708.0
2031200,鲜、冷带骨猪前腿、猪后腿及其肉块,46000,千克,0,?,195870.0
2031900,其他鲜、冷猪肉,693337,千克,0,?,3249981.0
2032110,冻整头及半头乳猪肉,99376,千克,0,?,1056466.0
2032190,其他冻整头及半头猪肉,33090,千克,0,?,147552.0
2032200,冻带骨猪前腿、猪后腿及其肉块,600,千克,0,?,3413.0
2032900,其他冻猪肉,2799285,千克,0,?,13342589.0
2044200,冻带骨绵羊肉,51745,千克,0,?,444550.0
2044300,冻去骨绵羊肉,105473,千克,0,?,728816.0
2045000,山羊肉,317059,千克,0,?,3058450.0
2050000,鲜、冷、冻马、驴、骡肉,1318,千克,0,?,24049.0
2062900,其他冻牛杂碎,10950,千克,0,?,19364.0
2064900,其他冻猪杂碎,434350,千克,0,?,561983.0
2069000,其他冻杂碎（牛、猪杂碎除外）,24401,千克,0,?,74007.0
2071100,整只鸡，鲜或冷的,4739731,千克,0,?,15151703.0
2071200,整只鸡，冻的,284937,千克,0,?,901500.0
2071311,鲜或冷的带骨鸡块,9860,千克,0,?,33428.0
2071329,鲜或冷的其他鸡杂碎,6588,千克,0,?,20352.0
2071411,带骨的冻鸡块,1046888,千克,0,?,2099428.0
2071419,其他冻鸡块,8421454,千克,0,?,15608140.0
2071421,冻鸡翼（不包括翼尖）,53200,千克,0,?,304816.0
2071429,其他冻鸡杂碎,352734,千克,0,?,230936.0
2074100,鲜或冷的整只鸭,1819517,千克,0,?,4803450.0
2074200,整只冻鸭,279363,千克,0,?,688182.0
2074500,冻的鸭块及杂碎,1515446,千克,0,?,1847168.0
2075100,鲜或冷的整只鹅,839089,千克,0,?,3429106.0
2075200,整只冻鹅,2172,千克,0,?,10650.0
2075400,鲜或冷的鹅块及杂碎,400,千克,0,?,1962.0
2075500,冻的鹅块及杂碎,420,千克,0,?,1548.0
2081020,冻兔肉，不包括兔头,671734,千克,0,?,2424252.0
2089010,鲜、冷、冻乳鸽肉及食用杂碎,247876,千克,0,?,835725.0
2089090,其他鲜、冷、冻肉及食用杂碎,22000,千克,0,?,117884.0
2101200,干、熏、盐腌或盐渍猪腹肉（五花肉）,33168,千克,0,?,145026.0
2101900,其他干、熏、盐腌或盐渍猪肉,48767,千克,0,?,442180.0
2109900,其他干、熏、盐腌或盐渍肉及食用杂碎，包括可供食用的肉或杂碎的细粉、粗粉,22498,千克,0,?,135291.0
3011100,淡水观赏鱼,20348,千克,0,?,343558.0
3011900,其他观赏鱼,30,千克,0,?,404.0
3019290,其他活鳗（鳗鲡属）鱼，鱼苗除外,357067,千克,0,?,7914041.0
3019390,"其他活鲤科鱼（西鲤、黑?、草鱼、鲢属、鲮属、青鱼）,鱼苗除外",3656284,千克,0,?,12757921.0
3019911,鲈鱼苗,20600,千克,0,?,155299.0
3019919,其他鱼苗,252500,千克,0,?,1896418.0
3019991,活罗非鱼,138785,千克,0,?,425789.0
3019992,活?,8100,千克,0,?,156750.0
3019993,其他活鲤科鱼,1087891,千克,0,?,3904217.0
3019999,其他活鱼,2456125,千克,0,?,17282052.0
3022300,鲜、冷鳎鱼,17292,千克,0,?,168910.0
3025100,鲜、冷鳕鱼（大西洋鳕鱼、格陵兰鳕鱼、太平洋鳕鱼）,3952,千克,0,?,9548.0
3027300,鲜、冷鲤科鱼（西鲤、黑?、草鱼、鲢属、鲮属、青鱼）,2644,千克,0,?,1285.0
3027400,鲜、冷鳗鱼（鳗鲡属）,51972,千克,0,?,456010.0
3028200,鲜、冷?鱼及鳐鱼（鳐科）,17500,千克,0,?,136704.0
3028910,鲜、冷带鱼,6271,千克,0,?,45313.0
3028920,鲜、冷黄鱼,247650,千克,0,?,1291339.0
3028930,鲜、冷鲳鱼,151656,千克,0,?,1159201.0
3028940,鲜、冷?,8568,千克,0,?,106529.0
3028990,其他鲜、冷鱼,1460860,千克,0,?,8219794.0
3029000,鲜、冷鱼肝及鱼卵,130622,千克,0,?,2812998.0
3031200,其他冻大麻哈鱼,353864,千克,0,?,632299.0
3031300,冻大西洋鲑鱼及多瑙哲罗鱼,16236,千克,0,?,97931.0
3032300,冻罗非鱼（口孵非鲫属）,11925501,千克,0,?,25465966.0
3032400,冻鲶鱼（(鱼芒)鲶属、鲶属、胡鲶属、真?属）,391670,千克,0,?,636727.0
3032500,冻鲤科鱼（西鲤、黑?、草鱼、鲢属、鲮属、青鱼）,29325,千克,0,?,110985.0
3032600,冻鳗鱼（鳗鲡属）,549357,千克,0,?,6836132.0
3033110,冻格陵兰庸鲽鱼,385218,千克,0,?,1920897.0
3033190,其他冻庸鲽鱼,136312,千克,0,?,793894.0
3033200,冻鲽鱼,37890,千克,0,?,318380.0
3033300,冻鳎鱼,202236,千克,0,?,1001988.0
3033400,冻大菱鲆（瘤棘?）,8364,千克,0,?,59878.0
3033900,其他冻比目鱼（鲽科、?科、舌鳎科、鳎科、菱?科、刺?科）,1364747,千克,0,?,3466909.0
3034100,冻长鳍金枪鱼,445987,千克,0,?,3320868.0
3034200,冻黄鳍金枪鱼,2481116,千克,0,?,10069108.0
3034300,冻鲣鱼或狐鲣,5062327,千克,0,?,12760679.0
3034400,冻大眼金枪鱼,2306594,千克,0,?,12696657.0
3034900,其他冻金枪鱼(金枪鱼属),287245,千克,0,?,2347736.0
3035100,冻鲱鱼（大西洋鲱鱼、太平洋鲱鱼）,501680,千克,0,?,340401.0
3035300,冻沙丁鱼（沙丁鱼、沙瑙鱼属）、小沙丁鱼属、黍鲱或西鲱,5703964,千克,0,?,10315083.0
3035400,冻鲭鱼〔大西洋鲭、澳洲鲭（鲐）、日本鲭（鲐）〕,12187120,千克,0,?,22475797.0
3035500,冻对称竹荚鱼、新西兰竹荚鱼及竹荚鱼(竹荚鱼属),128800,千克,0,?,114686.0
3035700,冻剑鱼,150325,千克,0,?,798207.0
3036300,冻鳕鱼（大西洋鳕鱼、格陵兰鳕鱼、太平洋鳕鱼）,75460,千克,0,?,94833.0
3036600,冻狗鳕鱼(无须鳕属、长鳍鳕属),34962,千克,0,?,54533.0
3036700,冻狭鳕鱼,3292090,千克,0,?,3163130.0
3036900,其他冻冻犀鳕科、冻多丝真鳕科、冻鳕科、冻长尾鳕科、冻黑鳕科、冻无须鳕科、冻深海鳕科及南极鳕科鱼,70765,千克,0,?,172298.0
3038100,冻角鲨及其他鲨鱼,95938,千克,0,?,1087171.0
3038200,冻?鱼及鳐鱼（鳐科）,217570,千克,0,?,287934.0
3038400,冻尖吻鲈鱼(舌齿鲈属),167896,千克,0,?,1376108.0
3038910,冻带鱼,1867077,千克,0,?,11045770.0
3038920,冻黄鱼,4449835,千克,0,?,30876970.0
3038930,冻鲳鱼,3094025,千克,0,?,20190910.0
3038990,其他未列名冻鱼,27039080,千克,0,?,60796699.0
3039000,冻鱼肝及鱼卵,57086,千克,0,?,519735.0
3043900,鲜或冷鲤科鱼、鳗鱼（鳗鲡属）及黑鱼（鳢属）的鱼片,104250,千克,0,?,390648.0
3045100,鲜或冷的罗非鱼、鲶鱼、鲤科鱼、鳗鱼、尼罗河鲈鱼及黑鱼鱼肉,560195,千克,0,?,2535737.0
3045900,其他鲜或冷的鱼肉,5296,千克,0,?,33849.0
3046100,冻罗非鱼（口孵非鲫属）的鱼片,15232340,千克,0,?,56573061.0
3046211,冻斑点叉尾?鱼的鱼片,628072,千克,0,?,4861194.0
3046219,其他冻叉尾?鱼的鱼片,2082,千克,0,?,3170.0
3046300,冻尼罗河鲈鱼（尼罗尖吻鲈）的鱼片,76148,千克,0,?,762072.0
3046900,冻鲤科鱼、鳗鱼（鳗鲡属）及黑鱼（鳢属）的鱼片,54620,千克,0,?,251265.0
3047100,冻鳕鱼（大西洋鳕鱼、格陵兰鳕鱼、太平洋鳕鱼、格陵兰鳕鱼）鱼片,9718705,千克,0,?,51659363.0
3047200,冻黑线鳕鱼（黑线鳕）鱼片,1413803,千克,0,?,7690377.0
3047300,冻绿青鳕鱼鱼片,629189,千克,0,?,3114887.0
3047400,冻狗鳕鱼(无须鳕属、长鳍鳕属)鱼片,1467907,千克,0,?,3459788.0
3047500,冻狭鳕鱼鱼片,19443146,千克,0,?,56344229.0
3047900,其他冻的犀鳕科、多丝真鳕科、鳕科、长尾鳕科、黑鳕科、无须鳕科、深海鳕科及南极鳕科鱼的鱼片,844471,千克,0,?,3080193.0
3048100,冻大麻哈鱼、大西洋鲑鱼及多瑙哲罗鱼的鱼片,6718373,千克,0,?,39482223.0
3048200,冻鳟鱼的鱼片,179223,千克,0,?,2444797.0
3048300,冻比目鱼（鲽科、?科、舌鳎科、鳎科、菱?科、刺?科）的鱼片,8509073,千克,0,?,41852365.0
3048400,冻剑鱼的鱼片,5425,千克,0,?,97650.0
3048600,冻鲱鱼（大西洋鲱鱼、太平洋鲱鱼）的鱼片,30665,千克,0,?,64409.0
3048700,冻金枪鱼(金枪鱼属)、鲣鱼或狐鲣(鲣)的鱼片,705245,千克,0,?,10874300.0
3048900,其他冻鱼片,9723926,千克,0,?,49889784.0
3049100,冻剑鱼鱼肉,60596,千克,0,?,679821.0
3049200,冻南极犬牙鱼(南极犬牙鱼属)鱼肉,5261,千克,0,?,49970.0
3049300,冻罗非鱼、鲶鱼、鲤科鱼、鳗鱼、尼罗河鲈鱼及黑鱼鱼肉,20200,千克,0,?,22983.0
3049400,冻狭鳕鱼鱼肉,258989,千克,0,?,802649.0
3049500,冻犀鳕科、多丝真鳕科、鳕科、长尾鳕科、黑鳕科、无须鳕科、深海鳕科及南极鳕科鱼，狭鳕鱼除外的鱼肉,326096,千克,0,?,1468491.0
3049900,其他冻鱼肉,4703085,千克,0,?,25058773.0
3051000,适合供人食用的鱼的细粉、粗粉及团粒,232833,千克,0,?,967352.0
3052000,干、熏、盐腌或盐渍的鱼肝及鱼卵,584468,千克,0,?,7171602.0
3053200,干、盐腌或盐渍犀鳕科、多丝真鳕科、鳕科、长尾鳕科、黑鳕科、无须鳕科、深海鳕科及南极鳕科鱼的鱼片,2977350,千克,0,?,12736074.0
3053900,其他干、盐腌或盐渍的鱼片,287107,千克,0,?,1430951.0
3054110,熏大西洋鲑鱼（不包括食用杂碎）,3810,千克,0,?,49303.0
3054120,熏大麻哈鱼及多瑙哲罗鱼（不包括食用杂碎）,2028,千克,0,?,29191.0
3054300,熏鳟鱼（不包括食用杂碎）,70859,千克,0,?,946544.0
3054900,其他熏鱼（不包括食用杂碎）,125583,千克,0,?,737814.0
3055100,干鳕鱼(大西洋鳕鱼、格陵兰鳕鱼、太平洋鳕鱼)（不包括食用杂碎）,149595,千克,0,?,1354206.0
3055990,其他干鱼（不包括食用杂碎）,1462362,千克,0,?,11468509.0
3056200,盐腌及盐渍的鳕鱼(大西洋鳕鱼、格陵兰鳕鱼、太平洋鳕鱼)（不包括食用杂碎）,94935,千克,0,?,702670.0
3056300,盐腌及盐渍的?鱼（不包括食用杂碎）,109533,千克,0,?,188591.0
3056910,盐腌及盐渍的带鱼（不包括食用杂碎）,1550,千克,0,?,6251.0
3056990,未列名盐腌及盐渍的鱼（不包括食用杂碎）,438822,千克,0,?,1758828.0
3057100,鲨鱼翅,28643,千克,0,?,805979.0
3057200,鱼头、鱼尾、鱼鳔,9212,千克,0,?,310852.0
3057900,其他鱼鳍及其他可食用杂碎,14984,千克,0,?,127476.0
3061100,冻的岩礁虾和其他龙虾（真龙虾属、龙虾属、岩龙虾属）,3900,千克,0,?,48108.0
3061200,冻鳌龙虾(鳌龙虾属),9540,千克,0,?,327041.0
3061410,冻梭子蟹,5022714,千克,0,?,31418245.0
3061490,其他冻蟹,1626121,千克,0,?,30886732.0
3061500,冻挪威海鳌虾,48000,千克,0,?,763200.0
3061611,冻冷水小虾仁,307545,千克,0,?,4703665.0
3061612,其他冻北方长额小虾,63984,千克,0,?,321707.0
3061619,其他冻冷水小虾,47900,千克,0,?,149102.0
3061629,其他冻冷水对虾,2517,千克,0,?,105404.0
3061711,其他冻小虾仁,3299624,千克,0,?,21663539.0
3061719,其他冻小虾,1192746,千克,0,?,2837987.0
3061721,其他冻对虾仁,4802886,千克,0,?,63428814.0
3061729,其他冻对虾,947593,千克,0,?,11156582.0
3061911,冻淡水小龙虾仁,96,千克,0,?,3895.0
3061990,其他冻甲壳动物，包括适合供人食用的甲壳动物的细粉、粗粉及团粒,46632,千克,0,?,295773.0
3062290,未冻鳌龙虾（鳌龙虾属），种苗除外,50004,千克,0,?,493145.0
3062410,蟹种苗,25500,千克,0,?,2550000.0
3062491,未冻的中华绒毛蟹（大闸蟹）,1230255,千克,0,?,28503647.0
3062492,未冻的梭子蟹,23282,千克,0,?,288397.0
3062499,其他未冻的蟹,71622,千克,0,?,1176317.0
3062690,其他未冻的冷水小虾及对虾，种苗除外,6060,千克,0,?,107818.0
3062710,其他小虾种苗及对虾种苗,1101,千克,0,?,26674.0
3062720,其他鲜、冷对虾，种苗除外,147911,千克,0,?,2048744.0
3062790,其他未冻的小虾及对虾，种苗除外,7514276,千克,0,?,15564438.0
3062910,其他食用甲壳动物的种苗,40,千克,0,?,1160.0
3062990,未列名未冻的甲壳动物；适合供人食用的甲壳动物的细粉、粗粉及团粒,3859,千克,0,?,58974.0
3071190,"活、鲜或冷的牡蛎(蚝), 种苗除外",69270,千克,0,?,193547.0
3071900,冻、干、盐腌、盐渍或熏制的牡蛎(蚝),22272,千克,0,?,85164.0
3072110,扇贝种苗,9000,千克,0,?,7500.0
3072190,活、鲜或冷的扇贝，种苗除外,100120,千克,0,?,604220.0
3072900,冻、干、盐腌、盐渍或熏制的扇贝,2327071,千克,0,?,41224666.0
3073900,冻、干、盐腌、盐渍或熏制的贻贝,142500,千克,0,?,310963.0
3074190,活、鲜或冷的墨鱼及鱿鱼，种苗除外,66918,千克,0,?,325715.0
3074900,冻、干、盐腌、盐渍或熏制的墨鱼及鱿鱼,36011603,千克,0,?,214541116.0
3075100,活、鲜或冷的章鱼,886563,千克,0,?,5921332.0
3075900,冻、干、盐腌、盐渍或熏制的章鱼,4751992,千克,0,?,30114408.0
3077110,蛤、鸟蛤及舟贝的种苗,1968200,千克,0,?,1908600.0
3077191,活、鲜或冷的蛤，种苗除外,8984319,千克,0,?,14667127.0
3077199,活、鲜或冷的鸟蛤及舟贝，种苗除外,282871,千克,0,?,883055.0
3077910,冻、干、盐腌、盐渍或熏制的蛤,145932,千克,0,?,473547.0
3077990,冻、干、盐腌、盐渍或熏制的鸟蛤及舟贝,372834,千克,0,?,2921766.0
3078190,活、鲜或冷的鲍鱼（鲍属），种苗除外,87882,千克,0,?,2287452.0
3078900,冻、干、盐腌、盐渍或熏制的鲍鱼（鲍属）,178225,千克,0,?,6499283.0
3079110,其他带壳或去壳的软体动物的种苗,444,千克,0,?,1110.0
3079190,未列名活、鲜、冷的带壳或去壳的软体动物，种苗除外,500000,千克,0,?,745236.0
3079900,未列名冻、干、盐腌、盐渍或熏制的带壳或去壳的软体动物；供人食用的软体动物细粉、粗粉及团粒,5597264,千克,0,?,17481464.0
3081900,冻、干、盐腌、盐渍或熏制的海参(仿刺参、海参纲),67592,千克,0,?,3727947.0
3082190,"活、鲜或冷的海胆, 种苗除外",6208,千克,0,?,411243.0
3082900,冻、干、盐腌、盐渍或熏制的海胆,15423,千克,0,?,613849.0
3083090,冻、干、盐腌、盐渍或熏制的海蜇,630219,千克,0,?,5275380.0
3089012,"活、鲜或冷的沙蚕, 种苗除外",93816,千克,0,?,1802006.0
3089019,"未列名活、鲜或冷的不属于甲壳动物及软体动物的水生无脊椎动物, 种苗除外",30499,千克,0,?,187610.0
3089090,其他冻、干、盐腌、盐渍或熏制的不属于甲壳动物及软体动物的水生无脊椎动物,79413,千克,0,?,595046.0
4011000,"未浓缩及未加糖或其他甜物质的乳及奶油, 含脂量不超过1%",20,千克,0,?,63.0
4012000,"未浓缩及未加糖或其他甜物质的乳及奶油, 含脂量超过1%,但不超过6%",1895437,千克,0,?,1791865.0
4021000,粉状、粒状或其他固状乳及奶油，含脂量≤1.5％,60,千克,0,?,571.0
4022100,粉状、粒状或其他固状乳及奶油，含脂量＞1.5％，未加糖或其他甜物质,114598,千克,0,?,239660.0
4022900,粉状、粒状或其他固状乳及奶油，含脂量＞1.5％，加糖或其他甜物质,85163,千克,0,?,395998.0
4029100,非固状乳及奶油，未加糖或其他甜物质,27199,千克,0,?,67812.0
4029900,非固状乳及奶油，加糖或其他甜物质,28433,千克,0,?,72087.0
4031000,酸乳,1615,千克,0,?,3611.0
4039000,其他酪乳、结块的乳及奶油、酸乳酒及其他发酵或酸化的乳和奶油,42613,千克,0,?,41285.0
4041000,乳清及改性乳清，不论是否浓缩、加糖或其他甜物质,2000,千克,0,?,18100.0
4051000,黄油,78780,千克,0,?,169964.0
4059000,其他从乳中提取的脂和油,25200,千克,0,?,76605.0
4062000,各种磨碎或粉化的乳酪,20,千克,0,?,480.0
4063000,经过加工的乳酪（但磨碎或粉化的除外）,21832,千克,0,?,144768.0
4071100,孵化用受精鸡蛋,1834,千克,31747,个,36315.0
4072100,鲜鸡蛋,6355065,千克,104694840,个,9882297.0
4072900,其他鲜蛋,20217,千克,858600,个,47730.0
4079010,咸蛋,699706,千克,9645352,个,1765957.0
4079020,皮蛋,612632,千克,8797384,个,1671571.0
4079090,未列名腌制或煮过的带壳禽蛋,11904,千克,182400,个,41300.0
4081100,干蛋黄,40900,千克,0,?,257435.0
4081900,其他蛋黄,41778,千克,0,?,142944.0
4089100,干去壳禽蛋,31555,千克,0,?,385562.0
4089900,其他去壳禽蛋,328025,千克,0,?,712140.0
4090000,天然蜂蜜,11055187,千克,0,?,23743627.0
4100041,鲜蜂王浆,74916,千克,0,?,1979947.0
4100042,鲜蜂王浆粉,20551,千克,0,?,1771854.0
4100043,蜂花粉,273064,千克,0,?,1330250.0
4100049,其他蜂产品,29271,千克,0,?,551231.0
4100090,未列名食用动物产品,803116,千克,0,?,1213637.0
5021010,猪鬃,406207,千克,0,?,5172324.0
5021020,猪毛,15208,千克,0,?,44799.0
5029011,制刷用山羊毛,11934,千克,0,?,2263975.0
5029019,未列名制刷用兽毛,1234,千克,0,?,857648.0
5040011,盐渍猪肠衣（猪大肠头除外）,6431572,千克,0,?,44904761.0
5040012,盐渍绵羊肠衣,1280076,千克,0,?,30602889.0
5040013,盐渍山羊肠衣,45056,千克,0,?,1089163.0
5040019,其他动物肠衣,30904,千克,0,?,2325339.0
5040029,其他动物的胃,1318,千克,0,?,13944.0
5040090,其他动物肠及膀胱，整个或切块,50600,千克,0,?,181411.0
5051000,填充用羽毛;羽绒,2816180,千克,0,?,30228493.0
