商品编码,商品名称,第一数量,第一计量单位,第二数量,第二计量单位,美元
1029090,其他牛，改良种用除外,920200,千克,1506,头,4732842.0
1039120,其他猪，10kg≤重量＜50kg，改良种用除外,50570,千克,1050,头,233868.0
1039200,其他猪，重量≥50kg，改良种用除外,14933512,千克,135354,头,38724748.0
1042090,其他山羊，改良种用除外,10170,千克,329,头,75737.0
1051190,其他鸡，改良种用除外，重量≤185g,7820,千克,180300,只,55667.0
1061190,其他灵长目动物，改良种用除外,2890,千克,870,只,1594793.0
1061490,"其他家兔及野兔,改良种用除外",4340,千克,1469,只,84902.0
1061990,"未列名哺乳动物,改良种用除外",1451,千克,1013,只,73823.0
1062020,食用爬行动物,44638,千克,26942,只,486948.0
1062090,未列名爬行动物,2078,千克,47512,只,28423.0
1069090,"其他活动物,改良种用除外",8850,千克,91500,只,13392.0
2023000,冻去骨牛肉,28156,千克,0,?,256913.0
2031200,鲜或冷的带骨猪前腿、猪后腿及其肉块,240525,千克,0,?,1109650.0
2031900,其他鲜或冷的猪肉,349804,千克,0,?,1458731.0
2032110,冻整头及半头乳猪肉,47780,千克,0,?,498353.0
2032900,其他冻猪肉,2348676,千克,0,?,11575647.0
2044200,冻带骨绵羊肉,25019,千克,0,?,275716.0
2044300,冻去骨绵羊肉,68546,千克,0,?,622793.0
2045000,山羊肉,111139,千克,0,?,997519.0
2062900,其他冻牛杂碎,13675,千克,0,?,22301.0
2071100,整只鸡，鲜或冷的,5992003,千克,0,?,18935253.0
2071200,整只鸡，冻的,229284,千克,0,?,716026.0
2071311,鲜或冷的带骨鸡块,77524,千克,0,?,300062.0
2071329,鲜或冷的其他鸡杂碎,13782,千克,0,?,45384.0
2071411,带骨的冻鸡块,1040092,千克,0,?,1852831.0
2071419,其他冻鸡块,4540633,千克,0,?,9497953.0
2071421,冻鸡翼（不包括翼尖）,43358,千克,0,?,218540.0
2071429,其他冻鸡杂碎,58440,千克,0,?,39791.0
2074100,鲜或冷的整只鸭,1609567,千克,0,?,3695412.0
2074200,整只冻鸭,232423,千克,0,?,459838.0
2074400,鲜或冷的鸭块及杂碎,794,千克,0,?,2539.0
2074500,冻的鸭块及杂碎,392491,千克,0,?,559767.0
2075100,鲜或冷的整只鹅,1001492,千克,0,?,4224899.0
2075200,整只冻鹅,5161,千克,0,?,28519.0
2075500,冻的鹅块及杂碎,400,千克,0,?,1330.0
2081020,冻兔肉，不包括兔头,426864,千克,0,?,2145024.0
2089010,鲜、冷、冻的乳鸽肉及食用杂碎,395676,千克,0,?,1333307.0
2091000,未炼制或用其他方法提取的不带瘦肉的肥猪肉、猪脂肪，鲜、冷、冻、干、熏、盐腌或盐渍的,77000,千克,0,?,74634.0
2101110,干、熏、盐腌或盐渍带骨猪腿,6000,千克,0,?,37878.0
2101200,干、熏、盐腌或盐渍猪腹肉（五花肉）,8201,千克,0,?,54736.0
2101900,其他干、熏、盐腌或盐渍猪肉,20302,千克,0,?,152509.0
2109900,其他干、熏、盐腌或盐渍肉及食用杂碎，包括可供食用的肉或杂碎的细粉、粗粉,13077,千克,0,?,50156.0
3011100,淡水观赏鱼,26700,千克,0,?,268711.0
3019290,其他活鳗鱼，鱼苗除外,713065,千克,0,?,20889226.0
3019390,"其他活鲤科鱼, 鱼苗除外",2764346,千克,0,?,9271469.0
3019919,其他鱼苗,3000,千克,0,?,28500.0
3019991,活罗非鱼,77982,千克,0,?,230961.0
3019992,活?,26350,千克,0,?,449701.0
3019993,其他活鲤科鱼,848119,千克,0,?,2932633.0
3019999,其他活鱼,1847846,千克,0,?,10827727.0
3022300,鲜或冷的鳎鱼,9817,千克,0,?,74859.0
3022900,其他鲜或冷的比目鱼,700,千克,0,?,13300.0
3025100,鲜或冷的鳕鱼,396952,千克,0,?,1010636.0
3027300,鲜或冷的鲤科鱼,7262,千克,0,?,20240.0
3027400,鲜或冷的鳗鱼,20417,千克,0,?,120097.0
3028200,鲜或冷的?鱼及鳐鱼,14780,千克,0,?,106949.0
3028910,鲜或冷的带鱼,7698,千克,0,?,44296.0
3028920,鲜或冷的黄鱼,661283,千克,0,?,2431347.0
3028930,鲜或冷的鲳鱼,62976,千克,0,?,370765.0
3028990,其他鲜或冷的鱼,685442,千克,0,?,3124632.0
3029100,鲜或冷的鱼肝、鱼卵及鱼精,118350,千克,0,?,2638487.0
3029900,其他鲜或冷的可食用鱼杂碎,29970,千克,0,?,1048950.0
3031100,冻红大麻哈鱼,17394,千克,0,?,54501.0
3031200,其他冻大麻哈鱼,258343,千克,0,?,1281962.0
3031300,冻大西洋鲑鱼及多瑙哲罗鱼,23466,千克,0,?,251487.0
3031400,冻鳟鱼,43546,千克,0,?,279858.0
3031900,其他冻鲑科鱼,18083,千克,0,?,72330.0
3032300,冻罗非鱼,6630957,千克,0,?,13841252.0
3032400,冻鲶鱼,74064,千克,0,?,211238.0
3032500,冻鲤科鱼,2000,千克,0,?,9060.0
3032600,冻鳗鱼,30360,千克,0,?,390402.0
3033110,冻格陵兰庸鲽鱼,291869,千克,0,?,2060778.0
3033190,其他冻庸鲽鱼,8568,千克,0,?,42840.0
3033200,冻鲽鱼,2125,千克,0,?,13123.0
3033300,冻鳎鱼,58910,千克,0,?,347233.0
3033400,冻大菱鲆,15111,千克,0,?,226515.0
3033900,其他冻比目鱼,1219835,千克,0,?,4111876.0
3034100,冻长鳍金枪鱼,764437,千克,0,?,2260602.0
3034200,冻黄鳍金枪鱼,383577,千克,0,?,1448780.0
3034300,冻鲣鱼或狐鲣,2473121,千克,0,?,5653556.0
3034400,冻大眼金枪鱼,350663,千克,0,?,2802375.0
3034900,其他冻金枪鱼,36950,千克,0,?,131772.0
3035100,冻鲱鱼,9067725,千克,0,?,5004242.0
3035300,冻的沙丁鱼、小沙丁鱼属、黍鲱或西鲱,4497866,千克,0,?,7631100.0
3035400,冻鲭鱼,23955120,千克,0,?,39299984.0
3035500,冻的对称竹荚鱼、新西兰竹荚鱼及竹荚鱼,31760,千克,0,?,54096.0
3035700,冻剑鱼,100931,千克,0,?,516712.0
3035900,冻的?鱼、印度鲭、马鲛鱼、?鱼、银鲳、秋刀鱼、圆?、多春鱼、鲔鱼、狐鲣、枪鱼 、旗鱼、四鳍旗鱼,2302789,千克,0,?,5555993.0
3036300,冻鳕鱼,24000,千克,0,?,36000.0
3036600,冻狗鳕鱼,439286,千克,0,?,823075.0
3036700,冻狭鳕鱼,4354090,千克,0,?,3650974.0
3036800,冻蓝鳕鱼,22750,千克,0,?,51188.0
3036900,其他冻的犀鳕科、多丝真鳕科、鳕科、长尾鳕科、黑鳕科、无须鳕科、深海鳕科及南极鳕科鱼,23000,千克,0,?,69339.0
3038100,冻角鲨及其他鲨鱼,159660,千克,0,?,1415816.0
3038400,冻尖吻鲈鱼,75000,千克,0,?,559850.0
3038910,冻带鱼,313566,千克,0,?,1946963.0
3038920,冻黄鱼,1579430,千克,0,?,12147682.0
3038930,冻鲳鱼,1105925,千克,0,?,5962603.0
3038990,未列名冻鱼,15331342,千克,0,?,43803380.0
3039100,冻的鱼肝、鱼卵及鱼精,115606,千克,0,?,6787154.0
3039900,其他冻的可食用鱼杂碎,150872,千克,0,?,4325402.0
3043900,鲜或冷的鲤科鱼、鳗鱼及黑鱼鱼片,117178,千克,0,?,430211.0
3045100,鲜或冷的罗非鱼、鲶鱼、鳗鱼尼罗河鲈鱼及黑鱼鱼肉,513132,千克,0,?,2276965.0
3045900,其他鲜或冷的鱼肉,15268,千克,0,?,64339.0
3046100,冻罗非鱼鱼片,6202720,千克,0,?,21345659.0
3046211,冻斑点叉尾?鱼鱼片,62437,千克,0,?,365345.0
3046219,其他冻叉尾?鱼鱼片,17120,千克,0,?,24027.0
3046290,其他冻鲶鱼鱼片,16220,千克,0,?,53834.0
3046300,冻尼罗河鲈鱼鱼片,57950,千克,0,?,602959.0
