商品编码,商品名称,第一数量,第一计量单位,第二数量,第二计量单位,美元
1029090,其他牛，改良种用除外,895825,千克,1452,头,4853221.0
1039200,其他猪，重量≥50kg，改良种用除外,6765619,千克,64117,头,34669325.0
1042090,其他山羊，改良种用除外,24000,千克,1200,头,135443.0
1051190,其他鸡，改良种用除外，重量≤185g,8528,千克,186400,只,88089.0
1061190,其他灵长目动物，改良种用除外,5590,千克,1924,只,3739864.0
1061490,"其他家兔及野兔,改良种用除外",2158,千克,957,只,82081.0
1061990,"未列名哺乳动物,改良种用除外",2462,千克,1921,只,135839.0
1062019,其他改良种用爬行动物,1066,千克,19150,只,15959.0
1062020,食用爬行动物,79498,千克,55588,只,774236.0
1062090,未列名爬行动物,2006,千克,202642,只,113173.0
1064990,"其他昆虫,改良种用除外",3673,千克,3188450,只,13343.0
1069019,其他改良种用活动物,120,千克,6,只,847.0
1069090,"其他活动物,改良种用除外",32850,千克,64439000,只,60772.0
2023000,冻去骨牛肉,25000,千克,0,?,170300.0
2031200,鲜或冷的带骨猪前腿、猪后腿及其肉块,404789,千克,0,?,2918112.0
2031900,其他鲜或冷的猪肉,518675,千克,0,?,3247276.0
2032900,其他冻猪肉,1708689,千克,0,?,8735317.0
2044100,冻整头及半头绵羊肉,1488,千克,0,?,15902.0
2044200,冻带骨绵羊肉,93869,千克,0,?,1077259.0
2044300,冻去骨绵羊肉,55375,千克,0,?,583638.0
2045000,山羊肉,30008,千克,0,?,341583.0
2050000,鲜、冷、冻的马、驴、骡肉,3961,千克,0,?,82011.0
2062900,其他冻牛杂碎,10000,千克,0,?,6547.0
2069000,其他冻杂碎（牛、猪杂碎除外）,1341,千克,0,?,17391.0
2071100,整只鸡，鲜或冷的,5712710,千克,0,?,20250129.0
2071200,整只鸡，冻的,293748,千克,0,?,1095099.0
2071311,鲜或冷的带骨鸡块,132571,千克,0,?,534870.0
2071329,鲜或冷的其他鸡杂碎,18265,千克,0,?,63834.0
2071411,带骨的冻鸡块,1497824,千克,0,?,3195887.0
2071419,其他冻鸡块,6109166,千克,0,?,14259138.0
2071421,冻鸡翼（不包括翼尖）,136703,千克,0,?,621085.0
2071429,其他冻鸡杂碎,139932,千克,0,?,157614.0
2074100,鲜或冷的整只鸭,1707239,千克,0,?,4393342.0
2074200,整只冻鸭,1327938,千克,0,?,1825620.0
2074400,鲜或冷的鸭块及杂碎,16008,千克,0,?,36098.0
2074500,冻的鸭块及杂碎,1793401,千克,0,?,2953942.0
2075100,鲜或冷的整只鹅,992734,千克,0,?,5256557.0
2075200,整只冻鹅,835,千克,0,?,4171.0
2075400,鲜或冷的鹅块及杂碎,3978,千克,0,?,12706.0
2081020,冻兔肉，不包括兔头,349323,千克,0,?,1710559.0
2089010,鲜、冷、冻的乳鸽肉及食用杂碎,353128,千克,0,?,1849332.0
2089090,其他鲜、冷、冻的肉及食用杂碎,9000,千克,0,?,82202.0
2101200,干、熏、盐腌或盐渍猪腹肉（五花肉）,4514,千克,0,?,29340.0
2101900,其他干、熏、盐腌或盐渍猪肉,5433,千克,0,?,56729.0
2109900,其他干、熏、盐腌或盐渍肉及食用杂碎，包括可供食用的肉或杂碎的细粉、粗粉,48934,千克,0,?,180991.0
3011100,淡水观赏鱼,38717,千克,0,?,305586.0
3019210,鳗鱼苗,200,千克,0,?,44600.0
3019290,其他活鳗鱼，鱼苗除外,491880,千克,0,?,12758175.0
3019390,"其他活鲤科鱼, 鱼苗除外",2624236,千克,0,?,7908732.0
3019919,其他鱼苗,102714,千克,0,?,343185.0
3019991,活罗非鱼,97530,千克,0,?,231887.0
3019992,活?,41500,千克,0,?,672680.0
3019993,其他活鲤科鱼,850145,千克,0,?,2786218.0
3019999,其他活鱼,2946616,千克,0,?,17178510.0
3022300,鲜或冷的鳎鱼,32466,千克,0,?,167474.0
3022900,其他鲜或冷的比目鱼,60,千克,0,?,1134.0
3024400,鲜或冷的鲭鱼,260,千克,0,?,650.0
3024600,鲜或冷的军曹鱼,25951,千克,0,?,177116.0
3024900,鲜或冷的印度鲭、马鲛鱼、?鱼、银鲳、秋刀鱼、圆?、多春鱼、鲔鱼、狐鲣、枪鱼 、旗鱼、四鳍旗鱼,1530,千克,0,?,16495.0
3027100,鲜或冷的罗非鱼,139,千克,0,?,442.0
3027300,鲜或冷的鲤科鱼,7860,千克,0,?,18708.0
3027400,鲜或冷的鳗鱼,36031,千克,0,?,276250.0
3028200,鲜或冷的?鱼及鳐鱼,36620,千克,0,?,164624.0
3028400,鲜或冷的尖吻鲈鱼,630,千克,0,?,3818.0
3028910,鲜或冷的带鱼,8259,千克,0,?,58057.0
3028920,鲜或冷的黄鱼,400945,千克,0,?,2845908.0
3028930,鲜或冷的鲳鱼,128125,千克,0,?,926661.0
3028990,其他鲜或冷的鱼,856059,千克,0,?,4363517.0
3029100,鲜或冷的鱼肝、鱼卵及鱼精,48034,千克,0,?,329704.0
3029900,其他鲜或冷的可食用鱼杂碎,2880,千克,0,?,2940.0
3031200,其他冻大麻哈鱼,27192,千克,0,?,75680.0
3031300,冻大西洋鲑鱼及多瑙哲罗鱼,26317,千克,0,?,203347.0
3031400,冻鳟鱼,22200,千克,0,?,142966.0
3031900,其他冻鲑科鱼,39244,千克,0,?,153053.0
3032300,冻罗非鱼,8327113,千克,0,?,16575399.0
3032400,冻鲶鱼,59320,千克,0,?,64104.0
3032600,冻鳗鱼,60615,千克,0,?,573511.0
3033110,冻格陵兰庸鲽鱼,481188,千克,0,?,4018040.0
3033190,其他冻庸鲽鱼,44168,千克,0,?,566442.0
3033200,冻鲽鱼,30147,千克,0,?,261403.0
3033300,冻鳎鱼,23000,千克,0,?,106720.0
3033900,其他冻比目鱼,1766141,千克,0,?,4977152.0
3034100,冻长鳍金枪鱼,1418259,千克,0,?,5914020.0
3034200,冻黄鳍金枪鱼,2132614,千克,0,?,7619611.0
3034300,冻鲣鱼或狐鲣,5928006,千克,0,?,13180167.0
3034400,冻大眼金枪鱼,561889,千克,0,?,3803832.0
3034900,其他冻金枪鱼,54450,千克,0,?,198885.0
3035100,冻鲱鱼,9918186,千克,0,?,4874386.0
