商品编码,商品名称,第一数量,第一计量单位,第二数量,第二计量单位,美元
1029090,其他牛，改良种用除外,1008303,千克,1616,头,6305411.0
1039200,其他猪，重量≥50kg，改良种用除外,9834003,千克,87963,头,42707264.0
1051190,其他鸡，改良种用除外，重量≤185g,12608,千克,260000,只,154597.0
1059490,其他鸡，改良种用除外，重量＞185g,133512,千克,55136,只,258669.0
1061490,"其他家兔及野兔,改良种用除外",1735,千克,634,只,61085.0
1061990,"未列名哺乳动物,改良种用除外",1823,千克,4379,只,428506.0
1062020,食用爬行动物,13325,千克,12845,只,149134.0
1062090,未列名爬行动物,2253,千克,231102,只,141188.0
1064990,"其他昆虫,改良种用除外",2160,千克,3240000,只,4158.0
1069090,"其他活动物,改良种用除外",29025,千克,291150,只,28578.0
2031200,鲜或冷的带骨猪前腿、猪后腿及其肉块,402740,千克,0,?,1731221.0
2031900,其他鲜或冷的猪肉,597109,千克,0,?,3253571.0
2032190,其他冻整头及半头猪肉,103800,千克,0,?,504312.0
2032900,其他冻猪肉,751492,千克,0,?,5856109.0
2044200,冻带骨绵羊肉,83665,千克,0,?,1095542.0
2044300,冻去骨绵羊肉,60393,千克,0,?,718542.0
2045000,鲜、冷、冻山羊肉,10000,千克,0,?,128664.0
2050000,鲜、冷、冻的马、驴、骡肉,8640,千克,0,?,160298.0
2062900,其他冻牛杂碎,10000,千克,0,?,16726.0
2069000,其他冻杂碎（牛、猪杂碎除外）,488,千克,0,?,6268.0
2071100,整只鸡，鲜或冷的,6158130,千克,0,?,22439897.0
2071200,整只鸡，冻的,251622,千克,0,?,779882.0
2071311,鲜或冷的带骨鸡块,151984,千克,0,?,615430.0
2071319,鲜或冷的其他鸡块,12970,千克,0,?,53683.0
2071321,鲜或冷的鸡翼（不包括翼尖）,1636,千克,0,?,6736.0
2071329,鲜或冷的其他鸡杂碎,17742,千克,0,?,63103.0
2071411,带骨的冻鸡块,2224162,千克,0,?,4721073.0
2071419,其他冻鸡块,7443873,千克,0,?,16038259.0
2071421,冻鸡翼（不包括翼尖）,185424,千克,0,?,737603.0
2071422,冻鸡爪,2250,千克,0,?,3000.0
2071429,其他冻鸡杂碎,240160,千克,0,?,310521.0
2074100,鲜或冷的整只鸭,1652023,千克,0,?,4222624.0
2074200,整只冻鸭,1243175,千克,0,?,2364387.0
2074300,鲜或冷的鸭肥肝,24000,千克,0,?,12631.0
2074400,鲜或冷的鸭块及杂碎,18528,千克,0,?,47087.0
2074500,冻的鸭块及杂碎,475604,千克,0,?,893116.0
2075100,鲜或冷的整只鹅,1212229,千克,0,?,6846612.0
2075200,整只冻鹅,238,千克,0,?,1684.0
2075400,鲜或冷的鹅块及杂碎,38581,千克,0,?,202306.0
2075500,冻的鹅块及杂碎,210,千克,0,?,1486.0
2081020,冻兔肉，不包括兔头,350621,千克,0,?,1458043.0
2089010,鲜、冷、冻的乳鸽肉及食用杂碎,377736,千克,0,?,2282534.0
2089090,其他鲜、冷、冻的肉及食用杂碎,6002,千克,0,?,56863.0
2101200,干、熏、盐腌或盐渍猪腹肉（五花肉）,1500,千克,0,?,15439.0
2101900,其他干、熏、盐腌或盐渍猪肉,880,千克,0,?,10238.0
2109900,其他干、熏、盐腌或盐渍肉及食用杂碎，包括可供食用的肉或杂碎的细粉、粗粉,15438,千克,0,?,74209.0
3011100,淡水观赏鱼,14430,千克,0,?,269520.0
3019290,其他活鳗鱼，鱼苗除外,815868,千克,0,?,14663628.0
3019310,鲤科鱼苗,2,千克,0,?,192.0
3019390,"其他活鲤科鱼, 鱼苗除外",2277063,千克,0,?,8293330.0
3019911,鲈鱼苗,21,千克,0,?,231.0
3019919,其他鱼苗,321117,千克,0,?,2411294.0
3019991,活罗非鱼,117585,千克,0,?,299400.0
3019992,活?,14380,千克,0,?,256450.0
3019993,其他活鲤科鱼,708136,千克,0,?,2718317.0
3019999,其他活鱼,4559852,千克,0,?,38155373.0
3022300,鲜或冷的鳎鱼,15356,千克,0,?,65563.0
3022900,其他鲜或冷的比目鱼,17484,千克,0,?,295865.0
3023900,其他鲜或冷的金枪鱼,280,千克,0,?,719.0
3024400,鲜或冷的鲭鱼,1026,千克,0,?,2355.0
3024600,鲜或冷的军曹鱼,36412,千克,0,?,259230.0
3024990,鲜、冷印度鲭(羽鳃鲐属)、马鲛鱼(马鲛属)、?鱼(?属）、秋刀鱼、圆?(圆?属）、多春鱼(毛鳞鱼）、鲔鱼、狐鲣(狐鲣属）、枪鱼 、旗鱼、四鳍旗鱼(旗鱼科）,6798,千克,0,?,32357.0
3027100,鲜或冷的罗非鱼,2473,千克,0,?,7582.0
3027300,鲜或冷的鲤科鱼,26331,千克,0,?,108915.0
3027400,鲜或冷的鳗鱼,40193,千克,0,?,220655.0
3028910,鲜或冷的带鱼,19894,千克,0,?,146856.0
3028920,鲜或冷的黄鱼,794923,千克,0,?,6403180.0
3028930,鲜或冷的鲳鱼(银鲳除外),176406,千克,0,?,1227938.0
3028990,其他鲜或冷的鱼,1373914,千克,0,?,7482507.0
3029900,其他鲜或冷的可食用鱼杂碎,3850,千克,0,?,5772.0
3031200,其他冻大麻哈鱼,26173,千克,0,?,42107.0
3031310,冻大西洋鲑鱼,53722,千克,0,?,378903.0
3031400,冻鳟鱼,392250,千克,0,?,2506242.0
3032300,冻罗非鱼,9264437,千克,0,?,20865779.0
3032400,冻鲶鱼,374811,千克,0,?,1009797.0
3032600,冻鳗鱼,36965,千克,0,?,418907.0
3033110,冻马舌鲽(格陵兰庸鲽鱼),368935,千克,0,?,2584865.0
3033190,其他冻庸鲽鱼,101605,千克,0,?,1751536.0
3033900,其他冻比目鱼,1599144,千克,0,?,3642320.0
3034100,冻长鳍金枪鱼,723337,千克,0,?,2346047.0
3034200,冻黄鳍金枪鱼,1645167,千克,0,?,11592135.0
3034300,冻鲣鱼或狐鲣,2841398,千克,0,?,6606486.0
3034400,冻大眼金枪鱼,366761,千克,0,?,2910551.0
3034510,冻大西洋蓝鳍金枪鱼,39421,千克,0,?,654556.0
3034900,其他冻金枪鱼,58240,千克,0,?,264701.0
3035100,冻鲱鱼,27093,千克,0,?,27093.0
3035300,冻的沙丁鱼、小沙丁鱼属、黍鲱或西鲱,1676877,千克,0,?,2267877.0
3035400,冻鲭鱼,16657568,千克,0,?,33210679.0
3035500,冻的对称竹荚鱼、新西兰竹荚鱼及竹荚鱼,699990,千克,0,?,1409434.0
3035700,冻剑鱼,323391,千克,0,?,2159441.0
3035910,冻银鲳(鲳属),30455,千克,0,?,580941.0
3035990,冻?鱼(?属）、冻印度鲭(羽鳃鲐属)、冻马鲛鱼(马鲛属)、冻?鱼(?属）、冻秋刀鱼、冻圆?(圆?属)、冻多春鱼(毛鳞鱼）、冻鲔鱼、冻狐鲣(狐鲣属）、冻枪鱼 、冻旗鱼、冻四鳍旗鱼(旗鱼科）,2694348,千克,0,?,8580920.0
3036700,冻狭鳕鱼,420040,千克,0,?,351390.0
3038100,冻角鲨及其他鲨鱼,378781,千克,0,?,3124272.0
3038200,冻?鱼及鳐鱼,893,千克,0,?,2775.0
3038400,冻尖吻鲈鱼,42000,千克,0,?,289348.0
3038910,冻带鱼,284660,千克,0,?,2503259.0
3038920,冻黄鱼,458132,千克,0,?,4007416.0
3038930,冻鲳鱼(银鲳除外),1172061,千克,0,?,8412781.0
3038990,未列名冻鱼,7785347,千克,0,?,34064477.0
3039100,冻的鱼肝、鱼卵及鱼精,32660,千克,0,?,192851.0
3039200,冻鲨鱼翅,20,千克,0,?,1254.0
3039900,其他冻的可食用鱼杂碎,265254,千克,0,?,680436.0
