商品编码,商品名称,第一数量,第一计量单位,第二数量,第二计量单位,美元
1029090,其他牛，改良种用除外,808926,千克,1281,头,5010419.0
1039120,其他猪，10kg≤重量＜50kg，改良种用除外,1499,千克,30,头,5733.0
1039200,其他猪，重量≥50kg，改良种用除外,10669077,千克,89381,头,43763852.0
1042090,其他山羊，改良种用除外,7500,千克,220,头,56056.0
1051190,其他鸡，改良种用除外，重量≤185g,13856,千克,278700,只,149755.0
1061490,"其他家兔及野兔,改良种用除外",747,千克,305,只,32309.0
1061990,"未列名哺乳动物,改良种用除外",3985,千克,6936,只,1412683.0
1062020,食用爬行动物,131573,千克,92625,只,1355531.0
1062090,未列名爬行动物,1541,千克,187302,只,92413.0
1064910,改良种用昆虫,15,千克,18800,只,376.0
1064990,"其他昆虫,改良种用除外",1672,千克,2564450,只,7315.0
1069090,"其他活动物,改良种用除外",68706,千克,628380,只,288877.0
2022000,冻带骨牛肉,370,千克,0,?,4619.0
2023000,冻去骨牛肉,735,千克,0,?,9365.0
2031200,鲜或冷的带骨猪前腿、猪后腿及其肉块,851150,千克,0,?,5010173.0
2031900,其他鲜或冷的猪肉,205356,千克,0,?,1208462.0
2032190,其他冻整头及半头猪肉,36000,千克,0,?,134023.0
2032900,其他冻猪肉,1045700,千克,0,?,6999738.0
2044200,冻带骨绵羊肉,97480,千克,0,?,1056687.0
2044300,冻去骨绵羊肉,62883,千克,0,?,666227.0
2045000,鲜、冷、冻山羊肉,88148,千克,0,?,1180307.0
2050000,鲜、冷、冻的马、驴、骡肉,30525,千克,0,?,528463.0
2062900,其他冻牛杂碎,7000,千克,0,?,11971.0
2069000,其他冻杂碎（牛、猪杂碎除外）,46624,千克,0,?,151685.0
2071100,整只鸡，鲜或冷的,6348355,千克,0,?,24052522.0
2071200,整只鸡，冻的,349255,千克,0,?,1076357.0
2071311,鲜或冷的带骨鸡块,152102,千克,0,?,618281.0
2071319,鲜或冷的其他鸡块,10704,千克,0,?,44982.0
2071321,鲜或冷的鸡翼（不包括翼尖）,860,千克,0,?,3603.0
2071329,鲜或冷的其他鸡杂碎,16908,千克,0,?,61431.0
2071411,带骨的冻鸡块,1609990,千克,0,?,2976069.0
2071419,其他冻鸡块,9168242,千克,0,?,17720288.0
2071421,冻鸡翼（不包括翼尖）,212300,千克,0,?,796551.0
