商品编码,商品名称,第一数量,第一计量单位,第二数量,第二计量单位,美元
1012900,其他马，改良种用除外,400,千克,2,头,"4,491"
1029090,其他牛，改良种用除外,547455,千克,812,头,"3,175,098"
1039200,其他猪，重量≥50kg，改良种用除外,12017898,千克,100196,头,"36,475,344"
1041090,其他绵羊，改良种用除外,18320,千克,916,头,"103,220"
1042090,其他山羊，改良种用除外,23640,千克,1122,头,"142,127"
1051190,其他鸡，改良种用除外，重量≤185g,13546,千克,297900,只,"173,521"
1061190,其他灵长目动物，改良种用除外,2,千克,8,只,"3,680"
1061490,"其他家兔及野兔,改良种用除外",1101,千克,409,只,"40,166"
1061910,其他改良种用哺乳动物,1080,千克,108,只,"61,350"
1061990,"未列名哺乳动物,改良种用除外",5252,千克,10879,只,"2,531,190"
1062020,食用爬行动物,114999,千克,86029,只,"808,802"
1062090,未列名爬行动物,1809,千克,173541,只,"111,755"
1064910,改良种用昆虫,11,千克,12200,只,244
1064990,"其他昆虫,改良种用除外",2111,千克,3416300,只,"6,919"
1069090,"其他活动物,改良种用除外",52465,千克,5004170,只,"413,987"
2012000,鲜或冷的带骨牛肉,1778,千克,0,?,"12,227"
2013000,鲜或冷的去骨牛肉,25730,千克,0,?,"328,793"
2022000,冻带骨牛肉,1300,千克,0,?,"7,280"
2023000,冻去骨牛肉,35865,千克,0,?,"309,891"
2031200,鲜或冷的带骨猪前腿、猪后腿及其肉块,329441,千克,0,?,"1,440,372"
2031900,其他鲜或冷的猪肉,150235,千克,0,?,"651,553"
2032110,冻整头及半头乳猪肉,22897,千克,0,?,"340,848"
2032190,其他冻整头及半头猪肉,121255,千克,0,?,"444,935"
2032900,其他冻猪肉,1712530,千克,0,?,"8,324,046"
2042100,鲜或冷的整头及半头绵羊肉,910,千克,0,?,"11,128"
2043000,冻整头及半头羔羊肉,728,千克,0,?,"7,922"
2044100,冻整头及半头绵羊肉,2000,千克,0,?,"14,024"
2044200,冻带骨绵羊肉,104483,千克,0,?,"1,119,168"
2044300,冻去骨绵羊肉,60769,千克,0,?,"585,512"
2045000,鲜、冷、冻山羊肉,42648,千克,0,?,"379,306"
2050000,鲜、冷、冻的马、驴、骡肉,47688,千克,0,?,"768,534"
2061000,鲜或冷的牛杂碎,5922,千克,0,?,"47,830"
2062900,其他冻牛杂碎,28345,千克,0,?,"66,526"
2064100,冻猪肝,12000,千克,0,?,"15,131"
2069000,其他冻杂碎（牛、猪杂碎除外）,307248,千克,0,?,"715,773"
2071100,整只鸡，鲜或冷的,5941353,千克,0,?,"19,627,346"
2071200,整只鸡，冻的,386344,千克,0,?,"903,160"
2071311,鲜或冷的带骨鸡块,204079,千克,0,?,"747,471"
2071319,鲜或冷的其他鸡块,6974,千克,0,?,"28,896"
2071321,鲜或冷的鸡翼（不包括翼尖）,450,千克,0,?,"1,826"
2071329,鲜或冷的其他鸡杂碎,20436,千克,0,?,"69,376"
2071411,带骨的冻鸡块,3666487,千克,0,?,"5,642,481"
2071419,其他冻鸡块,32359123,千克,0,?,"52,470,529"
2071421,冻鸡翼（不包括翼尖）,624248,千克,0,?,"1,586,084"
2071422,冻鸡爪,1998,千克,0,?,"8,861"
2071429,其他冻鸡杂碎,967633,千克,0,?,"667,381"
2074100,鲜或冷的整只鸭,1307729,千克,0,?,"2,921,140"
2074200,整只冻鸭,2380059,千克,0,?,"2,801,189"
2074300,鲜或冷的鸭肥肝,810,千克,0,?,"18,758"
2074400,鲜或冷的鸭块及杂碎,22530,千克,0,?,"53,856"
2074500,冻的鸭块及杂碎,1511099,千克,0,?,"2,043,805"
2075100,鲜或冷的整只鹅,1245889,千克,0,?,"6,908,498"
2075200,整只冻鹅,5990,千克,0,?,"40,076"
2075300,鲜或冷的鹅肥肝,1120,千克,0,?,"29,081"
2075400,鲜或冷的鹅块及杂碎,38247,千克,0,?,"193,932"
2081020,冻兔肉，不包括兔头,326805,千克,0,?,"1,415,389"
2089010,鲜、冷、冻的乳鸽肉及食用杂碎,304392,千克,0,?,"2,621,347"
2089090,其他鲜、冷、冻的肉及食用杂碎,33594,千克,0,?,"310,742"
2091000,未炼制或用其他方法提取的不带瘦肉的肥猪肉、猪脂肪，鲜、冷、冻、干、熏、盐腌或盐渍的,20000,千克,0,?,"29,474"
2101110,干、熏、盐腌或盐渍带骨猪腿,15918,千克,0,?,"180,625"
2101190,干、熏、盐腌或盐渍其他带骨猪肉块,3965,千克,0,?,"102,676"
2101200,干、熏、盐腌或盐渍猪腹肉（五花肉）,13715,千克,0,?,"95,793"
2101900,其他干、熏、盐腌或盐渍猪肉,33179,千克,0,?,"326,441"
2102000,干、熏、盐腌或盐渍牛肉,1171,千克,0,?,"12,787"
2109900,其他干、熏、盐腌或盐渍肉及食用杂碎，包括可供食用的肉或杂碎的细粉、粗粉,100726,千克,0,?,"460,012"
3011100,淡水观赏鱼,24101,千克,0,?,"318,840"
3019290,其他活鳗鱼，鱼苗除外,976767,千克,0,?,"18,101,238"
3019390,"其他活鲤科鱼, 鱼苗除外",1919563,千克,0,?,"6,914,918"
3019919,其他鱼苗,92642,千克,0,?,"1,298,987"
3019991,活罗非鱼,95672,千克,0,?,"269,601"
3019992,活?,174900,千克,0,?,"1,902,228"
3019993,其他活鲤科鱼,344981,千克,0,?,"1,171,025"
3019999,其他活鱼,2945670,千克,0,?,"15,216,767"
3021100,鲜或冷的鳟鱼,184,千克,0,?,"2,344"
3022200,鲜或冷的鲽鱼,48,千克,0,?,358
3022300,鲜或冷的鳎鱼,40591,千克,0,?,"304,827"
3023900,其他鲜或冷的金枪鱼,1822,千克,0,?,"4,445"
3024400,鲜或冷的鲭鱼,2400,千克,0,?,"9,266"
3024600,鲜或冷的军曹鱼,163238,千克,0,?,"1,028,366"
3024910,鲜、冷银鲳(鲳属),24718,千克,0,?,"210,150"
3024990,鲜、冷印度鲭(羽鳃鲐属)、马鲛鱼(马鲛属)、?鱼(?属）、秋刀鱼、圆?(圆?属）、多春鱼(毛鳞鱼）、鲔鱼、狐鲣(狐鲣属）、枪鱼 、旗鱼、四鳍旗鱼(旗鱼科）,28556,千克,0,?,"82,653"
3025100,鲜或冷的鳕鱼,224,千克,0,?,409
3027100,鲜或冷的罗非鱼,4010,千克,0,?,"13,034"
3027300,鲜或冷的鲤科鱼,48746,千克,0,?,"242,976"
3027400,鲜或冷的鳗鱼,20148,千克,0,?,"194,902"
3028200,鲜或冷的?鱼及鳐鱼,11520,千克,0,?,"43,257"
3028910,鲜或冷的带鱼,14079,千克,0,?,"105,651"
3028920,鲜或冷的黄鱼,710055,千克,0,?,"5,135,922"
3028930,鲜或冷的鲳鱼(银鲳除外),235521,千克,0,?,"1,376,229"
3028990,其他鲜或冷的鱼,1178257,千克,0,?,"5,136,362"
3029100,鲜或冷的鱼肝、鱼卵及鱼精,174432,千克,0,?,"5,388,103"
3029900,其他鲜或冷的可食用鱼杂碎,71838,千克,0,?,"1,996,736"
3031200,其他冻大麻哈鱼,108538,千克,0,?,"237,655"
3031310,冻大西洋鲑鱼,2520,千克,0,?,"23,413"
3031400,冻鳟鱼,973460,千克,0,?,"8,362,664"
3032300,冻罗非鱼,16474531,千克,0,?,"30,932,221"
3032400,冻鲶鱼,1292057,千克,0,?,"2,179,356"
3032500,冻鲤科鱼,288830,千克,0,?,"625,728"
3032600,冻鳗鱼,148087,千克,0,?,"1,681,048"
3033110,冻马舌鲽(格陵兰庸鲽鱼),583331,千克,0,?,"4,168,274"
3033190,其他冻庸鲽鱼,38320,千克,0,?,"230,726"
3033200,冻鲽鱼,61875,千克,0,?,"125,775"
3033400,冻大菱鲆,500,千克,0,?,"7,860"
3033900,其他冻比目鱼,1503164,千克,0,?,"3,236,501"
3034100,冻长鳍金枪鱼,3207875,千克,0,?,"7,164,635"
3034200,冻黄鳍金枪鱼,2260657,千克,0,?,"7,849,405"
3034300,冻鲣,499403,千克,0,?,"940,985"
3034400,冻大眼金枪鱼,884343,千克,0,?,"4,037,918"
3034900,其他冻金枪鱼,49400,千克,0,?,"148,200"
3035100,冻鲱鱼,2125870,千克,0,?,"1,075,916"
3035300,冻的沙丁鱼、小沙丁鱼属、黍鲱或西鲱,17764660,千克,0,?,"13,439,892"
3035400,冻鲭鱼,29899425,千克,0,?,"37,881,483"
3035500,冻的对称竹荚鱼、新西兰竹荚鱼及竹荚鱼,498323,千克,0,?,"410,421"
3035600,冻军曹鱼,11270,千克,0,?,"83,918"
3035700,冻剑鱼,162568,千克,0,?,"667,638"
3035910,冻银鲳(鲳属),190220,千克,0,?,"1,929,403"
3035990,冻?鱼(?属）、冻印度鲭(羽鳃鲐属)、冻马鲛鱼(马鲛属)、冻?鱼(?属）、冻秋刀鱼、冻圆?(圆?属)、冻多春鱼(毛鳞鱼）、冻鲔鱼、冻狐鲣(狐鲣属）、冻枪鱼 、冻旗鱼、冻四鳍旗鱼(旗鱼科）,6744772,千克,0,?,"12,708,011"
3036300,冻鳕鱼,1694,千克,0,?,"12,790"
3036700,冻阿拉斯加狭鳕鱼,875105,千克,0,?,"1,158,672"
3036800,冻蓝鳕鱼,5030,千克,0,?,"9,759"
3036900,其他冻的犀鳕科、多丝真鳕科、鳕科、长尾鳕科、黑鳕科、无须鳕科、深海鳕科及南极鳕科鱼,67089,千克,0,?,"275,801"
3038200,冻?鱼及鳐鱼,25000,千克,0,?,"146,640"
3038400,冻尖吻鲈鱼,147850,千克,0,?,"780,840"
3038910,冻带鱼,207894,千克,0,?,"1,188,524"
3038920,冻黄鱼,4271797,千克,0,?,"23,822,786"
3038930,冻鲳鱼(银鲳除外),942013,千克,0,?,"4,389,941"
3038990,未列名冻鱼,17092116,千克,0,?,"66,283,807"
3039100,冻的鱼肝、鱼卵及鱼精,33311,千克,0,?,"1,345,708"
3039900,其他冻的可食用鱼杂碎,416697,千克,0,?,"1,055,372"
3043900,鲜或冷的鲤科鱼、鳗鱼及黑鱼鱼片,59594,千克,0,?,"596,022"
3044200,鲜或冷的鳟鱼鱼片,525,千克,0,?,"8,960"
3044900,其他鲜或冷的鱼片,17002,千克,0,?,"209,975"
3045100,鲜或冷的罗非鱼、鲶鱼、鳗鱼尼罗河鲈鱼及黑鱼鱼肉,345452,千克,0,?,"1,679,064"
3045900,其他鲜或冷的鱼肉,23200,千克,0,?,"52,101"
3046100,冻罗非鱼鱼片,3691311,千克,0,?,"13,735,907"
3046211,冻斑点叉尾?鱼鱼片,187194,千克,0,?,"975,618"
3046290,其他冻鲶鱼鱼片,51960,千克,0,?,"305,271"
3046900,冻鲤科鱼、鳗鱼及黑鱼鱼片,227060,千克,0,?,"2,402,418"
3047100,冻鳕鱼鱼片,8592859,千克,0,?,"65,777,504"
3047200,冻黑线鳕鱼鱼片,2495267,千克,0,?,"16,301,710"
3047300,冻绿青鳕鱼鱼片,962320,千克,0,?,"8,209,294"
3047400,冻狗鳕鱼鱼片,526838,千克,0,?,"2,105,353"
3047500,冻阿拉斯加狭鳕鱼鱼片,16354276,千克,0,?,"42,147,397"
3047900,其他冻的犀鳕科、多丝真鳕科、鳕科、长尾鳕科、黑鳕科、无须鳕科、深海鳕科及南极鳕科鱼鱼片,899253,千克,0,?,"4,182,861"
3048100,冻的大麻哈鱼、大西洋鲑鱼及多瑙哲罗鱼鱼片,6397635,千克,0,?,"40,548,296"
3048200,冻鳟鱼鱼片,78503,千克,0,?,"875,658"
3048300,冻比目鱼鱼片,4844026,千克,0,?,"27,865,712"
3048400,冻剑鱼鱼片,2100,千克,0,?,"16,278"
3048600,冻鲱鱼鱼片,68340,千克,0,?,"220,183"
3048700,冻金枪鱼（金枪鱼属）、鲣鱼片,2725668,千克,0,?,"19,869,495"
3048900,其他冻鱼片,8159449,千克,0,?,"43,909,265"
3049100,冻剑鱼鱼肉,19018,千克,0,?,"118,872"
3049200,冻南极犬牙鱼鱼肉,8796,千克,0,?,"271,081"
3049300,冻的罗非鱼、鲶鱼、鳗鱼尼罗河鲈鱼及黑鱼鱼肉,30,千克,0,?,451
3049400,冻阿拉斯加狭鳕鱼鱼肉,2815876,千克,0,?,"5,869,564"
3049500,冻的犀鳕科、多丝真鳕科、鳕科、长尾鳕科、黑鳕科、无须鳕科、深海鳕科及南极鳕科鱼鱼肉，阿拉斯加狭鳕鱼的除外,482677,千克,0,?,"2,736,056"
3049900,其他冻鱼肉,3699968,千克,0,?,"16,039,231"
3052000,干、熏、盐腌或盐渍的鱼肝、鱼卵及鱼精,206856,千克,0,?,"1,916,789"
3053200,干、盐腌或盐渍的犀鳕科、多丝真鳕科、鳕科、长尾鳕科、黑鳕科、无须鳕科、深海鳕科及南极鳕科鱼鱼片,2321156,千克,0,?,"8,967,039"
3053900,其他干、盐腌或盐渍的鱼片,34967,千克,0,?,"185,326"
3054110,熏大西洋鲑鱼,15294,千克,0,?,"277,904"
3054120,熏大麻哈鱼及多瑙哲罗鱼,9504,千克,0,?,"137,476"
3054200,熏鲱鱼,492109,千克,0,?,"1,901,341"
3054300,熏鳟鱼,112882,千克,0,?,"1,878,147"
3054900,其他熏鱼,234861,千克,0,?,"1,541,601"
3055100,干鳕鱼,36894,千克,0,?,"436,396"
3055200,干的罗非鱼、鲶鱼、鳗鱼尼罗河鲈鱼及黑鱼,208,千克,0,?,"8,911"
3055300,干的犀鳕科、多丝真鳕科、鳕科、长尾鳕科、黑鳕科、无须鳕科、深海鳕科及南极鳕科鱼,92705,千克,0,?,"1,119,605"
3055490,干的鲱鱼(大西洋鲱鱼、太平洋鲱鱼）、?鱼(?属）、沙丁鱼(沙丁鱼、沙瑙鱼属）、小沙丁鱼属、黍鲱或西鲱、鲭鱼［大西洋鲭、澳洲鲭(鲐）、日本鲭(鲐）］、印度鲭(羽鳃鲐属)、马鲛鱼(马鲛属)、对称竹荚鱼、新西兰竹荚鱼及竹荚鱼(竹荚鱼属）、?鱼(?属）、军曹鱼、秋刀鱼、圆?(圆?属)、多春鱼(毛鳞鱼）、剑鱼、鲔鱼、狐鲣(狐鲣属）、枪鱼 、旗鱼、四鳍旗鱼(旗鱼科）,557617,千克,0,?,"2,343,350"
3055990,其他干鱼,1274045,千克,0,?,"10,205,248"
3056100,盐腌及盐渍的鲱鱼,1290,千克,0,?,"9,224"
3056200,盐腌及盐渍的鳕鱼,240906,千克,0,?,"1,246,816"
3056400,盐腌及盐渍的罗非鱼、鲶鱼、鲤科鱼、鳗鱼、尼罗河鲈鱼及黑鱼,220,千克,0,?,"1,257"
3056990,未列名盐腌及盐渍的鱼,192012,千克,0,?,"657,626"
3057100,鲨鱼翅,2993,千克,0,?,"633,405"
3057200,鱼头、鱼尾、鱼鳔,126883,千克,0,?,"587,230"
3057900,其他鱼鳍及其他可食用杂碎,141500,千克,0,?,"848,352"
3061100,冻的岩礁虾和其他龙虾,500,千克,0,?,"12,555"
3061200,冻螯龙虾,8753,千克,0,?,"398,422"
3061410,冻梭子蟹,2165147,千克,0,?,"7,737,022"
3061490,其他冻蟹,899776,千克,0,?,"18,539,251"
3061500,冻挪威海螯虾,162,千克,0,?,"6,315"
3061630,冻冷水小虾及对虾的虾仁,234739,千克,0,?,"4,277,568"
