商品编码,商品名称,第一数量,第一计量单位,第二数量,第二计量单位,美元
1012900,其他马，改良种用除外,2700,千克,5,头,35000.0
1029090,其他牛，改良种用除外,337807,千克,494,头,1867338.0
1039200,其他猪，重量≥50kg，改良种用除外,6406248,千克,51006,头,13471210.0
1041090,其他绵羊，改良种用除外,320,千克,16,头,2732.0
1042090,其他山羊，改良种用除外,6790,千克,232,头,56827.0
1051190,其他鸡，改良种用除外，重量≤185g,12679,千克,277244,只,170430.0
1061490,"其他家兔及野兔,改良种用除外",1333,千克,458,只,49204.0
1061990,"未列名哺乳动物,改良种用除外",6085,千克,17902,只,1844121.0
1062020,食用爬行动物,101693,千克,61765,只,786157.0
1062090,未列名爬行动物,1408,千克,87250,只,149172.0
1064910,改良种用昆虫,10,千克,12600,只,252.0
1064990,"其他昆虫,改良种用除外",2118,千克,3425000,只,6366.0
1069011,改良种用蛙苗,10,千克,2000000,只,1707.0
1069090,"其他活动物,改良种用除外",44249,千克,9183450,只,497748.0
2012000,鲜或冷的带骨牛肉,1717,千克,0,?,17094.0
2013000,鲜或冷的去骨牛肉,47989,千克,0,?,789817.0
2022000,冻带骨牛肉,11154,千克,0,?,79212.0
2023000,冻去骨牛肉,95053,千克,0,?,1073457.0
2031200,鲜或冷的带骨猪前腿、猪后腿及其肉块,112500,千克,0,?,368433.0
2031900,其他鲜或冷的猪肉,114048,千克,0,?,468287.0
2032110,冻整头及半头乳猪肉,96546,千克,0,?,1122074.0
2032190,其他冻整头及半头猪肉,54123,千克,0,?,228167.0
2032200,冻带骨猪前腿、猪后腿及其肉块,50979,千克,0,?,141938.0
2032900,其他冻猪肉,4497708,千克,0,?,14256879.0
2042100,鲜或冷的整头及半头绵羊肉,4928,千克,0,?,95351.0
2043000,冻整头及半头羔羊肉,2366,千克,0,?,22289.0
2044100,冻整头及半头绵羊肉,314,千克,0,?,3930.0
2044200,冻带骨绵羊肉,187257,千克,0,?,1933913.0
2044300,冻去骨绵羊肉,49649,千克,0,?,527679.0
2045000,鲜、冷、冻山羊肉,32610,千克,0,?,288035.0
2050000,鲜、冷、冻的马、驴、骡肉,40485,千克,0,?,605338.0
2061000,鲜或冷的牛杂碎,1607,千克,0,?,12481.0
2062100,冻牛舌,1197,千克,0,?,12220.0
2062200,冻牛肝,447345,千克,0,?,366114.0
2062900,其他冻牛杂碎,28055,千克,0,?,64033.0
2064100,冻猪肝,10000,千克,0,?,10923.0
2064900,其他冻猪杂碎,30327,千克,0,?,49530.0
2069000,其他冻杂碎（牛、猪杂碎除外）,187974,千克,0,?,241907.0
2071100,整只鸡，鲜或冷的,3108312,千克,0,?,9365613.0
2071200,整只鸡，冻的,1611880,千克,0,?,2691195.0
2071311,鲜或冷的带骨鸡块,231660,千克,0,?,926901.0
2071319,鲜或冷的其他鸡块,4561,千克,0,?,19326.0
2071321,鲜或冷的鸡翼（不包括翼尖）,1668,千克,0,?,5339.0
2071329,鲜或冷的其他鸡杂碎,9589,千克,0,?,33161.0
2071411,带骨的冻鸡块,7469805,千克,0,?,10753607.0
2071419,其他冻鸡块,49750957,千克,0,?,74869247.0
2071421,冻鸡翼（不包括翼尖）,757747,千克,0,?,1779801.0
2071422,冻鸡爪,1000,千克,0,?,4602.0
2071429,其他冻鸡杂碎,1713263,千克,0,?,1255479.0
2074100,鲜或冷的整只鸭,1143416,千克,0,?,2532084.0
2074200,整只冻鸭,8393947,千克,0,?,6366582.0
2074300,鲜或冷的鸭肥肝,101040,千克,0,?,98827.0
2074400,鲜或冷的鸭块及杂碎,24770,千克,0,?,54519.0
2074500,冻的鸭块及杂碎,6198937,千克,0,?,6636323.0
2075100,鲜或冷的整只鹅,1210300,千克,0,?,6252089.0
2075300,鲜或冷的鹅肥肝,620,千克,0,?,10926.0
2075400,鲜或冷的鹅块及杂碎,41787,千克,0,?,213807.0
2081020,冻兔肉，不包括兔头,424800,千克,0,?,1548888.0
2089010,鲜、冷、冻的乳鸽肉及食用杂碎,116472,千克,0,?,888846.0
2089090,其他鲜、冷、冻的肉及食用杂碎,33580,千克,0,?,268701.0
2091000,未炼制或用其他方法提取的不带瘦肉的肥猪肉、猪脂肪，鲜、冷、冻、干、熏、盐腌或盐渍的,474350,千克,0,?,611949.0
2099000,"未炼制或用其他方法提取的不带瘦肉的家禽脂肪,鲜、冷、冻、干、熏、盐腌或盐渍的",4500,千克,0,?,4456.0
2101110,干、熏、盐腌或盐渍带骨猪腿,2912,千克,0,?,33412.0
2101190,干、熏、盐腌或盐渍其他带骨猪肉块,1182,千克,0,?,32598.0
2101200,干、熏、盐腌或盐渍猪腹肉（五花肉）,16667,千克,0,?,177952.0
2101900,其他干、熏、盐腌或盐渍猪肉,33400,千克,0,?,306735.0
2102000,干、熏、盐腌或盐渍牛肉,2442,千克,0,?,34706.0
2109300,干、熏、盐腌或盐渍的爬行动物（包括蛇及龟鳖）的肉及食用杂碎，包括可供食用的肉或杂碎的细粉、粗粉,3,千克,0,?,446.0
2109900,其他干、熏、盐腌或盐渍肉及食用杂碎，包括可供食用的肉或杂碎的细粉、粗粉,175372,千克,0,?,687633.0
3011100,淡水观赏鱼,35810,千克,0,?,612465.0
3019290,其他活鳗鱼，鱼苗除外,744065,千克,0,?,9737316.0
3019390,"其他活鲤科鱼, 鱼苗除外",1913193,千克,0,?,6822179.0
3019911,鲈鱼苗,100,千克,0,?,711.0
3019919,其他鱼苗,3390,千克,0,?,69797.0
3019991,活罗非鱼,105755,千克,0,?,249359.0
3019992,活?,18200,千克,0,?,279720.0
3019993,其他活鲤科鱼,267977,千克,0,?,889965.0
3019999,其他活鱼,3605089,千克,0,?,17329085.0
3021100,鲜或冷的鳟鱼,40463,千克,0,?,332051.0
3021410,鲜或冷的大西洋鲑鱼,6,千克,0,?,272.0
3022300,鲜或冷的鳎鱼,26671,千克,0,?,188156.0
3022900,其他鲜或冷的比目鱼,40,千克,0,?,800.0
3024400,鲜或冷的鲭鱼,12720,千克,0,?,40863.0
3024600,鲜或冷的军曹鱼,13582,千克,0,?,109134.0
3024910,鲜、冷银鲳(鲳属),24122,千克,0,?,193749.0
3024990,鲜、冷印度鲭(羽鳃鲐属)、马鲛鱼(马鲛属)、?鱼(?属）、秋刀鱼、圆?(圆?属）、多春鱼(毛鳞鱼）、鲔鱼、狐鲣(狐鲣属）、枪鱼 、旗鱼、四鳍旗鱼(旗鱼科）,30450,千克,0,?,115414.0
3025100,鲜或冷的鳕鱼,46192,千克,0,?,137213.0
3027100,鲜或冷的罗非鱼,4955,千克,0,?,16949.0
3027300,鲜或冷的鲤科鱼,36729,千克,0,?,176725.0
3027400,鲜或冷的鳗鱼,25107,千克,0,?,220843.0
3028200,鲜或冷的?鱼及鳐鱼,27880,千克,0,?,104610.0
3028400,鲜或冷的尖吻鲈鱼,1313,千克,0,?,11823.0
3028910,鲜或冷的带鱼,37253,千克,0,?,303287.0
3028920,鲜或冷的黄鱼,530080,千克,0,?,4338303.0
3028930,鲜或冷的鲳鱼(银鲳除外),244919,千克,0,?,1350966.0
3028990,其他鲜或冷的鱼,1090118,千克,0,?,6903831.0
3029100,鲜或冷的鱼肝、鱼卵及鱼精,103454,千克,0,?,667479.0
3029900,其他鲜或冷的可食用鱼杂碎,103491,千克,0,?,1399174.0
3031200,其他冻大麻哈鱼,514850,千克,0,?,1893105.0
