商品编码,商品名称,第一数量,第一计量单位,第二数量,第二计量单位,人民币
1012900,其他马，改良种用除外,177546,千克,633,头,4152357.0
1022100,改良种用家牛,2113526,千克,7485,头,85445420.0
1022900,其他家牛，改良种用除外,80725,千克,150,头,3060175.0
1031000,改良种用猪,50000,千克,1000,头,9958838.0
1051110,改良种用鸡，改良种用除外，重量≤185g,10371,千克,224217,只,21825818.0
1051310,"改良种用鸭,重量≤185克",326,千克,4180,只,300216.0
1061110,改良种用灵长目动物,160,千克,16,只,541297.0
1061310,改良种用骆驼及其他骆驼科动物,24800,千克,400,只,3646186.0
1061410,改良种用家兔及野兔,700,千克,208,只,351317.0
1061910,其他改良种用哺乳动物,16800,千克,63,只,8429098.0
1061990,"未列名哺乳动物,改良种用除外",1015,千克,2962,只,3603127.0
1062011,改良种用鳄鱼苗,7995,千克,1300,只,334643.0
1062019,其他改良种用爬行动物,55,千克,352,只,82436.0
1062020,食用爬行动物,24083,千克,13845,只,683199.0
1062090,未列名爬行动物,44769,千克,45531,只,1543723.0
1063210,改良种用鹦形目鸟,174,千克,184,只,91170.0
1063910,其他改良种用鸟,160,千克,45,只,5773900.0
1063990,未列名鸟,985,千克,1851,只,1608861.0
1064190,"其他蜂,改良种用除外",413,千克,69100,只,159265.0
1064910,改良种用昆虫,0,千克,420,只,486.0
1064990,"其他昆虫,改良种用除外",0,千克,2980,只,7973.0
1069090,"其他活动物,改良种用除外",152655,千克,382744,只,748761.0
2012000,鲜、冷带骨牛肉,66440,千克,0,?,2909936.0
2013000,鲜、冷去骨牛肉,441766,千克,0,?,22061117.0
2022000,冻带骨牛肉,6571035,千克,0,?,133691724.0
2023000,冻去骨牛肉,35711476,千克,0,?,1262875535.0
2032190,其他冻整头及半头猪肉,225359,千克,0,?,2106367.0
2032200,冻带骨猪前腿、猪后腿及其肉块,26267902,千克,0,?,305316613.0
2032900,其他冻猪肉,53947588,千克,0,?,680266831.0
