商品编码,商品名称,第一数量,第一计量单位,第二数量,第二计量单位,人民币
1012100,改良种用马,9200,千克,20,头,4248371.0
1012900,其他马，改良种用除外,111550,千克,447,头,9814287.0
1022100,改良种用家牛,9831250,千克,32610,头,616768344.0
1022900,其他家牛，改良种用除外,64506,千克,195,头,1795862.0
1041010,改良种用绵羊,206069,千克,4438,头,40663160.0
1051110,改良种用鸡，改良种用除外，重量≤185g,1340,千克,28622,只,2147154.0
1061110,改良种用灵长目动物,45,千克,9,只,203405.0
1061190,其他灵长目动物，改良种用除外,50,千克,8,只,56415.0
1061390,"其他骆驼及其他骆驼科动物,改良种用除外",16480,千克,607,只,7802332.0
1061910,其他改良种用哺乳动物,74935,千克,38028,只,34734481.0
1061990,"未列名哺乳动物,改良种用除外",28106,千克,15429,只,8991693.0
1062019,其他改良种用爬行动物,703,千克,1045,只,232223.0
1062020,食用爬行动物,55697,千克,50505,只,1551502.0
1062090,未列名爬行动物,23663,千克,31994,只,739201.0
1063290,其他鹦形目鸟，改良种用除外,200,千克,400,只,147169.0
1063910,其他改良种用鸟,106,千克,21,只,3127072.0
1063990,未列名鸟,266,千克,527,只,10921865.0
1064190,"其他蜂,改良种用除外",234,千克,64400,只,169285.0
1064910,改良种用昆虫,0,千克,700,只,495.0
1064990,"其他昆虫,改良种用除外",6,千克,3992,只,3129.0
1069090,"其他活动物,改良种用除外",95,千克,2979,只,43179.0
2012000,鲜、冷带骨牛肉,101716,千克,0,?,3683926.0
2013000,鲜、冷去骨牛肉,445001,千克,0,?,22401042.0
2021000,冻整头及半头牛肉,51688,千克,0,?,886129.0
2022000,冻带骨牛肉,9098873,千克,0,?,145831216.0
2023000,冻去骨牛肉,16090902,千克,0,?,557285146.0
2031900,其他鲜、冷猪肉,18172,千克,0,?,286571.0
2032200,冻带骨猪前腿、猪后腿及其肉块,15569730,千克,0,?,200566969.0
2032900,其他冻猪肉,46600140,千克,0,?,561939581.0
2043000,冻整头及半头羔羊肉,52797,千克,0,?,1756978.0
2044100,冻整头及半头绵羊肉,513164,千克,0,?,12578399.0
2044200,冻带骨绵羊肉,22001505,千克,0,?,519573007.0
2044300,冻去骨绵羊肉,615463,千克,0,?,11422601.0
2045000,山羊肉,40145,千克,0,?,837120.0
2050000,鲜、冷、冻马、驴、骡肉,166500,千克,0,?,1274039.0
2062200,冻牛肝,23903,千克,0,?,236741.0
2062900,其他冻牛杂碎,1590919,千克,0,?,30988159.0
2064900,其他冻猪杂碎,74812402,千克,0,?,782946034.0
2069000,其他冻杂碎（牛、猪杂碎除外）,263472,千克,0,?,4568949.0
2071200,整只鸡，冻的,12620,千克,0,?,123818.0
2071411,带骨的冻鸡块,4086508,千克,0,?,29185557.0
2071419,其他冻鸡块,1008,千克,0,?,28348.0
2071421,冻鸡翼（不包括翼尖）,13686470,千克,0,?,246896929.0
2071422,冻鸡爪,19146842,千克,0,?,170872808.0
2071429,其他冻鸡杂碎,5163334,千克,0,?,31207836.0
