商品编码,商品名称,第一数量,第一计量单位,第二数量,第二计量单位,人民币
1012900,其他马，改良种用除外,45200,千克,113,头,15174401.0
1013090,其他驴，改良种用除外,212140,千克,2000,头,1235430.0
1031000,改良种用猪,119615,千克,2069,头,21778459.0
1051110,改良种用鸡，改良种用除外，重量≤185g,3958,千克,105016,只,11013676.0
1061110,改良种用灵长目动物,30,千克,9,只,613914.0
1061221,改良种用海豹、海狮及海象,665,千克,21,只,765763.0
1061229,其他海豹、海狮及海象，改良种用除外,1120,千克,42,只,2106531.0
1061310,改良种用骆驼及其他骆驼科动物,16800,千克,300,只,3829725.0
1061390,"其他骆驼及其他骆驼科动物,改良种用除外",22400,千克,400,只,5106300.0
1061910,其他改良种用哺乳动物,2700,千克,204,只,3050389.0
1061990,"未列名哺乳动物,改良种用除外",340,千克,4538,只,3280869.0
1062019,其他改良种用爬行动物,110,千克,10000,只,4861.0
1062020,食用爬行动物,105470,千克,99417,只,2269481.0
1062090,未列名爬行动物,22348,千克,610315,只,1640341.0
1063290,其他鹦形目鸟，改良种用除外,20,千克,40,只,41305.0
1063910,其他改良种用鸟,213,千克,46,只,7910184.0
1063990,未列名鸟,40,千克,40,只,165218.0
1064190,"其他蜂,改良种用除外",66,千克,8700,只,70837.0
1064910,改良种用昆虫,2,千克,2140,只,1411.0
1064990,"其他昆虫,改良种用除外",4,千克,10165,只,46812.0
1069011,改良种用蛙苗,4,千克,100,只,4234.0
1069090,"其他活动物,改良种用除外",158058,千克,395850,只,878284.0
2012000,鲜或冷的带骨牛肉,49597,千克,0,?,3636012.0
2013000,鲜或冷的去骨牛肉,410746,千克,0,?,29698690.0
2021000,冻整头及半头牛肉,12970,千克,0,?,221963.0
2022000,冻带骨牛肉,9702577,千克,0,?,150674252.0
2023000,冻去骨牛肉,45697675,千克,0,?,1471121717.0
2031200,鲜或冷的带骨猪前腿、猪后腿及其肉块,12465,千克,0,?,212430.0
2031900,其他鲜或冷的猪肉,3527,千克,0,?,58809.0
2032200,冻带骨猪前腿、猪后腿及其肉块,32587167,千克,0,?,399235494.0
2032900,其他冻猪肉,57466653,千克,0,?,707353769.0
2042200,鲜或冷的带骨绵羊肉,2227,千克,0,?,148636.0
2042300,鲜或冷的去骨绵羊肉,3586,千克,0,?,63363.0
2044100,冻整头及半头绵羊肉,135647,千克,0,?,2829673.0
2044200,冻带骨绵羊肉,16379881,千克,0,?,397514178.0
2044300,冻去骨绵羊肉,1593686,千克,0,?,30736282.0
2045000,山羊肉,304,千克,0,?,8466.0
2050000,鲜、冷、冻的马、驴、骡肉,1251675,千克,0,?,23654858.0
2062100,冻牛舌,134967,千克,0,?,3389205.0
2062900,其他冻牛杂碎,1857567,千克,0,?,46190404.0
2064100,冻猪肝,25190,千克,0,?,114108.0
2064900,其他冻猪杂碎,81280993,千克,0,?,981080881.0
2069000,其他冻杂碎（牛、猪杂碎除外）,508016,千克,0,?,9359185.0
2071200,整只鸡，冻的,49335,千克,0,?,349816.0
2071311,鲜或冷的带骨鸡块,4022,千克,0,?,91938.0
2071411,带骨的冻鸡块,6236046,千克,0,?,53987640.0
2071419,其他冻鸡块,9361,千克,0,?,236332.0
2071421,冻鸡翼（不包括翼尖）,12302532,千克,0,?,257393064.0
2071422,冻鸡爪,9504593,千克,0,?,143953500.0
2071429,其他冻鸡杂碎,2717440,千克,0,?,27378076.0
2074200,整只冻鸭,2722,千克,0,?,20694.0
2074500,冻的鸭块及杂碎,58,千克,0,?,5624.0
2089090,其他鲜、冷、冻的肉及食用杂碎,30655,千克,0,?,803951.0
2091000,未炼制或用其他方法提取的不带瘦肉的肥猪肉、猪脂肪，鲜、冷、冻、干、熏、盐腌或盐渍的,4750853,千克,0,?,27340712.0
2101190,干、熏、盐腌或盐渍其他带骨猪肉块,291,千克,0,?,30158.0
2101200,干、熏、盐腌或盐渍猪腹肉（五花肉）,2214,千克,0,?,45321.0
2101900,其他干、熏、盐腌或盐渍猪肉,30404,千克,0,?,3001425.0
2102000,干、熏、盐腌或盐渍牛肉,322,千克,0,?,25952.0
2109900,其他干、熏、盐腌或盐渍肉及食用杂碎，包括可供食用的肉或杂碎的细粉、粗粉,901,千克,0,?,188803.0
3011100,淡水观赏鱼,24957,千克,0,?,8458466.0
3011900,其他观赏鱼,8709,千克,0,?,1888694.0
3019210,鳗鱼苗,1202,千克,0,?,1107604.0
3019290,其他活鳗鱼，鱼苗除外,12730,千克,0,?,848051.0
3019919,其他鱼苗,20,千克,0,?,3460.0
3019999,其他活鱼,879585,千克,0,?,24725324.0
3021300,鲜或冷的大麻哈鱼,20938,千克,0,?,2122726.0
3021410,鲜或冷的大西洋鲑鱼,2689043,千克,0,?,178294126.0
3022900,其他鲜或冷的比目鱼,45087,千克,0,?,906044.0
3023200,鲜或冷的黄鳍金枪鱼,8456,千克,0,?,531940.0
3023300,鲜或冷的鲣鱼或狐鲣,811,千克,0,?,80452.0
3023510,鲜或冷的大西洋蓝鳍金枪鱼,470,千克,0,?,83124.0
3023520,鲜或冷的太平洋蓝鳍金枪鱼,16580,千克,0,?,4075641.0
3023600,鲜或冷的南方蓝鳍金枪鱼,3252,千克,0,?,441960.0
3024400,鲜或冷的鲭鱼,949,千克,0,?,121567.0
3024500,鲜或冷的对称竹荚鱼、新西兰竹荚鱼及竹荚鱼,15118,千克,0,?,739034.0
3024900,鲜或冷的印度鲭、马鲛鱼、?鱼、银鲳、秋刀鱼、圆?、多春鱼、鲔鱼、狐鲣、枪鱼 、旗鱼、四鳍旗鱼,50769,千克,0,?,2879245.0
3025100,鲜或冷的鳕鱼,424,千克,0,?,25266.0
3025200,鲜或冷的黑线鳕鱼,15,千克,0,?,911.0
3027200,鲜或冷的鲶鱼,10980,千克,0,?,32404.0
3027400,鲜或冷的鳗鱼,1619,千克,0,?,31543.0
3028100,鲜或冷的角鲨及其他鲨鱼,44026,千克,0,?,153988.0
3028500,鲜或冷的菱羊鲷,6654,千克,0,?,11450.0
3028910,鲜或冷的带鱼,167421,千克,0,?,2433133.0
3028920,鲜或冷的黄鱼,578,千克,0,?,25731.0
3028930,鲜或冷的鲳鱼,4910,千克,0,?,268412.0
3028990,其他鲜或冷的鱼,415341,千克,0,?,6700521.0
3031200,其他冻大麻哈鱼,1394945,千克,0,?,30964460.0
3031300,冻大西洋鲑鱼及多瑙哲罗鱼,862698,千克,0,?,39552953.0
3031400,冻鳟鱼,158959,千克,0,?,8865597.0
3031900,其他冻鲑科鱼,62728,千克,0,?,1749058.0
3032400,冻鲶鱼,1172522,千克,0,?,13006691.0
3032500,冻鲤科鱼,19450,千克,0,?,190791.0
3032600,冻鳗鱼,112968,千克,0,?,707047.0
3033110,冻格陵兰庸鲽鱼,986641,千克,0,?,37312874.0
3033190,其他冻庸鲽鱼,357742,千克,0,?,11800099.0
3033200,冻鲽鱼,119381,千克,0,?,1523295.0
3033300,冻鳎鱼,320991,千克,0,?,4937473.0
3033900,其他冻比目鱼,22006052,千克,0,?,249269919.0
3034100,冻长鳍金枪鱼,253070,千克,0,?,4442032.0
3034200,冻黄鳍金枪鱼,302064,千克,0,?,5203420.0
3034300,冻鲣鱼或狐鲣,2324196,千克,0,?,28006398.0
3034400,冻大眼金枪鱼,2420,千克,0,?,68290.0
3034510,冻大西洋蓝鳍金枪鱼,6642,千克,0,?,2311956.0
3034600,冻南方蓝鳍金枪鱼,661,千克,0,?,202455.0
3034900,其他冻金枪鱼,6000,千克,0,?,92657.0
3035100,冻鲱鱼,25517325,千克,0,?,120029241.0
3035300,冻的沙丁鱼、小沙丁鱼属、黍鲱或西鲱,1983516,千克,0,?,9511817.0
3035400,冻鲭鱼,5969330,千克,0,?,57827553.0
3035500,冻的对称竹荚鱼、新西兰竹荚鱼及竹荚鱼,1681987,千克,0,?,14438287.0
3035700,冻剑鱼,13386,千克,0,?,276445.0
3035900,冻的?鱼、印度鲭、马鲛鱼、?鱼、银鲳、秋刀鱼、圆?、多春鱼、鲔鱼、狐鲣、枪鱼 、旗鱼、四鳍旗鱼,6459814,千克,0,?,56927710.0
