商品编码,商品名称,第一数量,第一计量单位,第二数量,第二计量单位,人民币
1012900,其他马，改良种用除外,35400,千克,184,头,15852014.0
1022100,改良种用家牛,119936,千克,425,头,4926400.0
1022900,其他家牛，改良种用除外,4045290,千克,13569,头,164018749.0
1031000,改良种用猪,47360,千克,924,头,22267048.0
1041090,其他绵羊，改良种用除外,926090,千克,23431,头,11958600.0
1051110,改良种用鸡，改良种用除外，重量≤185g,4365,千克,88192,只,19423117.0
1061110,改良种用灵长目动物,4632,千克,1200,只,108925800.0
1061390,"其他骆驼及其他骆驼科动物,改良种用除外",30780,千克,513,只,6139901.0
1061410,改良种用家兔及野兔,2154,千克,847,只,1824953.0
1061990,"未列名哺乳动物,改良种用除外",290,千克,4234,只,7809113.0
1062019,其他改良种用爬行动物,15948,千克,8256,只,389505.0
1064990,"其他昆虫,改良种用除外",75,千克,39126,只,154677.0
1069090,"其他活动物,改良种用除外",0,千克,606,只,46296.0
2012000,鲜或冷的带骨牛肉,39526,千克,0,?,6318221.0
2013000,鲜或冷的去骨牛肉,4780388,千克,0,?,353727716.0
2021000,冻整头及半头牛肉,422567,千克,0,?,7749612.0
2022000,冻带骨牛肉,39504796,千克,0,?,815802020.0
2023000,冻去骨牛肉,179172007,千克,0,?,6476141064.0
2031900,其他鲜或冷的猪肉,452,千克,0,?,34152.0
2032200,冻带骨猪前腿、猪后腿及其肉块,16947553,千克,0,?,213266870.0
2032900,其他冻猪肉,73806681,千克,0,?,1072203580.0
2041000,鲜或冷的整头及半头羔羊肉,16177,千克,0,?,638182.0
2042200,鲜或冷的带骨绵羊肉,70620,千克,0,?,8555427.0
2042300,鲜或冷的去骨绵羊肉,920,千克,0,?,64329.0
2043000,冻整头及半头羔羊肉,559527,千克,0,?,16297991.0
2044100,冻整头及半头绵羊肉,1475627,千克,0,?,35772450.0
2044200,冻带骨绵羊肉,27709134,千克,0,?,714281001.0
2044300,冻去骨绵羊肉,3348024,千克,0,?,101996232.0
2045000,鲜、冷、冻山羊肉,633783,千克,0,?,19417580.0
2050000,鲜、冷、冻的马、驴、骡肉,3120961,千克,0,?,41822854.0
2062100,冻牛舌,3468,千克,0,?,245579.0
2062900,其他冻牛杂碎,2710864,千克,0,?,101172764.0
2064100,冻猪肝,71206,千克,0,?,219315.0
2064900,其他冻猪杂碎,85044364,千克,0,?,1364087468.0
2069000,其他冻杂碎（牛、猪杂碎除外）,403132,千克,0,?,8730641.0
2071411,带骨的冻鸡块,19874826,千克,0,?,172807833.0
2071419,其他冻鸡块,37968,千克,0,?,505362.0
2071421,冻鸡翼（不包括翼尖）,27799872,千克,0,?,711746482.0
2071422,冻鸡爪,41520759,千克,0,?,1118515971.0
2071429,其他冻鸡杂碎,7955072,千克,0,?,126133255.0
2072500,整只火鸡，冻的,21369,千克,0,?,584659.0
2072700,火鸡块及杂碎，冻的,747579,千克,0,?,16272966.0
2089090,其他鲜、冷、冻的肉及食用杂碎,226102,千克,0,?,9434196.0
2091000,未炼制或用其他方法提取的不带瘦肉的肥猪肉、猪脂肪，鲜、冷、冻、干、熏、盐腌或盐渍的,812737,千克,0,?,6947330.0
2101110,干、熏、盐腌或盐渍带骨猪腿,61955,千克,0,?,6504966.0
2101190,干、熏、盐腌或盐渍其他带骨猪肉块,706,千克,0,?,207968.0
2101900,其他干、熏、盐腌或盐渍猪肉,111065,千克,0,?,14051418.0
3011100,淡水观赏鱼,40412,千克,0,?,19528919.0
3011900,其他观赏鱼,5772,千克,0,?,6480032.0
3019210,鳗鱼苗,3355,千克,0,?,160017759.0
3019290,其他活鳗鱼，鱼苗除外,44508,千克,0,?,2333331.0
3019999,其他活鱼,2858068,千克,0,?,105753990.0
3021100,鲜或冷的鳟鱼,14391,千克,0,?,899333.0
3021300,鲜或冷的大麻哈鱼,37756,千克,0,?,5755443.0
3021410,鲜或冷的大西洋鲑鱼,5991672,千克,0,?,444695022.0
3022200,鲜或冷的鲽鱼,20,千克,0,?,3298.0
3022300,鲜或冷的鳎鱼,37,千克,0,?,14765.0
3022900,其他鲜或冷的比目鱼,15066,千克,0,?,272867.0
3023200,鲜或冷的黄鳍金枪鱼,210,千克,0,?,16499.0
3023400,鲜或冷的大眼金枪鱼,1902,千克,0,?,190026.0
3023510,鲜或冷的大西洋蓝鳍金枪鱼,49375,千克,0,?,10548825.0
3023600,鲜或冷的南方蓝鳍金枪鱼,1267,千克,0,?,156694.0
3024300,鲜或冷的沙丁鱼、小沙丁鱼属、黍鲱或西鲱,32,千克,0,?,2600.0
3024400,鲜或冷的鲭鱼,160,千克,0,?,1418.0
3024910,鲜、冷银鲳(鲳属),25954,千克,0,?,2738182.0
3025100,鲜或冷的鳕鱼,445,千克,0,?,37820.0
3025300,鲜或冷的绿青鳕鱼,27,千克,0,?,7647.0
3028910,鲜或冷的带鱼,20790,千克,0,?,373945.0
3028920,鲜或冷的黄鱼,2400,千克,0,?,33463.0
3028930,鲜或冷的鲳鱼(银鲳除外),20449,千克,0,?,1712306.0
3028990,其他鲜或冷的鱼,635195,千克,0,?,27419603.0
3031100,冻红大麻哈鱼,679967,千克,0,?,18612536.0
3031200,其他冻大麻哈鱼,19527974,千克,0,?,227845198.0
3031310,冻大西洋鲑鱼,1571902,千克,0,?,92002960.0
3031400,冻鳟鱼,189061,千克,0,?,10055770.0
3032400,冻鲶鱼,6011659,千克,0,?,75461519.0
3032500,冻鲤科鱼,5112,千克,0,?,38349.0
3032600,冻鳗鱼,457784,千克,0,?,5186618.0
3033110,冻马舌鲽(格陵兰庸鲽鱼),6911069,千克,0,?,306941931.0
3033190,其他冻庸鲽鱼,33878,千克,0,?,1374855.0
3033300,冻鳎鱼,210300,千克,0,?,2054110.0
3033900,其他冻比目鱼,11514857,千克,0,?,146078060.0
3034100,冻长鳍金枪鱼,28481,千克,0,?,430317.0
3034200,冻黄鳍金枪鱼,618213,千克,0,?,10362636.0
3034300,冻鲣,3060858,千克,0,?,36364147.0
3034510,冻大西洋蓝鳍金枪鱼,11007,千克,0,?,3633990.0
3034600,冻南方蓝鳍金枪鱼,559,千克,0,?,49003.0
3035100,冻鲱鱼,6534009,千克,0,?,28340843.0
3035300,冻的沙丁鱼、小沙丁鱼属、黍鲱或西鲱,30607317,千克,0,?,127910018.0
3035400,冻鲭鱼,4410606,千克,0,?,59612118.0
3035500,冻的对称竹荚鱼、新西兰竹荚鱼及竹荚鱼,727570,千克,0,?,8106782.0
3035700,冻剑鱼,24815,千克,0,?,877555.0
