商品编码,商品名称,第一数量,第一计量单位,第二数量,第二计量单位,人民币
1012900,其他马，改良种用除外,132049,千克,310,头,101458756.0
1022100,改良种用家牛,690,千克,3,头,336000.0
1022900,其他家牛，改良种用除外,895390,千克,3893,头,45072376.0
1031000,改良种用猪,33000,千克,730,头,14068747.0
1051110,改良种用鸡，改良种用除外，重量≤185g,8649,千克,183328,只,54134356.0
1061190,其他灵长目动物，改良种用除外,5400,千克,1080,只,114321940.0
1061221,改良种用海豹、海狮及海象,600,千克,30,只,1904876.0
1061229,其他海豹、海狮及海象，改良种用除外,875,千克,35,只,1147035.0
1061990,"未列名哺乳动物,改良种用除外",54,千克,1850,只,8006133.0
1063990,未列名鸟,600,千克,200,只,3024695.0
1064990,"其他昆虫,改良种用除外",2,千克,3176,只,15114.0
1069090,"其他活动物,改良种用除外",0,千克,10,只,683.0
2012000,鲜或冷的带骨牛肉,5241,千克,0,?,890287.0
2013000,鲜或冷的去骨牛肉,2920332,千克,0,?,268349214.0
2022000,冻带骨牛肉,32348435,千克,0,?,774141151.0
2023000,冻去骨牛肉,172896870,千克,0,?,8096388068.0
2031900,其他鲜或冷的猪肉,35367,千克,0,?,3269462.0
2032200,冻带骨猪前腿、猪后腿及其肉块,15062575,千克,0,?,166444907.0
2032900,其他冻猪肉,41624861,千克,0,?,614341859.0
2042200,鲜或冷的带骨绵羊肉,83887,千克,0,?,5602121.0
2042300,鲜或冷的去骨绵羊肉,24253,千克,0,?,1834070.0
2043000,冻整头及半头羔羊肉,6097,千克,0,?,370536.0
2044100,冻整头及半头绵羊肉,1661536,千克,0,?,71594691.0
2044200,冻带骨绵羊肉,17056192,千克,0,?,564757287.0
2044300,冻去骨绵羊肉,1319822,千克,0,?,39950367.0
2045000,鲜、冷、冻山羊肉,382250,千克,0,?,15342890.0
2050000,鲜、冷、冻的马、驴、骡肉,132260,千克,0,?,4550254.0
2062200,冻牛肝,2176,千克,0,?,140651.0
2062900,其他冻牛杂碎,6506717,千克,0,?,105984275.0
2064900,其他冻猪杂碎,81501704,千克,0,?,990490203.0
2069000,其他冻杂碎（牛、猪杂碎除外）,352258,千克,0,?,7566334.0
2071411,带骨的冻鸡块,2873895,千克,0,?,25764196.0
