商品编码,商品名称,第一数量,第一计量单位,第二数量,第二计量单位,美元
1012100,改良种用马,43650,千克,102,头,132600.0
1012900,其他马，改良种用除外,24750,千克,63,头,1357684.0
1022100,改良种用家牛,5739857,千克,17874,头,33176286.0
1022900,其他家牛，改良种用除外,88405,千克,184,头,503909.0
1029010,改良种用其他牛,1889080,千克,5766,头,11235900.0
1031000,改良种用猪,47860,千克,983,头,2624557.0
1051110,改良种用鸡，改良种用除外，重量≤185g,3250,千克,79066,只,1846593.0
1061190,其他灵长目动物，改良种用除外,24,千克,2,只,34000.0
1061221,改良种用海豹、海狮及海象,280,千克,4,只,54626.0
1061229,其他海豹、海狮及海象，改良种用除外,420,千克,20,只,59779.0
1061390,"其他骆驼及其他骆驼科动物,改良种用除外",30000,千克,622,只,1337300.0
1061410,改良种用家兔及野兔,1054,千克,354,只,141661.0
1061490,"其他家兔及野兔,改良种用除外",28,千克,30,只,3094.0
1061910,其他改良种用哺乳动物,15250,千克,68,只,442784.0
1061990,"未列名哺乳动物,改良种用除外",14294,千克,3735,只,930938.0
1062019,其他改良种用爬行动物,832,千克,187,只,4689.0
1062020,食用爬行动物,74714,千克,50888,只,330656.0
1062090,未列名爬行动物,8905,千克,25504,只,215955.0
1063290,其他鹦形目鸟，改良种用除外,346,千克,330,只,48627.0
1063990,未列名鸟,1620,千克,1876,只,406653.0
1064190,"其他蜂,改良种用除外",390,千克,79520,只,27182.0
1064910,改良种用昆虫,0,千克,1060,只,167.0
1064990,"其他昆虫,改良种用除外",3,千克,5192,只,1000.0
1069090,"其他活动物,改良种用除外",744,千克,1010,只,5469.0
2012000,鲜、冷带骨牛肉,65898,千克,0,?,476634.0
2013000,鲜、冷去骨牛肉,560405,千克,0,?,4065488.0
2022000,冻带骨牛肉,8433876,千克,0,?,23495865.0
2023000,冻去骨牛肉,37190922,千克,0,?,171785996.0
2032190,其他冻整头及半头猪肉,50254,千克,0,?,75381.0
2032200,冻带骨猪前腿、猪后腿及其肉块,39588336,千克,0,?,65438964.0
2032900,其他冻猪肉,78964010,千克,0,?,148705308.0
2043000,冻整头及半头羔羊肉,14354,千克,0,?,41464.0
2044100,冻整头及半头绵羊肉,1546585,千克,0,?,4004936.0
2044200,冻带骨绵羊肉,25581587,千克,0,?,61561610.0
2044300,冻去骨绵羊肉,203858,千克,0,?,477968.0
2045000,山羊肉,56230,千克,0,?,78722.0
2050000,鲜、冷、冻马、驴、骡肉,234600,千克,0,?,768240.0
2062100,冻牛舌,26931,千克,0,?,95350.0
2062900,其他冻牛杂碎,1790831,千克,0,?,5939750.0
2064100,冻猪肝,5000,千克,0,?,3108.0
2064900,其他冻猪杂碎,110986025,千克,0,?,191677972.0
2069000,其他冻杂碎（牛、猪杂碎除外）,379609,千克,0,?,635411.0
2071200,整只鸡，冻的,133720,千克,0,?,150616.0
2071411,带骨的冻鸡块,12978215,千克,0,?,15671830.0
2071419,其他冻鸡块,106551,千克,0,?,188326.0
2071421,冻鸡翼（不包括翼尖）,19591747,千克,0,?,56295192.0
2071422,冻鸡爪,12732116,千克,0,?,24852610.0
2071429,其他冻鸡杂碎,3545899,千克,0,?,3702409.0
2072500,整只火鸡，冻的,23852,千克,0,?,83733.0
2072700,火鸡块及杂碎，冻的,2652725,千克,0,?,6643376.0
2089090,其他鲜、冷、冻肉及食用杂碎,105856,千克,0,?,582742.0
2091000,未炼制或用其他方法提取的不带瘦肉的肥猪肉、猪脂肪，鲜、冷、冻、干、熏、盐腌或盐渍的,7555166,千克,0,?,6074772.0
2101900,其他干、熏、盐腌或盐渍猪肉,17026,千克,0,?,286559.0
2109900,其他干、熏、盐腌或盐渍肉及食用杂碎，包括可供食用的肉或杂碎的细粉、粗粉,1350,千克,0,?,58937.0
3011100,淡水观赏鱼,24061,千克,0,?,1137939.0
3011900,其他观赏鱼,6720,千克,0,?,167672.0
3019210,鳗鱼（鳗鲡属）苗,3246,千克,0,?,626679.0
3019290,其他活鳗（鳗鲡属）鱼，鱼苗除外,16644,千克,0,?,169106.0
3019919,其他鱼苗,47,千克,0,?,15824.0
3019999,其他活鱼,1069063,千克,0,?,4168177.0
3021300,鲜、冷大麻哈鱼,8004,千克,0,?,111024.0
3021410,鲜、冷大西洋鲑鱼,2187709,千克,0,?,21667921.0
3023200,鲜、冷黄鳍金枪鱼,4232,千克,0,?,48490.0
3023520,鲜、冷太平洋蓝鳍金枪鱼,12356,千克,0,?,479006.0
3024100,鲜、冷鲱鱼（大西洋鲱鱼、太平洋鲱鱼）,27272,千克,0,?,19091.0
3024400,鲜、冷鲭鱼〔大西洋鲭、澳洲鲭（鲐）、日本鲭（鲐）〕,1015,千克,0,?,18553.0
3024500,鲜、冷对称竹荚鱼、新西兰竹荚鱼及竹荚鱼(竹荚鱼属),3244,千克,0,?,65566.0
3027400,鲜、冷鳗鱼（鳗鲡属）,62,千克,0,?,1247.0
3028100,鲜、冷角鲨及其他鲨鱼,36725,千克,0,?,44203.0
3028910,鲜、冷带鱼,289240,千克,0,?,401672.0
3028920,鲜、冷黄鱼,8970,千克,0,?,26910.0
3028930,鲜、冷鲳鱼,49350,千克,0,?,327867.0
3028990,其他鲜、冷鱼,734132,千克,0,?,1359402.0
3031100,冻红大麻哈鱼,59879,千克,0,?,269494.0
3031200,其他冻大麻哈鱼,3905503,千克,0,?,8966939.0
3031300,冻大西洋鲑鱼及多瑙哲罗鱼,1706320,千克,0,?,7115245.0
3031400,冻鳟鱼,321706,千克,0,?,1698067.0
3031900,其他冻鲑科鱼,21575,千克,0,?,111062.0
3032400,冻鲶鱼（(鱼芒)鲶属、鲶属、胡鲶属、真?属）,544909,千克,0,?,690179.0
3032500,冻鲤科鱼（西鲤、黑?、草鱼、鲢属、鲮属、青鱼）,118849,千克,0,?,117572.0
3032600,冻鳗鱼（鳗鲡属）,994,千克,0,?,3010.0
3033110,冻格陵兰庸鲽鱼,531991,千克,0,?,2383468.0
3033190,其他冻庸鲽鱼,167369,千克,0,?,922395.0
3033200,冻鲽鱼,596900,千克,0,?,934575.0
3033300,冻鳎鱼,35404,千克,0,?,96517.0
3033900,其他冻比目鱼（鲽科、?科、舌鳎科、鳎科、菱?科、刺?科）,15233205,千克,0,?,22098306.0
3034200,冻黄鳍金枪鱼,1111829,千克,0,?,2284613.0
