商品编码,商品名称,第一数量,第一计量单位,第二数量,第二计量单位,美元
1012100,改良种用马,31200,千克,78,头,1097083.0
1012900,其他马，改良种用除外,122691,千克,357,头,4780828.0
1022100,改良种用家牛,2550100,千克,9486,头,16028212.0
1031000,改良种用猪,18375,千克,105,头,201229.0
1041010,改良种用绵羊,58708,千克,1129,头,1377050.0
1051110,改良种用鸡，改良种用除外，重量≤185g,4580,千克,110562,只,1819623.0
1061190,其他灵长目动物，改良种用除外,50,千克,74,只,66600.0
1061211,改良种用鲸、海豚及鼠海豚；改良种用海牛及儒艮,9490,千克,16,只,17949950.0
1061221,改良种用海豹、海狮及海象,1555,千克,7,只,70000.0
1061229,其他海豹、海狮及海象，改良种用除外,200,千克,12,只,76980.0
1061910,其他改良种用哺乳动物,3198,千克,48,只,435000.0
1061990,"未列名哺乳动物,改良种用除外",1102,千克,2870,只,382555.0
1062011,改良种用鳄鱼苗,55,千克,250,只,3761.0
1062020,食用爬行动物,80336,千克,58765,只,247688.0
1062090,未列名爬行动物,17233,千克,57918,只,276215.0
1063290,其他鹦形目鸟，改良种用除外,197,千克,138,只,30171.0
1063910,其他改良种用鸟,15,千克,4,只,3471.0
1063990,未列名鸟,43,千克,417,只,12788.0
1064190,"其他蜂,改良种用除外",70,千克,16800,只,5366.0
1064910,改良种用昆虫,0,千克,1040,只,144.0
1064990,"其他昆虫,改良种用除外",1,千克,3456,只,1575.0
1069090,"其他活动物,改良种用除外",51200,千克,133735,只,55893.0
2012000,鲜、冷带骨牛肉,90856,千克,0,?,625403.0
2013000,鲜、冷去骨牛肉,410942,千克,0,?,3788797.0
2021000,冻整头及半头牛肉,18000,千克,0,?,39600.0
2022000,冻带骨牛肉,8998035,千克,0,?,23524640.0
2023000,冻去骨牛肉,42638273,千克,0,?,190823879.0
2032190,其他冻整头及半头猪肉,351541,千克,0,?,730664.0
2032200,冻带骨猪前腿、猪后腿及其肉块,65171153,千克,0,?,125106336.0
2032900,其他冻猪肉,117841538,千克,0,?,260688965.0
2042200,鲜、冷带骨绵羊肉,25179,千克,0,?,37421.0
2043000,冻整头及半头羔羊肉,70051,千克,0,?,306122.0
2044100,冻整头及半头绵羊肉,740932,千克,0,?,2076759.0
2044200,冻带骨绵羊肉,19456990,千克,0,?,53962832.0
2044300,冻去骨绵羊肉,688273,千克,0,?,1805618.0
2062100,冻牛舌,49822,千克,0,?,181728.0
2062900,其他冻牛杂碎,1679477,千克,0,?,5613530.0
2064100,冻猪肝,2603711,千克,0,?,2084318.0
2064900,其他冻猪杂碎,105551347,千克,0,?,207099016.0
2069000,其他冻杂碎（牛、猪杂碎除外）,376359,千克,0,?,768269.0
2071200,整只鸡，冻的,231395,千克,0,?,245756.0
2071411,带骨的冻鸡块,18988700,千克,0,?,25936692.0
2071419,其他冻鸡块,2256204,千克,0,?,4008353.0
2071421,冻鸡翼（不包括翼尖）,17472491,千克,0,?,54824102.0
2071422,冻鸡爪,12724952,千克,0,?,27742562.0
2071429,其他冻鸡杂碎,4226487,千克,0,?,5703670.0
2072500,整只火鸡，冻的,44749,千克,0,?,159191.0
2072700,火鸡块及杂碎，冻的,2206164,千克,0,?,5157401.0
2089090,其他鲜、冷、冻肉及食用杂碎,54307,千克,0,?,240143.0
2091000,未炼制或用其他方法提取的不带瘦肉的肥猪肉、猪脂肪，鲜、冷、冻、干、熏、盐腌或盐渍的,17862779,千克,0,?,21257099.0
2101110,干、熏、盐腌或盐渍带骨猪腿,390,千克,0,?,6603.0
2101900,其他干、熏、盐腌或盐渍猪肉,22739,千克,0,?,381515.0
2102000,干、熏、盐腌或盐渍牛肉,500,千克,0,?,4000.0
3011100,淡水观赏鱼,17540,千克,0,?,779547.0
3011900,其他观赏鱼,6487,千克,0,?,227532.0
3019210,鳗鱼（鳗鲡属）苗,838,千克,0,?,99297.0
3019290,其他活鳗（鳗鲡属）鱼，鱼苗除外,9136,千克,0,?,89812.0
3019999,其他活鱼,717581,千克,0,?,2664434.0
3021100,鲜、冷鳟鱼,16923,千克,0,?,163953.0
3021300,鲜、冷大麻哈鱼,9097,千克,0,?,133086.0
3021410,鲜、冷大西洋鲑鱼,3303578,千克,0,?,35428902.0
3022100,鲜、冷庸鲽鱼,70,千克,0,?,281.0
3023200,鲜、冷黄鳍金枪鱼,4226,千克,0,?,46628.0
3023300,鲜、冷鲣鱼或狐鲣,634,千克,0,?,9404.0
3023520,鲜、冷太平洋蓝鳍金枪鱼,12713,千克,0,?,527879.0
3023600,鲜、冷南方蓝鳍金枪鱼,99,千克,0,?,2063.0
3024100,鲜、冷鲱鱼（大西洋鲱鱼、太平洋鲱鱼）,4000,千克,0,?,2800.0
3024300,鲜、冷沙丁鱼（沙丁鱼、沙瑙鱼属）、小沙丁鱼属、黍鲱或西鲱,170,千克,0,?,2444.0
3024400,鲜、冷鲭鱼〔大西洋鲭、澳洲鲭（鲐）、日本鲭（鲐）〕,912,千克,0,?,19355.0
3024500,鲜、冷对称竹荚鱼、新西兰竹荚鱼及竹荚鱼(竹荚鱼属),3632,千克,0,?,80986.0
3025100,鲜、冷鳕鱼（大西洋鳕鱼、格陵兰鳕鱼、太平洋鳕鱼）,44754,千克,0,?,50344.0
3027300,鲜、冷鲤科鱼（西鲤、黑?、草鱼、鲢属、鲮属、青鱼）,2000,千克,0,?,1400.0
3027400,鲜、冷鳗鱼（鳗鲡属）,36,千克,0,?,773.0
3028100,鲜、冷角鲨及其他鲨鱼,31200,千克,0,?,37549.0
3028910,鲜、冷带鱼,273486,千克,0,?,396001.0
3028920,鲜、冷黄鱼,658,千克,0,?,2097.0
3028930,鲜、冷鲳鱼,67053,千克,0,?,435396.0
3028990,其他鲜、冷鱼,493810,千克,0,?,1156892.0
3031100,冻红大麻哈鱼,103540,千克,0,?,303562.0
3031200,其他冻大麻哈鱼,2555257,千克,0,?,7488881.0
3031300,冻大西洋鲑鱼及多瑙哲罗鱼,1080112,千克,0,?,5772988.0
3031400,冻鳟鱼,352751,千克,0,?,2228375.0
3031900,其他冻鲑科鱼,217173,千克,0,?,652037.0
3032400,冻鲶鱼（(鱼芒)鲶属、鲶属、胡鲶属、真?属）,797590,千克,0,?,1124880.0
3032500,冻鲤科鱼（西鲤、黑?、草鱼、鲢属、鲮属、青鱼）,611102,千克,0,?,462097.0
3032600,冻鳗鱼（鳗鲡属）,2303,千克,0,?,2663.0
3033110,冻格陵兰庸鲽鱼,1390903,千克,0,?,7273005.0
3033190,其他冻庸鲽鱼,617115,千克,0,?,4475544.0
3033200,冻鲽鱼,71658,千克,0,?,187490.0
3033300,冻鳎鱼,4214,千克,0,?,15035.0
3033900,其他冻比目鱼（鲽科、?科、舌鳎科、鳎科、菱?科、刺?科）,8972828,千克,0,?,14990904.0
3034100,冻长鳍金枪鱼,274440,千克,0,?,743211.0
3034200,冻黄鳍金枪鱼,2302244,千克,0,?,4394684.0
3034300,冻鲣鱼或狐鲣,5781667,千克,0,?,7764445.0
3034510,冻大西洋蓝鳍金枪鱼,1095,千克,0,?,2635.0
3035100,冻鲱鱼（大西洋鲱鱼、太平洋鲱鱼）,9640483,千克,0,?,7825809.0
3035300,冻沙丁鱼（沙丁鱼、沙瑙鱼属）、小沙丁鱼属、黍鲱或西鲱,1703605,千克,0,?,1389177.0
3035400,冻鲭鱼〔大西洋鲭、澳洲鲭（鲐）、日本鲭（鲐）〕,3283903,千克,0,?,4737227.0
3035500,冻对称竹荚鱼、新西兰竹荚鱼及竹荚鱼(竹荚鱼属),567551,千克,0,?,722868.0
3035700,冻剑鱼,116211,千克,0,?,348633.0
3036300,冻鳕鱼（大西洋鳕鱼、格陵兰鳕鱼、太平洋鳕鱼）,16423717,千克,0,?,47280592.0
3036400,冻黑线鳕鱼（黑线鳕）,3865438,千克,0,?,7808447.0
3036500,冻绿青鳕鱼,1241036,千克,0,?,2565269.0
3036600,冻狗鳕鱼(无须鳕属、长鳍鳕属),3017856,千克,0,?,4010386.0
3036700,冻狭鳕鱼,22406186,千克,0,?,22546775.0
3036800,冻蓝鳕鱼（小鳍鳕、南蓝鳕）,4275092,千克,0,?,2520933.0
3036900,其他冻冻犀鳕科、冻多丝真鳕科、冻鳕科、冻长尾鳕科、冻黑鳕科、冻无须鳕科、冻深海鳕科及南极鳕科鱼,1067382,千克,0,?,1364639.0
3038100,冻角鲨及其他鲨鱼,254281,千克,0,?,505720.0
3038200,冻?鱼及鳐鱼（鳐科）,35344,千克,0,?,35280.0
3038300,冻南极犬牙鱼（南极犬牙鱼属）,18009,千克,0,?,81351.0
3038400,冻尖吻鲈鱼(舌齿鲈属),6342,千克,0,?,11108.0
3038910,冻带鱼,1616052,千克,0,?,3246852.0
3038920,冻黄鱼,36300,千克,0,?,55085.0
3038930,冻鲳鱼,356279,千克,0,?,845314.0
3038990,其他未列名冻鱼,22695515,千克,0,?,37772426.0
3039000,冻鱼肝及鱼卵,436028,千克,0,?,2727801.0
3044100,鲜或冷大麻哈鱼、大西洋鲑鱼及多瑙哲罗鱼的鱼片,427,千克,0,?,7326.0
3044900,其他鲜或冷的鱼片,465,千克,0,?,9390.0
3045900,其他鲜或冷的鱼肉,175,千克,0,?,2546.0
3046219,其他冻叉尾?鱼的鱼片,15300,千克,0,?,20291.0
3046290,其他冻鲶鱼的鱼片,1678480,千克,0,?,3350111.0
