商品编码,商品名称,第一数量,第一计量单位,第二数量,第二计量单位,美元
1012100,改良种用马,18000,千克,40,头,64000.0
1012900,其他马，改良种用除外,28315,千克,107,头,2257623.0
1022100,改良种用家牛,1224372,千克,4579,头,8108013.0
1022900,其他家牛，改良种用除外,2196112,千克,7894,头,11846490.0
1051110,改良种用鸡，改良种用除外，重量≤185g,8887,千克,180052,只,4046250.0
1061110,改良种用灵长目动物,416,千克,121,只,418993.0
1061190,其他灵长目动物，改良种用除外,3856,千克,1105,只,615906.0
1061211,改良种用鲸、海豚及鼠海豚；改良种用海牛及儒艮,1900,千克,8,只,920000.0
1061221,改良种用海豹、海狮及海象,100,千克,1,只,92113.0
1061229,其他海豹、海狮及海象，改良种用除外,200,千克,2,只,184226.0
1061390,"其他骆驼及其他骆驼科动物,改良种用除外",3005,千克,100,只,185555.0
1061910,其他改良种用哺乳动物,4175,千克,110,只,1140816.0
1061990,"未列名哺乳动物,改良种用除外",2649,千克,2052,只,726321.0
1062011,改良种用鳄鱼苗,24500,千克,2000,只,110000.0
1062019,其他改良种用爬行动物,760,千克,65200,只,55506.0
1062020,食用爬行动物,141115,千克,41182,只,637311.0
1062090,未列名爬行动物,57961,千克,16743,只,305341.0
1063210,改良种用鹦形目鸟,40,千克,40,只,64000.0
1063310,改良种用鸵鸟、鸸鹋,650,千克,100,只,50150.0
1063910,其他改良种用鸟,387,千克,55,只,1062703.0
1063990,未列名鸟,1572,千克,3070,只,1142818.0
1064190,"其他蜂,改良种用除外",830,千克,87050,只,39633.0
1064990,"其他昆虫,改良种用除外",14,千克,6858,只,2810.0
1069090,"其他活动物,改良种用除外",5,千克,1168,只,4539.0
2012000,鲜或冷的带骨牛肉,129611,千克,0,?,1636821.0
2013000,鲜或冷的去骨牛肉,3387908,千克,0,?,25796896.0
2021000,冻整头及半头牛肉,764056,千克,0,?,2671400.0
2022000,冻带骨牛肉,22392503,千克,0,?,65160061.0
2023000,冻去骨牛肉,125402370,千克,0,?,689754503.0
2032190,其他冻整头及半头猪肉,125106,千克,0,?,244208.0
2032200,冻带骨猪前腿、猪后腿及其肉块,30035734,千克,0,?,52154575.0
2032900,其他冻猪肉,131675643,千克,0,?,308022782.0
2041000,鲜或冷的整头及半头羔羊肉,66589,千克,0,?,403330.0
2042100,鲜或冷的整头及半头绵羊肉,19968,千克,0,?,106790.0
2042200,鲜或冷的带骨绵羊肉,25503,千克,0,?,185963.0
2042300,鲜或冷的去骨绵羊肉,7042,千克,0,?,69780.0
2043000,冻整头及半头羔羊肉,252025,千克,0,?,1491326.0
2044100,冻整头及半头绵羊肉,1727175,千克,0,?,8390723.0
2044200,冻带骨绵羊肉,20915814,千克,0,?,101427912.0
2044300,冻去骨绵羊肉,1559399,千克,0,?,6691961.0
2045000,山羊肉,1846,千克,0,?,10153.0
2050000,鲜、冷、冻的马、驴、骡肉,152500,千克,0,?,279703.0
2062100,冻牛舌,11361,千克,0,?,140673.0
2062900,其他冻牛杂碎,2333448,千克,0,?,9907431.0
