商品编码,商品名称,第一数量,第一计量单位,第二数量,第二计量单位,美元
1012900,其他马，改良种用除外,28950,千克,66,头,1738728.0
1022100,改良种用家牛,1794990,千克,4993,头,13696178.0
1022900,其他家牛，改良种用除外,10027593,千克,30202,头,61799382.0
1031000,改良种用猪,268810,千克,4210,头,7825077.0
1051110,改良种用鸡，改良种用除外，重量≤185g,8514,千克,172801,只,4302704.0
1061990,"未列名哺乳动物,改良种用除外",136,千克,1919,只,344815.0
1062020,食用爬行动物,3978,千克,2311,只,10322.0
1064910,改良种用昆虫,0,千克,1320,只,775.0
1064990,"其他昆虫,改良种用除外",3,千克,4826,只,8901.0
1069090,"其他活动物,改良种用除外",0,千克,105,只,1519.0
2012000,鲜或冷的带骨牛肉,64347,千克,0,?,1425835.0
2013000,鲜或冷的去骨牛肉,3189060,千克,0,?,31918124.0
2022000,冻带骨牛肉,33141528,千克,0,?,87163480.0
2023000,冻去骨牛肉,151760777,千克,0,?,781813163.0
2031900,其他鲜或冷的猪肉,248087,千克,0,?,875299.0
2032110,冻整头及半头乳猪肉,953,千克,0,?,17732.0
2032190,其他冻整头及半头猪肉,385724,千克,0,?,866690.0
2032200,冻带骨猪前腿、猪后腿及其肉块,123415023,千克,0,?,311520890.0
2032900,其他冻猪肉,296953499,千克,0,?,877408005.0
2041000,鲜或冷的整头及半头羔羊肉,17616,千克,0,?,132122.0
2042200,鲜或冷的带骨绵羊肉,33308,千克,0,?,424162.0
2042300,鲜或冷的去骨绵羊肉,28570,千克,0,?,273035.0
2043000,冻整头及半头羔羊肉,3094043,千克,0,?,17279905.0
2044100,冻整头及半头绵羊肉,6385858,千克,0,?,34701068.0
2044200,冻带骨绵羊肉,38180086,千克,0,?,208160358.0
2044300,冻去骨绵羊肉,2659293,千克,0,?,13742087.0
2050000,鲜、冷、冻的马、驴、骡肉,582108,千克,0,?,1218155.0
2061000,鲜或冷的牛杂碎,173,千克,0,?,2674.0
2062100,冻牛舌,27225,千克,0,?,333398.0
2062900,其他冻牛杂碎,2340824,千克,0,?,9984005.0
2064100,冻猪肝,1648966,千克,0,?,1175817.0
2064900,其他冻猪杂碎,106543033,千克,0,?,246050726.0
2069000,其他冻杂碎（牛、猪杂碎除外）,503199,千克,0,?,2741118.0
2071200,整只鸡，冻的,108011,千克,0,?,155906.0
2071411,带骨的冻鸡块,28063920,千克,0,?,27457646.0
2071419,其他冻鸡块,286423,千克,0,?,696027.0
2071421,冻鸡翼（不包括翼尖）,28588273,千克,0,?,88189559.0
2071422,冻鸡爪,55537539,千克,0,?,140928899.0
2071429,其他冻鸡杂碎,9577118,千克,0,?,13399531.0
2072700,火鸡块及杂碎，冻的,739380,千克,0,?,1795197.0
2089090,其他鲜、冷、冻的肉及食用杂碎,74304,千克,0,?,386219.0
2091000,未炼制或用其他方法提取的不带瘦肉的肥猪肉、猪脂肪，鲜、冷、冻、干、熏、盐腌或盐渍的,11212511,千克,0,?,23011191.0
2101110,干、熏、盐腌或盐渍带骨猪腿,26028,千克,0,?,727369.0
2101190,干、熏、盐腌或盐渍其他带骨猪肉块,7620,千克,0,?,59067.0
2101900,其他干、熏、盐腌或盐渍猪肉,113149,千克,0,?,2500601.0
3011100,淡水观赏鱼,30119,千克,0,?,883288.0
3011900,其他观赏鱼,5150,千克,0,?,432060.0
3019210,鳗鱼苗,5460,千克,0,?,10578539.0
3019290,其他活鳗鱼，鱼苗除外,12907,千克,0,?,117556.0
3019911,鲈鱼苗,287,千克,0,?,2879.0
3019999,其他活鱼,1594558,千克,0,?,8751220.0
3021300,鲜或冷的大麻哈鱼,28254,千克,0,?,417414.0
3021410,鲜或冷的大西洋鲑鱼,4713017,千克,0,?,47641740.0
3022900,其他鲜或冷的比目鱼,12637,千克,0,?,29777.0
3023200,鲜或冷的黄鳍金枪鱼,4632,千克,0,?,31835.0
3023300,鲜或冷的鲣鱼或狐鲣,357,千克,0,?,13466.0
3023510,鲜或冷的大西洋蓝鳍金枪鱼,595,千克,0,?,14685.0
3023520,鲜或冷的太平洋蓝鳍金枪鱼,53221,千克,0,?,1634576.0
3023600,鲜或冷的南方蓝鳍金枪鱼,7682,千克,0,?,123763.0
3023900,其他鲜或冷的金枪鱼,8140,千克,0,?,225263.0
3024100,鲜或冷的鲱鱼,14340,千克,0,?,10088.0
