商品编码,商品名称,第一数量,第一计量单位,第二数量,第二计量单位,美元
1012900,其他马，改良种用除外,22500,千克,89,头,905398.0
1022100,改良种用家牛,1422605,千克,5529,头,16651358.0
1022900,其他家牛，改良种用除外,5032985,千克,19091,头,47513106.0
1031000,改良种用猪,43540,千克,622,头,2379406.0
1051110,改良种用鸡，改良种用除外，重量≤185g,9571,千克,202072,只,4705469.0
1061990,"未列名哺乳动物,改良种用除外",41,千克,778,只,188755.0
1064910,改良种用昆虫,0,千克,580,只,525.0
1064990,"其他昆虫,改良种用除外",11,千克,14263,只,8399.0
1069090,"其他活动物,改良种用除外",0,千克,87,只,1171.0
2012000,鲜或冷的带骨牛肉,73394,千克,0,?,1745060.0
2013000,鲜或冷的去骨牛肉,4999435,千克,0,?,59451311.0
2021000,冻整头及半头牛肉,67512,千克,0,?,194079.0
2022000,冻带骨牛肉,33961704,千克,0,?,112601140.0
2023000,冻去骨牛肉,181977696,千克,0,?,1148617020.0
2031200,鲜或冷的带骨猪前腿、猪后腿及其肉块,6628,千克,0,?,25519.0
2032190,其他冻整头及半头猪肉,240202,千克,0,?,536045.0
2032200,冻带骨猪前腿、猪后腿及其肉块,60296944,千克,0,?,133388151.0
2032900,其他冻猪肉,137643869,千克,0,?,360770147.0
2042200,鲜或冷的带骨绵羊肉,13346,千克,0,?,317448.0
2042300,鲜或冷的去骨绵羊肉,13649,千克,0,?,204542.0
2043000,冻整头及半头羔羊肉,2392744,千克,0,?,16371615.0
2044100,冻整头及半头绵羊肉,2059607,千克,0,?,12773658.0
2044200,冻带骨绵羊肉,22726840,千克,0,?,141776654.0
2044300,冻去骨绵羊肉,1645315,千克,0,?,8633592.0
2045000,鲜、冷、冻山羊肉,21047,千克,0,?,210401.0
2050000,鲜、冷、冻的马、驴、骡肉,111379,千克,0,?,289579.0
2061000,鲜或冷的牛杂碎,190,千克,0,?,3038.0
2062100,冻牛舌,24915,千克,0,?,354757.0
2062200,冻牛肝,28938,千克,0,?,39066.0
2062900,其他冻牛杂碎,2956189,千克,0,?,14720506.0
2064100,冻猪肝,230580,千克,0,?,164942.0
2064900,其他冻猪杂碎,99861495,千克,0,?,226599303.0
2069000,其他冻杂碎（牛、猪杂碎除外）,365088,千克,0,?,2159182.0
2071200,整只鸡，冻的,603119,千克,0,?,833203.0
2071411,带骨的冻鸡块,23245419,千克,0,?,27587218.0
2071419,其他冻鸡块,963417,千克,0,?,2070615.0
2071421,冻鸡翼（不包括翼尖）,24961404,千克,0,?,78419192.0
2071422,冻鸡爪,55061365,千克,0,?,171514538.0
2071429,其他冻鸡杂碎,9370779,千克,0,?,13215954.0
2072500,整只火鸡，冻的,179683,千克,0,?,564327.0
2072700,火鸡块及杂碎，冻的,1876927,千克,0,?,4975935.0
2074500,冻的鸭块及杂碎,24000,千克,0,?,28825.0
2089090,其他鲜、冷、冻的肉及食用杂碎,266544,千克,0,?,1777269.0
2091000,未炼制或用其他方法提取的不带瘦肉的肥猪肉、猪脂肪，鲜、冷、冻、干、熏、盐腌或盐渍的,10724429,千克,0,?,16226976.0
2101110,干、熏、盐腌或盐渍带骨猪腿,19525,千克,0,?,627193.0
2101190,干、熏、盐腌或盐渍其他带骨猪肉块,10883,千克,0,?,91510.0
2101900,其他干、熏、盐腌或盐渍猪肉,122226,千克,0,?,1851267.0
3011100,淡水观赏鱼,14853,千克,0,?,581685.0
3011900,其他观赏鱼,6477,千克,0,?,392542.0
3019210,鳗鱼苗,60,千克,0,?,120360.0
3019290,其他活鳗鱼，鱼苗除外,52374,千克,0,?,447158.0
3019999,其他活鱼,2079813,千克,0,?,10469015.0
3021300,鲜或冷的大麻哈鱼,79196,千克,0,?,1270171.0
3021410,鲜或冷的大西洋鲑鱼,4494458,千克,0,?,57782340.0
3022900,其他鲜或冷的比目鱼,20728,千克,0,?,37737.0
3023300,鲜或冷的鲣鱼或狐鲣,211,千克,0,?,7230.0
3023510,鲜或冷的大西洋蓝鳍金枪鱼,1175,千克,0,?,31976.0
3023520,鲜或冷的太平洋蓝鳍金枪鱼,80031,千克,0,?,2185834.0
3023900,其他鲜或冷的金枪鱼,18237,千克,0,?,523541.0
3024400,鲜或冷的鲭鱼,773,千克,0,?,18470.0
3024500,鲜或冷的对称竹荚鱼、新西兰竹荚鱼及竹荚鱼,823,千克,0,?,16449.0
3024910,鲜、冷银鲳(鲳属),38967,千克,0,?,408214.0
3024990,鲜、冷印度鲭(羽鳃鲐属)、马鲛鱼(马鲛属)、?鱼(?属）、秋刀鱼、圆?(圆?属）、多春鱼(毛鳞鱼）、鲔鱼、狐鲣(狐鲣属）、枪鱼 、旗鱼、四鳍旗鱼(旗鱼科）,10616,千克,0,?,143212.0
3027400,鲜或冷的鳗鱼,350,千克,0,?,893.0
3028910,鲜或冷的带鱼,77093,千克,0,?,142521.0
3028990,其他鲜或冷的鱼,628315,千克,0,?,3827584.0
3031100,冻红大麻哈鱼,1558641,千克,0,?,13140716.0
3031200,其他冻大麻哈鱼,8939004,千克,0,?,29574933.0
3031310,冻大西洋鲑鱼,316888,千克,0,?,2350775.0
3031400,冻鳟鱼,90365,千克,0,?,653276.0
3032400,冻鲶鱼,1890316,千克,0,?,3361352.0
3032600,冻鳗鱼,320094,千克,0,?,360706.0
3033110,冻马舌鲽(格陵兰庸鲽鱼),5740226,千克,0,?,31752585.0
3033190,其他冻庸鲽鱼,816,千克,0,?,4080.0
3033200,冻鲽鱼,55181,千克,0,?,91812.0
3033300,冻鳎鱼,44070,千克,0,?,69368.0
3033900,其他冻比目鱼,7219586,千克,0,?,9747556.0
3034200,冻黄鳍金枪鱼,1000,千克,0,?,1564.0
3034300,冻鲣鱼或狐鲣,445217,千克,0,?,671408.0
3034510,冻大西洋蓝鳍金枪鱼,23702,千克,0,?,744875.0
3035100,冻鲱鱼,1870341,千克,0,?,1942703.0
3035300,冻的沙丁鱼、小沙丁鱼属、黍鲱或西鲱,587009,千克,0,?,376034.0
3035400,冻鲭鱼,1798508,千克,0,?,3087404.0
3035500,冻的对称竹荚鱼、新西兰竹荚鱼及竹荚鱼,1711703,千克,0,?,3361151.0
3035910,冻银鲳(鲳属),225170,千克,0,?,1270279.0
3035990,冻?鱼(?属）、冻印度鲭(羽鳃鲐属)、冻马鲛鱼(马鲛属)、冻?鱼(?属）、冻秋刀鱼、冻圆?(圆?属)、冻多春鱼(毛鳞鱼）、冻鲔鱼、冻狐鲣(狐鲣属）、冻枪鱼 、冻旗鱼、冻四鳍旗鱼(旗鱼科）,4609824,千克,0,?,10381073.0
3036300,冻鳕鱼,12776318,千克,0,?,45675741.0
3036400,冻黑线鳕鱼,5095196,千克,0,?,16301053.0
3036500,冻绿青鳕鱼,889603,千克,0,?,3514464.0
3036600,冻狗鳕鱼,834028,千克,0,?,1360237.0
3036700,冻狭鳕鱼,42350895,千克,0,?,49500519.0
3036800,冻蓝鳕鱼,4648155,千克,0,?,3897617.0
3036900,其他冻的犀鳕科、多丝真鳕科、鳕科、长尾鳕科、黑鳕科、无须鳕科、深海鳕科及南极鳕科鱼,2139261,千克,0,?,4716086.0
3038100,冻角鲨及其他鲨鱼,55072,千克,0,?,63203.0
3038200,冻?鱼及鳐鱼,142150,千克,0,?,274899.0
3038300,冻南极犬牙鱼,637792,千克,0,?,16151169.0
3038910,冻带鱼,7764662,千克,0,?,14896885.0
3038920,冻黄鱼,324538,千克,0,?,601981.0
3038930,冻鲳鱼(银鲳除外),554497,千克,0,?,1422994.0
3038990,未列名冻鱼,22828243,千克,0,?,41460828.0
3039100,冻的鱼肝、鱼卵及鱼精,1125465,千克,0,?,10150073.0
3039200,冻鲨鱼翅,336357,千克,0,?,3768799.0
3039900,其他冻的可食用鱼杂碎,2779968,千克,0,?,9181097.0
3044100,鲜或冷的大麻哈鱼、大西洋鲑鱼及多瑙哲罗鱼鱼片,19073,千克,0,?,299033.0
3044900,其他鲜或冷的鱼片,232,千克,0,?,1026.0
3045900,其他鲜或冷的鱼肉,5633,千克,0,?,336651.0
3046290,其他冻鲶鱼鱼片,6350121,千克,0,?,12569308.0
3046900,冻鲤科鱼、鳗鱼及黑鱼鱼片,16625,千克,0,?,13826.0
3047300,冻绿青鳕鱼鱼片,2400,千克,0,?,9600.0
3047500,冻狭鳕鱼鱼片,983448,千克,0,?,3752445.0
3047900,其他冻的犀鳕科、多丝真鳕科、鳕科、长尾鳕科、黑鳕科、无须鳕科、深海鳕科及南极鳕科鱼鱼片,149445,千克,0,?,464367.0
3048100,冻的大麻哈鱼、大西洋鲑鱼及多瑙哲罗鱼鱼片,15942,千克,0,?,222608.0
3048500,冻南极犬牙鱼鱼片,1282,千克,0,?,75804.0
3048700,冻的金枪鱼、鲣鱼或狐鲣鱼片,39825,千克,0,?,673889.0
3048900,其他冻鱼片,7302,千克,0,?,66402.0
3049400,冻狭鳕鱼鱼肉,725860,千克,0,?,2966127.0
3049500,冻的犀鳕科、多丝真鳕科、鳕科、长尾鳕科、黑鳕科、无须鳕科、深海鳕科及南极鳕科鱼鱼肉,299917,千克,0,?,530448.0
3049900,其他冻鱼肉,2602402,千克,0,?,8633232.0
3051000,适合供人食用的鱼的细粉、粗粉及团粒,3076,千克,0,?,151585.0
3052000,干、熏、盐腌或盐渍的鱼肝、鱼卵及鱼精,131182,千克,0,?,2828632.0
3054900,其他熏鱼,241,千克,0,?,10345.0
3055100,干鳕鱼,13640,千克,0,?,27361.0
3055490,干的鲱鱼(大西洋鲱鱼、太平洋鲱鱼）、?鱼(?属）、沙丁鱼(沙丁鱼、沙瑙鱼属）、小沙丁鱼属、黍鲱或西鲱、鲭鱼［大西洋鲭、澳洲鲭(鲐）、日本鲭(鲐）］、印度鲭(羽鳃鲐属)、马鲛鱼(马鲛属)、对称竹荚鱼、新西兰竹荚鱼及竹荚鱼(竹荚鱼属）、?鱼(?属）、军曹鱼、秋刀鱼、圆?(圆?属)、多春鱼(毛鳞鱼）、剑鱼、鲔鱼、狐鲣(狐鲣属）、枪鱼 、旗鱼、四鳍旗鱼(旗鱼科）,578708,千克,0,?,890907.0
3055990,其他干鱼,1762735,千克,0,?,3452933.0
3056400,盐腌及盐渍的罗非鱼、鲶鱼、鲤科鱼、鳗鱼、尼罗河鲈鱼及黑鱼,51340,千克,0,?,99912.0
3057100,鲨鱼翅,29777,千克,0,?,473935.0
3057200,鱼头、鱼尾、鱼鳔,183837,千克,0,?,1789213.0
3057900,其他鱼鳍及其他可食用杂碎,483891,千克,0,?,623275.0
3061100,冻的岩礁虾和其他龙虾,497176,千克,0,?,11120628.0
3061200,冻鳌龙虾,271195,千克,0,?,4755462.0
3061410,冻梭子蟹,195580,千克,0,?,352839.0
3061490,其他冻蟹,1477121,千克,0,?,20728809.0
3061500,冻挪威海鳌虾,9062,千克,0,?,159334.0
3061611,冻冷水小虾仁,20360,千克,0,?,229585.0
3061612,其他冻北方长额小虾,2195179,千克,0,?,11699701.0
3061619,其他冻冷水小虾,445640,千克,0,?,8586315.0
3061621,冻冷水对虾仁,704,千克,0,?,97196.0
3061629,其他冻冷水对虾,14664,千克,0,?,479066.0
3061711,其他冻小虾仁,296196,千克,0,?,1536451.0
3061719,其他冻小虾,554010,千克,0,?,4037130.0
3061721,其他冻对虾仁,1718243,千克,0,?,10386646.0
3061729,其他冻对虾,42116895,千克,0,?,271746092.0
