商品编码,商品名称,第一数量,第一计量单位,第二数量,第二计量单位,美元
1012900,其他马，改良种用除外,13500,千克,27,头,682623.0
1022100,改良种用家牛,488125,千克,1775,头,5319328.0
1022900,其他家牛，改良种用除外,1189650,千克,4326,头,13206832.0
1051110,改良种用鸡，改良种用除外，重量≤185g,4871,千克,111488,只,2971114.0
1061990,"未列名哺乳动物,改良种用除外",107,千克,2610,只,900858.0
1064910,改良种用昆虫,0,千克,480,只,487.0
1064990,"其他昆虫,改良种用除外",51,千克,65960,只,15940.0
1069090,"其他活动物,改良种用除外",0,千克,165,只,2024.0
2012000,鲜或冷的带骨牛肉,43134,千克,0,?,1026380.0
2013000,鲜或冷的去骨牛肉,3759040,千克,0,?,49698037.0
2022000,冻带骨牛肉,32428789,千克,0,?,108958024.0
2023000,冻去骨牛肉,155640016,千克,0,?,1095760707.0
2032200,冻带骨猪前腿、猪后腿及其肉块,39724600,千克,0,?,69156581.0
2032900,其他冻猪肉,99209212,千克,0,?,201844867.0
2042200,鲜或冷的带骨绵羊肉,6260,千克,0,?,174168.0
2042300,鲜或冷的去骨绵羊肉,227,千克,0,?,3672.0
2043000,冻整头及半头羔羊肉,1121301,千克,0,?,6496748.0
2044100,冻整头及半头绵羊肉,3839255,千克,0,?,22777851.0
2044200,冻带骨绵羊肉,25527344,千克,0,?,155345639.0
2044300,冻去骨绵羊肉,1494293,千克,0,?,6571550.0
2050000,鲜、冷、冻的马、驴、骡肉,110916,千克,0,?,288382.0
2062100,冻牛舌,25336,千克,0,?,438095.0
2062200,冻牛肝,28542,千克,0,?,59816.0
2062900,其他冻牛杂碎,3842340,千克,0,?,20421618.0
2064100,冻猪肝,2000,千克,0,?,1897.0
2064900,其他冻猪杂碎,87907578,千克,0,?,209700430.0
2069000,其他冻杂碎（牛、猪杂碎除外）,281815,千克,0,?,1656009.0
2071200,整只鸡，冻的,556605,千克,0,?,884310.0
2071411,带骨的冻鸡块,30544771,千克,0,?,33804417.0
2071419,其他冻鸡块,27990,千克,0,?,54608.0
2071421,冻鸡翼（不包括翼尖）,24530412,千克,0,?,77505495.0
2071422,冻鸡爪,58009309,千克,0,?,194957580.0
2071429,其他冻鸡杂碎,4749912,千克,0,?,6695832.0
2072700,火鸡块及杂碎，冻的,1136524,千克,0,?,4585427.0
2089090,其他鲜、冷、冻的肉及食用杂碎,182153,千克,0,?,1048324.0
2091000,未炼制或用其他方法提取的不带瘦肉的肥猪肉、猪脂肪，鲜、冷、冻、干、熏、盐腌或盐渍的,662044,千克,0,?,655568.0
2101110,干、熏、盐腌或盐渍带骨猪腿,65597,千克,0,?,1077078.0
2101190,干、熏、盐腌或盐渍其他带骨猪肉块,27368,千克,0,?,359970.0
2101900,其他干、熏、盐腌或盐渍猪肉,136301,千克,0,?,1913198.0
3011100,淡水观赏鱼,15350,千克,0,?,643794.0
3011900,其他观赏鱼,5366,千克,0,?,494541.0
3019210,鳗鱼苗,10438,千克,0,?,39135255.0
3019290,其他活鳗鱼，鱼苗除外,12159,千克,0,?,104430.0
3019999,其他活鱼,1907546,千克,0,?,8708227.0
3021300,鲜或冷的大麻哈鱼,25741,千克,0,?,448472.0
3021410,鲜或冷的大西洋鲑鱼,2028770,千克,0,?,36852208.0
3022900,其他鲜或冷的比目鱼,10773,千克,0,?,27861.0
3023300,鲜或冷鲣,471,千克,0,?,15164.0
3023520,鲜或冷的太平洋蓝鳍金枪鱼,50199,千克,0,?,1357874.0
3023900,其他鲜或冷的金枪鱼,12059,千克,0,?,337880.0
3024100,鲜或冷的鲱鱼,2950,千克,0,?,2161.0
3024400,鲜或冷的鲭鱼,1531,千克,0,?,30614.0
3024500,鲜或冷的对称竹荚鱼、新西兰竹荚鱼及竹荚鱼,311,千克,0,?,6055.0
3024910,鲜、冷银鲳(鲳属),4130,千克,0,?,91388.0
3024990,鲜、冷印度鲭(羽鳃鲐属)、马鲛鱼(马鲛属)、?鱼(?属）、秋刀鱼、圆?(圆?属）、多春鱼(毛鳞鱼）、鲔鱼、狐鲣(狐鲣属）、枪鱼 、旗鱼、四鳍旗鱼(旗鱼科）,4087,千克,0,?,30761.0
3028910,鲜或冷的带鱼,518081,千克,0,?,1346939.0
3028920,鲜或冷的黄鱼,7441,千克,0,?,80387.0
3028990,其他鲜或冷的鱼,908603,千克,0,?,4977227.0
3031100,冻红大麻哈鱼,36832,千克,0,?,247091.0
3031200,其他冻大麻哈鱼,7047079,千克,0,?,18975969.0
3031310,冻大西洋鲑鱼,1072620,千克,0,?,8042202.0
3031400,冻鳟鱼,259105,千克,0,?,2083710.0
3032400,冻鲶鱼,4045106,千克,0,?,9884906.0
3032500,冻鲤科鱼,17859,千克,0,?,16214.0
3032600,冻鳗鱼,179666,千克,0,?,196700.0
3033110,冻马舌鲽(格陵兰庸鲽鱼),2933090,千克,0,?,17839987.0
3033190,其他冻庸鲽鱼,62223,千克,0,?,1092173.0
3033200,冻鲽鱼,194286,千克,0,?,184394.0
3033300,冻鳎鱼,38515,千克,0,?,65788.0
3033900,其他冻比目鱼,12934445,千克,0,?,22312943.0
3034200,冻黄鳍金枪鱼,18000,千克,0,?,43330.0
3034400,冻大眼金枪鱼,5000,千克,0,?,12036.0
3034510,冻大西洋蓝鳍金枪鱼,24638,千克,0,?,1068931.0
3035100,冻鲱鱼,7671096,千克,0,?,6702116.0
3035300,冻的沙丁鱼、小沙丁鱼属、黍鲱或西鲱,49750,千克,0,?,50025.0
3035400,冻鲭鱼,9004815,千克,0,?,18985928.0
3035500,冻的对称竹荚鱼、新西兰竹荚鱼及竹荚鱼,2709986,千克,0,?,5449507.0
3035910,冻银鲳(鲳属),10420,千克,0,?,84606.0
3035990,冻?鱼(?属）、冻印度鲭(羽鳃鲐属)、冻马鲛鱼(马鲛属)、冻?鱼(?属）、冻秋刀鱼、冻圆?(圆?属)、冻多春鱼(毛鳞鱼）、冻鲔鱼、冻狐鲣(狐鲣属）、冻枪鱼 、冻旗鱼、冻四鳍旗鱼(旗鱼科）,1626740,千克,0,?,3100229.0
3036300,冻鳕鱼,12188286,千克,0,?,51520469.0
3036400,冻黑线鳕鱼,3964181,千克,0,?,14266494.0
3036500,冻绿青鳕鱼,910632,千克,0,?,4118406.0
3036600,冻狗鳕鱼,256365,千克,0,?,447384.0
3036700,冻阿拉斯加狭鳕鱼,53717252,千克,0,?,68552235.0
3036800,冻蓝鳕鱼,872796,千克,0,?,1321721.0
3036900,其他冻的犀鳕科、多丝真鳕科、鳕科、长尾鳕科、黑鳕科、无须鳕科、深海鳕科及南极鳕科鱼,2021854,千克,0,?,3721274.0
3038200,冻?鱼及鳐鱼,62295,千克,0,?,125550.0
3038300,冻南极犬牙鱼,53324,千克,0,?,1615857.0
3038910,冻带鱼,7391200,千克,0,?,15825290.0
3038920,冻黄鱼,176450,千克,0,?,246870.0
3038930,冻鲳鱼(银鲳除外),367768,千克,0,?,564532.0
3038990,未列名冻鱼,19183558,千克,0,?,36524276.0
3039100,冻的鱼肝、鱼卵及鱼精,1001467,千克,0,?,17049439.0
3039200,冻鲨鱼翅,142004,千克,0,?,1334931.0
3039900,其他冻的可食用鱼杂碎,3143496,千克,0,?,9530474.0
3044900,其他鲜或冷的鱼片,3257,千克,0,?,65123.0
3045200,鲜或冷的鲑科鱼鱼肉,29936,千克,0,?,682700.0
3045900,其他鲜或冷的鱼肉,6185,千克,0,?,428770.0
3046290,其他冻鲶鱼鱼片,26657810,千克,0,?,66794545.0
3047100,冻鳕鱼鱼片,3266,千克,0,?,51768.0
3047500,冻阿拉斯加狭鳕鱼鱼片,286704,千克,0,?,1292037.0
3047900,其他冻的犀鳕科、多丝真鳕科、鳕科、长尾鳕科、黑鳕科、无须鳕科、深海鳕科及南极鳕科鱼鱼片,715366,千克,0,?,2210751.0
3048100,冻的大麻哈鱼、大西洋鲑鱼及多瑙哲罗鱼鱼片,30602,千克,0,?,335542.0
3048300,冻比目鱼鱼片,2400,千克,0,?,88674.0
3048900,其他冻鱼片,83747,千克,0,?,770907.0
3049300,冻的罗非鱼、鲶鱼、鳗鱼尼罗河鲈鱼及黑鱼鱼肉,63700,千克,0,?,118627.0
3049400,冻阿拉斯加狭鳕鱼鱼肉,1070000,千克,0,?,5072959.0
3049500,冻的犀鳕科、多丝真鳕科、鳕科、长尾鳕科、黑鳕科、无须鳕科、深海鳕科及南极鳕科鱼鱼肉，阿拉斯加狭鳕鱼的除外,581427,千克,0,?,1156382.0
3049900,其他冻鱼肉,2027709,千克,0,?,6534154.0
3052000,干、熏、盐腌或盐渍的鱼肝、鱼卵及鱼精,21150,千克,0,?,1342488.0
3053900,其他干、盐腌或盐渍的鱼片,27750,千克,0,?,78778.0
3055100,干鳕鱼,7440,千克,0,?,14925.0
3055490,干的鲱鱼(大西洋鲱鱼、太平洋鲱鱼）、?鱼(?属）、沙丁鱼(沙丁鱼、沙瑙鱼属）、小沙丁鱼属、黍鲱或西鲱、鲭鱼［大西洋鲭、澳洲鲭(鲐）、日本鲭(鲐）］、印度鲭(羽鳃鲐属)、马鲛鱼(马鲛属)、对称竹荚鱼、新西兰竹荚鱼及竹荚鱼(竹荚鱼属）、?鱼(?属）、军曹鱼、秋刀鱼、圆?(圆?属)、多春鱼(毛鳞鱼）、剑鱼、鲔鱼、狐鲣(狐鲣属）、枪鱼 、旗鱼、四鳍旗鱼(旗鱼科）,90040,千克,0,?,184968.0
3055990,其他干鱼,3583424,千克,0,?,7765129.0
