商品编码,商品名称,第一数量,第一计量单位,第二数量,第二计量单位,美元
1012900,其他马，改良种用除外,31750,千克,73,头,2415379
1022900,其他家牛，改良种用除...,17910,千克,38,头,40209
1051110,改良种用鸡，改良种用...,3402,千克,67586,只,2324426
1061110,改良种用灵长目动物,8176,千克,2400,只,36900979
1061211,改良种用鲸、海豚及鼠...,1979,千克,9,只,1963373
1061990,"未列名哺乳动物,改良...",135,千克,3604,只,1781575
1062090,未列名爬行动物,1000,千克,200,只,100300
1064990,"其他昆虫,改良种用除...",3,千克,1565,只,3920
2012000,鲜或冷的带骨牛肉,25239,千克,0,—,693941
2013000,鲜或冷的去骨牛肉,4826017,千克,0,—,54019790
2021000,冻整头及半头牛肉,2782,千克,0,—,4487
2022000,冻带骨牛肉,41454698,千克,0,—,96004506
2023000,冻去骨牛肉,168958620,千克,0,—,869952963
2032190,其他冻整头及半头猪肉,24851,千克,0,—,40194
2032200,冻带骨猪前腿、猪后腿...,18191191,千克,0,—,32047858
2032900,其他冻猪肉,68970399,千克,0,—,140556334
2041000,鲜或冷的整头及半头羔...,23354,千克,0,—,148306
2042200,鲜或冷的带骨绵羊肉,23049,千克,0,—,496104
2042300,鲜或冷的去骨绵羊肉,3676,千克,0,—,45740
2043000,冻整头及半头羔羊肉,153480,千克,0,—,658848
2044100,冻整头及半头绵羊肉,1596859,千克,0,—,4871949
2044200,冻带骨绵羊肉,26113308,千克,0,—,77227088
2044300,冻去骨绵羊肉,1698679,千克,0,—,3730038
2045000,鲜、冷、冻山羊肉,153506,千克,0,—,660380
2050000,鲜、冷、冻的马、驴、...,898768,千克,0,—,2574541
2062200,冻牛肝,5992,千克,0,—,4494
2062900,其他冻牛杂碎,3525599,千克,0,—,14289665
2064900,其他冻猪杂碎,93035419,千克,0,—,206556626
2069000,其他冻杂碎（牛、猪杂...,577779,千克,0,—,1647042
2071411,带骨的冻鸡块,10058625,千克,0,—,13202954
2071419,其他冻鸡块,361638,千克,0,—,670526
2071421,冻鸡翼（不包括翼尖）,29352319,千克,0,—,92915175
2071422,冻鸡爪,42103016,千克,0,—,156910094
2071429,其他冻鸡杂碎,7846318,千克,0,—,13653463
2072500,整只火鸡，冻的,20290,千克,0,—,79943
2072700,火鸡块及杂碎，冻的,1529370,千克,0,—,4736673
2074500,冻的鸭块及杂碎,26000,千克,0,—,71850
2089090,其他鲜、冷、冻的肉及...,297478,千克,0,—,2011626
2091000,未炼制或用其他方法提...,1541260,千克,0,—,1836047
2101110,干、熏、盐腌或盐渍带...,42911,千克,0,—,754337
2101190,干、熏、盐腌或盐渍其...,2007,千克,0,—,53993
2101900,其他干、熏、盐腌或盐...,99222,千克,0,—,1364166
3011100,淡水观赏鱼,43495,千克,0,—,2303415
3011900,其他观赏鱼,6913,千克,0,—,879776
3019210,鳗鱼苗,580,千克,0,—,161283
3019290,其他活鳗鱼，鱼苗除外,18903,千克,0,—,146466
3019999,其他活鱼,2892804,千克,0,—,13906967
3021100,鲜或冷的鳟鱼,31401,千克,0,—,260238
3021300,鲜或冷的大麻哈鱼,64811,千克,0,—,1326047
3021410,鲜或冷的大西洋鲑鱼,7881226,千克,0,—,77244622
3021900,其他鲜或冷的鲑科鱼,30,千克,0,—,398
3022200,鲜或冷的鲽鱼,217,千克,0,—,11811
3022300,鲜或冷的鳎鱼,141,千克,0,—,8562
3022900,其他鲜或冷的比目鱼,7074,千克,0,—,11715
3023200,鲜或冷的黄鳍金枪鱼,66,千克,0,—,604
3023400,鲜或冷的大眼金枪鱼,1406,千克,0,—,11292
3023510,鲜或冷的大西洋蓝鳍金...,66376,千克,0,—,1941252
3023600,鲜或冷的南方蓝鳍金枪...,9099,千克,0,—,89812
3023900,其他鲜或冷的金枪鱼,24277,千克,0,—,292700
3024910,鲜、冷银鲳(鲳属),22254,千克,0,—,323345
3025100,鲜或冷的鳕鱼,2914,千克,0,—,24141
3028910,鲜或冷的带鱼,44077,千克,0,—,160716
3028920,鲜或冷的黄鱼,1100,千克,0,—,2182
3028930,鲜或冷的鲳鱼(银鲳除...,34668,千克,0,—,466698
3028990,其他鲜或冷的鱼,623833,千克,0,—,3670232
3031200,其他冻大麻哈鱼,2810599,千克,0,—,7430645
3031310,冻大西洋鲑鱼,447625,千克,0,—,3428466
3031400,冻鳟鱼,156904,千克,0,—,1033510
3031900,其他冻鲑科鱼,4000,千克,0,—,4490
3032400,冻鲶鱼,7492511,千克,0,—,12990658
3032600,冻鳗鱼,77460,千克,0,—,78035
3033110,冻马舌鲽(格陵兰庸鲽...,1674393,千克,0,—,10409176
3033190,其他冻庸鲽鱼,9759,千克,0,—,55135
3033200,冻鲽鱼,3380,千克,0,—,2797
3033300,冻鳎鱼,95632,千克,0,—,142436
3033900,其他冻比目鱼,9997484,千克,0,—,18788745
3034200,冻黄鳍金枪鱼,312183,千克,0,—,515449
3034300,冻鲣,10016573,千克,0,—,15211582
3034400,冻大眼金枪鱼,3982,千克,0,—,6264
3034900,其他冻金枪鱼,344396,千克,0,—,397503
3035100,冻鲱鱼,999325,千克,0,—,881263
3035300,冻的沙丁鱼、小沙丁鱼...,18558125,千克,0,—,10000430
3035400,冻鲭鱼,990200,千克,0,—,1560266
3035500,冻的对称竹荚鱼、新西...,2405242,千克,0,—,2781017
3035700,冻剑鱼,24851,千克,0,—,122515
3035910,冻银鲳(鲳属),98308,千克,0,—,591399
3035990,冻鳀鱼(鳀属）、冻印...,4374147,千克,0,—,5343260
3036300,冻鳕鱼,9715051,千克,0,—,47757411
3036400,冻黑线鳕鱼,5094511,千克,0,—,16090190
3036500,冻绿青鳕鱼,2110275,千克,0,—,5568668
3036600,冻狗鳕鱼,982542,千克,0,—,1673913
3036700,冻阿拉斯加狭鳕鱼,20318406,千克,0,—,22200173
3036800,冻蓝鳕鱼,479700,千克,0,—,292750
3036900,其他冻的犀鳕科、多丝...,222520,千克,0,—,605742
3038100,冻角鲨及其他鲨鱼,3730,千克,0,—,5127
3038200,冻魟鱼及鳐鱼,164692,千克,0,—,267466
3038300,冻南极犬牙鱼,383978,千克,0,—,11060992
3038910,冻带鱼,10770368,千克,0,—,20120301
3038920,冻黄鱼,20580,千克,0,—,29064
3038930,冻鲳鱼(银鲳除外),22769,千克,0,—,126083
3038990,未列名冻鱼,17760473,千克,0,—,35796248
3039100,冻的鱼肝、鱼卵及鱼精,1851033,千克,0,—,11404707
3039200,冻鲨鱼翅,285015,千克,0,—,4107144
3039900,其他冻的可食用鱼杂碎,4321906,千克,0,—,12002530
