商品编码,商品名称,第一数量,第一计量单位,第二数量,第二计量单位,美元
1012900,其他马，改良种用除外,65500,千克,134,头,3934995.0
1022900,其他家牛，改良种用除外,868000,千克,3100,头,4321276.0
1031000,改良种用猪,82601,千克,1346,头,3358481.0
1051110,改良种用鸡，改良种用除外，重量≤185g,3714,千克,83196,只,3292099.0
1061211,改良种用鲸、海豚及鼠海豚；改良种用海牛及儒艮,1830,千克,8,只,2006000.0
1061229,其他海豹、海狮及海象，改良种用除外,500,千克,40,只,680000.0
1061390,"其他骆驼及其他骆驼科动物,改良种用除外",31212,千克,578,只,1002050.0
1061990,"未列名哺乳动物,改良种用除外",84,千克,2679,只,1643998.0
1063990,未列名鸟,200,千克,45,只,309839.0
1064990,"其他昆虫,改良种用除外",30,千克,17229,只,19024.0
1069090,"其他活动物,改良种用除外",0,千克,9,只,1386.0
2012000,鲜或冷的带骨牛肉,17603,千克,0,?,394509.0
2013000,鲜或冷的去骨牛肉,6565435,千克,0,?,78895733.0
2022000,冻带骨牛肉,41931023,千克,0,?,106263678.0
2023000,冻去骨牛肉,160726340,千克,0,?,880557655.0
2032200,冻带骨猪前腿、猪后腿及其肉块,20305331,千克,0,?,35156648.0
2032900,其他冻猪肉,58914385,千克,0,?,116766242.0
2041000,鲜或冷的整头及半头羔羊肉,39900,千克,0,?,287286.0
2042200,鲜或冷的带骨绵羊肉,102444,千克,0,?,1369724.0
2042300,鲜或冷的去骨绵羊肉,35823,千克,0,?,488627.0
2043000,冻整头及半头羔羊肉,52873,千克,0,?,245826.0
2044100,冻整头及半头绵羊肉,3763604,千克,0,?,14623297.0
2044200,冻带骨绵羊肉,30077014,千克,0,?,110559057.0
2044300,冻去骨绵羊肉,2007610,千克,0,?,7693755.0
2045000,鲜、冷、冻山羊肉,797739,千克,0,?,3031088.0
2050000,鲜、冷、冻的马、驴、骡肉,579640,千克,0,?,1636617.0
2062100,冻牛舌,50963,千克,0,?,777418.0
2062900,其他冻牛杂碎,3676978,千克,0,?,15468466.0
2064900,其他冻猪杂碎,92244843,千克,0,?,191275104.0
2069000,其他冻杂碎（牛、猪杂碎除外）,540954,千克,0,?,1405020.0
2071200,整只鸡，冻的,69856,千克,0,?,83282.0
2071411,带骨的冻鸡块,7899000,千克,0,?,10357807.0
2071421,冻鸡翼（不包括翼尖）,22462543,千克,0,?,71173458.0
2071422,冻鸡爪,30914942,千克,0,?,110387464.0
2071429,其他冻鸡杂碎,6166820,千克,0,?,8488718.0
2072700,火鸡块及杂碎，冻的,1163706,千克,0,?,3139176.0
2074500,冻的鸭块及杂碎,314164,千克,0,?,597249.0
2089090,其他鲜、冷、冻的肉及食用杂碎,216725,千克,0,?,1512295.0
2091000,未炼制或用其他方法提取的不带瘦肉的肥猪肉、猪脂肪，鲜、冷、冻、干、熏、盐腌或盐渍的,1324831,千克,0,?,1465390.0
2099000,"未炼制或用其他方法提取的不带瘦肉的家禽脂肪,鲜、冷、冻、干、熏、盐腌或盐渍的",24000,千克,0,?,25276.0
2101110,干、熏、盐腌或盐渍带骨猪腿,35733,千克,0,?,723814.0
2101900,其他干、熏、盐腌或盐渍猪肉,50371,千克,0,?,825970.0
3011100,淡水观赏鱼,53823,千克,0,?,2292641.0
3011900,其他观赏鱼,9100,千克,0,?,782762.0
3019210,鳗鱼苗,3932,千克,0,?,9180866.0
3019290,其他活鳗鱼，鱼苗除外,23807,千克,0,?,167157.0
3019992,活?,26,千克,0,?,2250.0
3019993,其他活鲤科鱼,27246,千克,0,?,34162.0
3019999,其他活鱼,2345606,千克,0,?,11102178.0
3021100,鲜或冷的鳟鱼,196,千克,0,?,1765.0
3021300,鲜或冷的大麻哈鱼,88794,千克,0,?,1848471.0
3021410,鲜或冷的大西洋鲑鱼,10378747,千克,0,?,97455003.0
3021900,其他鲜或冷的鲑科鱼,189,千克,0,?,2309.0
3022200,鲜或冷的鲽鱼,126,千克,0,?,7740.0
3022300,鲜或冷的鳎鱼,47,千克,0,?,2403.0
3022900,其他鲜或冷的比目鱼,195180,千克,0,?,270642.0
3023200,鲜或冷的黄鳍金枪鱼,1942,千克,0,?,13123.0
3023400,鲜或冷的大眼金枪鱼,841,千克,0,?,6986.0
3023510,鲜或冷的大西洋蓝鳍金枪鱼,96150,千克,0,?,2831929.0
3023600,鲜或冷的南方蓝鳍金枪鱼,21246,千克,0,?,270555.0
3023900,其他鲜或冷的金枪鱼,224,千克,0,?,1623.0
3024100,鲜或冷的鲱鱼,19110,千克,0,?,28188.0
3024910,鲜、冷银鲳(鲳属),3571,千克,0,?,51817.0
3024990,鲜、冷印度鲭(羽鳃鲐属)、马鲛鱼(马鲛属)、?鱼(?属）、秋刀鱼、圆?(圆?属）、多春鱼(毛鳞鱼）、鲔鱼、狐鲣(狐鲣属）、枪鱼 、旗鱼、四鳍旗鱼(旗鱼科）,2322,千克,0,?,14140.0
3025100,鲜或冷的鳕鱼,1845,千克,0,?,20672.0
3028910,鲜或冷的带鱼,205818,千克,0,?,558114.0
3028920,鲜或冷的黄鱼,151275,千克,0,?,511448.0
3028930,鲜或冷的鲳鱼(银鲳除外),25664,千克,0,?,345355.0
3028990,其他鲜或冷的鱼,639079,千克,0,?,3756768.0
3031200,其他冻大麻哈鱼,1168442,千克,0,?,5605529.0
3031310,冻大西洋鲑鱼,220958,千克,0,?,1722607.0
3031400,冻鳟鱼,154299,千克,0,?,1192534.0
3032400,冻鲶鱼,5013165,千克,0,?,9210128.0
3032500,冻鲤科鱼,12032,千克,0,?,14303.0
3032600,冻鳗鱼,118156,千克,0,?,116558.0
3033110,冻马舌鲽(格陵兰庸鲽鱼),2437631,千克,0,?,17863139.0
3033190,其他冻庸鲽鱼,45563,千克,0,?,442577.0
3033200,冻鲽鱼,56081,千克,0,?,139448.0
3033300,冻鳎鱼,2360,千克,0,?,1969.0
3033900,其他冻比目鱼,6204234,千克,0,?,11268941.0
3034200,冻黄鳍金枪鱼,6951,千克,0,?,6461.0
3034300,冻鲣,859899,千克,0,?,1092809.0
3034510,冻大西洋蓝鳍金枪鱼,40760,千克,0,?,1191007.0
3035100,冻鲱鱼,7641789,千克,0,?,5390013.0
3035300,冻的沙丁鱼、小沙丁鱼属、黍鲱或西鲱,1345944,千克,0,?,754608.0
3035400,冻鲭鱼,5648544,千克,0,?,15427821.0
3035500,冻的对称竹荚鱼、新西兰竹荚鱼及竹荚鱼,807780,千克,0,?,1186500.0
