商品编码,商品名称,第一数量,第一计量单位,第二数量,第二计量单位,美元
1012100,改良种用马,22080,千克,48,头,3082591.0
1012900,其他马，改良种用除外,64111,千克,146,头,15093859.0
1022100,改良种用家牛,13300,千克,38,头,800010.0
1022900,其他家牛，改良种用除外,1096374,千克,3970,头,6582827.0
1031000,改良种用猪,53500,千克,631,头,1202303.0
1041090,其他绵羊，改良种用除外,682600,千克,13480,头,778874.0
1061211,改良种用鲸、海豚及鼠海豚；改良种用海牛及儒艮,1500,千克,6,只,883200.0
1061219,其他鲸、海豚及鼠海豚、海牛及儒艮，改良种用除外,940,千克,4,只,344812.0
1061229,其他海豹、海狮及海象，改良种用除外,300,千克,20,只,290000.0
1061990,"未列名哺乳动物,改良种用除外",129,千克,3635,只,2448783.0
1062090,未列名爬行动物,809,千克,2900,只,42508.0
1063990,未列名鸟,72,千克,31,只,501500.0
1064990,"其他昆虫,改良种用除外",10,千克,9805,只,10214.0
1069090,"其他活动物,改良种用除外",14,千克,16350,只,10080.0
2012000,鲜或冷的带骨牛肉,28964,千克,0,?,952354.0
2013000,鲜或冷的去骨牛肉,5101849,千克,0,?,62446608.0
2022000,冻带骨牛肉,34762159,千克,0,?,99886941.0
2023000,冻去骨牛肉,201384154,千克,0,?,1204990402.0
2031900,其他鲜或冷的猪肉,472,千克,0,?,7158.0
2032200,冻带骨猪前腿、猪后腿及其肉块,16226537,千克,0,?,25794461.0
2032900,其他冻猪肉,41848383,千克,0,?,87144709.0
2042200,鲜或冷的带骨绵羊肉,216226,千克,0,?,1747761.0
2042300,鲜或冷的去骨绵羊肉,53910,千克,0,?,674225.0
2044100,冻整头及半头绵羊肉,3292238,千克,0,?,17144739.0
2044200,冻带骨绵羊肉,24424429,千克,0,?,104953933.0
2044300,冻去骨绵羊肉,1459405,千克,0,?,7328278.0
2045000,鲜、冷、冻山羊肉,235124,千克,0,?,1058038.0
2050000,鲜、冷、冻的马、驴、骡肉,27612,千克,0,?,171193.0
